"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"11","UPP_BURPS","Q63VS8","Burkholderia pseudomallei (strain K96243)","272560","Q63VS8","BX571965","CAH35161.1","upp","upp BPSL1166","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","bps:BPSL1166","COG0035",NA
"12","UVRB_BURPS","Q63NE3","Burkholderia pseudomallei (strain K96243)","272560","Q63NE3","BX571966","CAH37804.1","uvrB","uvrB BPSS0356","cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]","GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887","bps:BPSS0356","COG0556",NA
"13","UVRC_BURPS","Q63SA4","Burkholderia pseudomallei (strain K96243)","272560","Q63SA4","BX571965","CAH36423.1","uvrC","uvrC BPSL2420","cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]","GO:0003677; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432","bps:BPSL2420","COG0322",NA
"14","PYRB_BURPS","Q63RI2","Burkholderia pseudomallei (strain K96243)","272560","Q63RI2","BX571965","CAH36698.1","pyrB","pyrB BPSL2690","amino acid binding [GO:0016597]; aspartate carbamoyltransferase activity [GO:0004070]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; cellular amino acid metabolic process [GO:0006520]","GO:0004070; GO:0006207; GO:0006520; GO:0016597; GO:0044205","bps:BPSL2690","COG0540",NA
"15","RBFA_BURPS","Q63TP9","Burkholderia pseudomallei (strain K96243)","272560","Q63TP9","BX571965","CAH35917.1","rbfA","rbfA BPSL1917","cytoplasm [GO:0005737]; maturation of SSU-rRNA [GO:0030490]","GO:0005737; GO:0030490","bps:BPSL1917","COG0858",NA
"16","QUEF_BURPS","Q63XA4","Burkholderia pseudomallei (strain K96243)","272560","Q63XA4","BX571965","CAH34625.1","queF","queF BPSL0632","cytoplasm [GO:0005737]; oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor [GO:0046857]; preQ1 synthase activity [GO:0033739]; queuosine biosynthetic process [GO:0008616]","GO:0005737; GO:0008616; GO:0033739; GO:0046857","bps:BPSL0632","COG2904",NA
"17","QUEF_BURPS","Q63XA4","Burkholderia pseudomallei (strain K96243)","272560","Q63XA4","BX571965","CAH34625.1","queF","queF BPSL0632","cytoplasm [GO:0005737]; oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor [GO:0046857]; preQ1 synthase activity [GO:0033739]; queuosine biosynthetic process [GO:0008616]","GO:0005737; GO:0008616; GO:0033739; GO:0046857","bps:BPSL0632","COG0780",NA
"18","RS6_BURPS","Q63UY6","Burkholderia pseudomallei (strain K96243)","272560","Q63UY6","BX571965","CAH35460.1","rpsF","rpsF BPSL1458","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843","bps:BPSL1458","COG0360",NA
"19","SYA_BURPS","Q63TF9","Burkholderia pseudomallei (strain K96243)","272560","Q63TF9","BX571965","CAH36008.1","alaS","alaS BPSL2009","cytoplasm [GO:0005737]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]","GO:0000049; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0008270","bps:BPSL2009","COG0013",NA
"20","SYM_BURPS","Q63W90","Burkholderia pseudomallei (strain K96243)","272560","Q63W90","BX571965","CAH34994.1","metG","metG BPSL0998","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]; methionyl-tRNA aminoacylation [GO:0006431]","GO:0000049; GO:0004825; GO:0005524; GO:0005737; GO:0006431; GO:0046872","bps:BPSL0998","COG0073",NA
"21","SYM_BURPS","Q63W90","Burkholderia pseudomallei (strain K96243)","272560","Q63W90","BX571965","CAH34994.1","metG","metG BPSL0998","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]; methionyl-tRNA aminoacylation [GO:0006431]","GO:0000049; GO:0004825; GO:0005524; GO:0005737; GO:0006431; GO:0046872","bps:BPSL0998","COG0143",NA
"22","SYR_BURPS","Q63Y06","Burkholderia pseudomallei (strain K96243)","272560","Q63Y06","BX571965","CAH34371.1","argS","argS BPSL0383","cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]","GO:0004814; GO:0005524; GO:0005737; GO:0006420","bps:BPSL0383","COG0018",NA
"23","SYY_BURPS","Q63QX0","Burkholderia pseudomallei (strain K96243)","272560","Q63QX0","BX571965","CAH36914.1","tyrS","tyrS BPSL2904","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; RNA binding [GO:0003723]; tyrosine-tRNA ligase activity [GO:0004831]; tyrosyl-tRNA aminoacylation [GO:0006437]","GO:0003723; GO:0004831; GO:0005524; GO:0005737; GO:0006437","bps:BPSL2904","COG0162",NA
"24","RF1_BURPS","Q63QF0","Burkholderia pseudomallei (strain K96243)","272560","Q63QF0","BX571965","CAH37084.1","prfA","prfA BPSL3073","cytoplasm [GO:0005737]; translation release factor activity, codon specific [GO:0016149]","GO:0005737; GO:0016149","bps:BPSL3073","COG0216",NA
"25","RL10_BURPS","Q63Q01","Burkholderia pseudomallei (strain K96243)","272560","Q63Q01","BX571965","CAH37234.1","rplJ","rplJ BPSL3223","ribosome [GO:0005840]; large ribosomal subunit rRNA binding [GO:0070180]; translation [GO:0006412]","GO:0005840; GO:0006412; GO:0070180","bps:BPSL3223","COG0244",NA
"26","TOLB_BURPS","Q63RA8","Burkholderia pseudomallei (strain K96243)","272560","Q63RA8","BX571965","CAH36772.1","tolB","tolB BPSL2764","periplasmic space [GO:0042597]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein import [GO:0017038]","GO:0007049; GO:0017038; GO:0042597; GO:0051301","bps:BPSL2764","COG0823",NA
"27","TIG_BURPS","Q63V42","Burkholderia pseudomallei (strain K96243)","272560","Q63V42","BX571965","CAH35403.1","tig","tig BPSL1402","cytoplasm [GO:0005737]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein folding [GO:0006457]; protein transport [GO:0015031]","GO:0003755; GO:0005737; GO:0006457; GO:0007049; GO:0015031; GO:0051301","bps:BPSL1402","COG0544",NA
"28","RIMO_BURPS","Q63UQ8","Burkholderia pseudomallei (strain K96243)","272560","Q63UQ8","BX571965","CAH35539.1","rimO","rimO BPSL1538","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; protein methylthiotransferase activity [GO:0103039]; peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid [GO:0018339]; tRNA modification [GO:0006400]","GO:0005737; GO:0006400; GO:0018339; GO:0046872; GO:0051539; GO:0103039","bps:BPSL1538","COG0621",NA
"29","RL19_BURPS","Q63S33","Burkholderia pseudomallei (strain K96243)","272560","Q63S33","BX571965","CAH36495.1","rplS","rplS BPSL2489","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL2489","COG0335",NA
"30","RSMG_BURPS","Q63PG9","Burkholderia pseudomallei (strain K96243)","272560","Q63PG9","BX571965","CAH37419.1","rsmG","rsmG BPSL3407","cytoplasm [GO:0005737]; rRNA (guanine-N7-)-methyltransferase activity [GO:0070043]","GO:0005737; GO:0070043","bps:BPSL3407","COG0357",NA
"31","RUVB_BURPS","Q63QX5","Burkholderia pseudomallei (strain K96243)","272560","Q63QX5","BX571965","CAH36909.1","ruvB","ruvB BPSL2899","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]","GO:0003677; GO:0005524; GO:0006281; GO:0006310; GO:0009378; GO:0009432; GO:0016887","bps:BPSL2899","COG2255",NA
"32","RSMA_BURPS","Q63X76","Burkholderia pseudomallei (strain K96243)","272560","Q63X76","BX571965","CAH34654.1","rsmA","rsmA ksgA BPSL0661","cytoplasm [GO:0005737]; 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]; RNA binding [GO:0003723]","GO:0003723; GO:0005737; GO:0052908","bps:BPSL0661","COG0030",NA
"33","RUVC_BURPS","Q63QX7","Burkholderia pseudomallei (strain K96243)","272560","Q63QX7","BX571965","CAH36907.1","ruvC","ruvC BPSL2897","crossover junction endodeoxyribonuclease activity [GO:0008821]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]","GO:0000287; GO:0003676; GO:0006281; GO:0006310; GO:0008821","bps:BPSL2897","COG0817",NA
"34","RS9_BURPS","Q63QW4","Burkholderia pseudomallei (strain K96243)","272560","Q63QW4","BX571965","CAH36920.1","rpsI","rpsI BPSL2910","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL2910","COG0103",NA
"35","RLMD_BURPS","Q63UT8","Burkholderia pseudomallei (strain K96243)","272560","Q63UT8","BX571965","CAH35509.1","rlmD","rlmD rumA BPSL1508","4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; RNA binding [GO:0003723]; rRNA (uridine-C5-)-methyltransferase activity [GO:0070041]","GO:0003723; GO:0005506; GO:0051539; GO:0070041","bps:BPSL1508","COG2265",NA
"36","RS18_BURPS","Q63UY4","Burkholderia pseudomallei (strain K96243)","272560","Q63UY4","BX571965","CAH35462.1","rpsR","rpsR BPSL1460","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843","bps:BPSL1460","COG0238",NA
"37","SECB_BURPS","Q63XU4","Burkholderia pseudomallei (strain K96243)","272560","Q63XU4","BX571965","CAH34434.1","secB","secB BPSL0446","cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein tetramerization [GO:0051262]; protein transport [GO:0015031]","GO:0005737; GO:0006457; GO:0015031; GO:0051082; GO:0051262","bps:BPSL0446","COG1952",NA
"38","SELO_BURPS","Q63V22","Burkholderia pseudomallei (strain K96243)","272560","Q63V22","BX571965","CAH35424.1","selO","selO BPSL1422","ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; nucleotidyltransferase activity [GO:0016779]","GO:0000287; GO:0005524; GO:0016779","bps:BPSL1422","COG0397",NA
"39","RPOA_BURPS","Q63Q37","Burkholderia pseudomallei (strain K96243)","272560","Q63Q37","BX571965","CAH37198.1","rpoA","rpoA BPSL3187","DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription, DNA-templated [GO:0006351]","GO:0003677; GO:0003899; GO:0006351; GO:0046983","bps:BPSL3187","COG0202",NA
"40","MRAZ_BURPS","Q63QI8","Burkholderia pseudomallei (strain K96243)","272560","Q63QI8","BX571965","CAH37046.1","mraZ","mraZ BPSL3034","cytoplasm [GO:0005737]; nucleoid [GO:0009295]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]","GO:0003677; GO:0003700; GO:0005737; GO:0009295","bps:BPSL3034","COG2001",NA
"41","NUSB_BURPS","Q63RP4","Burkholderia pseudomallei (strain K96243)","272560","Q63RP4","BX571965","CAH36636.1","nusB","nusB BPSL2628","RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; transcription antitermination [GO:0031564]","GO:0003723; GO:0006353; GO:0006355; GO:0031564","bps:BPSL2628","COG0781",NA
"42","RL1_BURPS","Q63Q00","Burkholderia pseudomallei (strain K96243)","272560","Q63Q00","BX571965","CAH37235.1","rplA","rplA BPSL3224","large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; regulation of translation [GO:0006417]; translation [GO:0006412]","GO:0000049; GO:0003735; GO:0006412; GO:0006417; GO:0015934; GO:0019843","bps:BPSL3224","COG0081",NA
"43","RF2_BURPS","Q63SP0","Burkholderia pseudomallei (strain K96243)","272560","Q63SP0","BX571965","CAH36283.1","prfB","prfB BPSL2280","cytoplasm [GO:0005737]; translation release factor activity, codon specific [GO:0016149]","GO:0005737; GO:0016149","bps:BPSL2280","COG1186",NA
"44","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","AF084813","AAC34681.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"45","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","BX571965","AAC34679.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"46","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","BX571965","CAH37331.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"47","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","AF084813","AAC34679.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"48","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","BX571965","AAC34681.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"49","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","AF084812","CAH37331.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"50","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","AF084812","AAC34681.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"51","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","AF084813","CAH37331.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"52","RS211_BURPS","P0DML1","Burkholderia pseudomallei (strain K96243)","272560","P0DML1","AF084812","AAC34679.1","rpsU1","rpsU1 BPSL3318","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","bps:BPSL3318","COG0828",NA
"53","SYV_BURPS","Q63TI8","Burkholderia pseudomallei (strain K96243)","272560","Q63TI8","BX571965","CAH35979.1","valS","valS BPSL1980","cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832]; valyl-tRNA aminoacylation [GO:0006438]","GO:0002161; GO:0004832; GO:0005524; GO:0005737; GO:0006438","bps:BPSL1980","COG0525",NA
"54","TAL_BURPS","Q63W00","Burkholderia pseudomallei (strain K96243)","272560","Q63W00","BX571965","CAH35088.1","tal","tal BPSL1095","cytoplasm [GO:0005737]; transaldolase activity [GO:0004801]; carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt [GO:0006098]","GO:0004801; GO:0005737; GO:0005975; GO:0006098","bps:BPSL1095","COG0176",NA
"55","HIS4_BURPS","Q63Q91","Burkholderia pseudomallei (strain K96243)","272560","Q63Q91","BX571965","CAH37144.1","hisA","hisA BPSL3134","cytoplasm [GO:0005737]; 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity [GO:0003949]; histidine biosynthetic process [GO:0000105]","GO:0000105; GO:0003949; GO:0005737","bps:BPSL3134","COG0106",NA
"56","HSCA_BURPS","Q63SN5","Burkholderia pseudomallei (strain K96243)","272560","Q63SN5","BX571965","CAH36288.1","hscA","hscA BPSL2285","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; unfolded protein binding [GO:0051082]; iron-sulfur cluster assembly [GO:0016226]; protein folding [GO:0006457]","GO:0005524; GO:0006457; GO:0016226; GO:0016887; GO:0051082","bps:BPSL2285","COG0443",NA
"57","LIPB_BURPS","Q63XX6","Burkholderia pseudomallei (strain K96243)","272560","Q63XX6","BX571965","CAH34401.1","lipB","lipB BPSL0413","cytoplasm [GO:0005737]; lipoyl(octanoyl) transferase activity [GO:0033819]; octanoyl transferase activity (acting on glycine-cleavage complex H protein) [GO:0102555]; protein lipoylation [GO:0009249]","GO:0005737; GO:0009249; GO:0033819; GO:0102555","bps:BPSL0413","COG0321",NA
"58","LSPA_BURPS","Q63WI4","Burkholderia pseudomallei (strain K96243)","272560","Q63WI4","BX571965","CAH34899.1","lspA","lspA BPSL0905","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]","GO:0004190; GO:0005886; GO:0016021","bps:BPSL0905","COG0597",NA
"59","LIPA_BURPS","Q9EYP3","Burkholderia pseudomallei (strain K96243)","272560","Q9EYP3","AF317284","AAG38602.1","lipA","lipA lip BPSL0414","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]","GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539; GO:0102552; GO:0102553","bps:BPSL0414","COG0320",NA
"60","LIPA_BURPS","Q9EYP3","Burkholderia pseudomallei (strain K96243)","272560","Q9EYP3","BX571965","AAG38602.1","lipA","lipA lip BPSL0414","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]","GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539; GO:0102552; GO:0102553","bps:BPSL0414","COG0320",NA
"61","LIPA_BURPS","Q9EYP3","Burkholderia pseudomallei (strain K96243)","272560","Q9EYP3","AF317284","CAH34402.1","lipA","lipA lip BPSL0414","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]","GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539; GO:0102552; GO:0102553","bps:BPSL0414","COG0320",NA
"62","LIPA_BURPS","Q9EYP3","Burkholderia pseudomallei (strain K96243)","272560","Q9EYP3","BX571965","CAH34402.1","lipA","lipA lip BPSL0414","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]","GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539; GO:0102552; GO:0102553","bps:BPSL0414","COG0320",NA
"63","LGT_BURPS","Q63WB7","Burkholderia pseudomallei (strain K96243)","272560","Q63WB7","BX571965","CAH34967.1","lgt","lgt BPSL0971","integral component of plasma membrane [GO:0005887]; phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity [GO:0008961]; lipoprotein biosynthetic process [GO:0042158]","GO:0005887; GO:0008961; GO:0042158","bps:BPSL0971","COG0682",NA
"64","BSAZ_BURPS","Q63K32","Burkholderia pseudomallei (strain K96243)","272560","Q63K32","BX571966","CAH39007.1","bsaZ","bsaZ BPSS1534","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein secretion [GO:0009306]","GO:0005886; GO:0009306; GO:0016021","bps:BPSS1534","COG1377",NA
"65","EFTU_BURPS","Q63PZ6","Burkholderia pseudomallei (strain K96243)","272560","Q63PZ6","BX571965","CAH37226.1","tuf1","tuf1 BPSL3215; tuf2 BPSL3228","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]","GO:0003746; GO:0003924; GO:0005525; GO:0005737","bps:BPSL3215","COG0050",NA
"66","EFTU_BURPS","Q63PZ6","Burkholderia pseudomallei (strain K96243)","272560","Q63PZ6","BX571965","CAH37239.1","tuf2","tuf1 BPSL3215; tuf2 BPSL3228","cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]","GO:0003746; GO:0003924; GO:0005525; GO:0005737","bps:BPSL3215","COG0050",NA
