Genes,U1.1_1.2,U1.2_1.2,X215.1_1.2,X215.2_1.2,X478.1_1.2,X478.2_1.2
"SAR0145,NA,putative_lipoprotein",2338,2254,2133,1929,2149,1726
"SAR0146,NA,putative_exported_protein",541,336,296,343,400,293
"SAR0147,NA,putative_nucleotidase",2953,3082,2384,2733,2416,2114
"SAR0148,NA,hypothetical_protein",2892,2604,2230,2145,2400,1471
"SAR0149,NA,putative_DNA-binding_protein",3941,3936,3141,3333,4170,3079
"SAR0150,adhE,putative_aldehyde-alcohol_dehydrogenase",40540,38985,62038,40520,60029,43802
"SAR0151,capA,capsular_polysaccharide_synthesis_enzyme",1605,2877,2287,4359,6405,6696
"SAR0152,capB,capsular_polysaccharide_synthesis_enzyme",1529,2132,2281,4126,7056,7030
"SAR0153,capC,capsular_polysaccharide_synthesis_enzyme",1350,1620,2083,3791,6954,7043
"SAR0154,capD,capsular_polysaccharide_synthesis_enzyme",2422,2742,4213,7469,13724,14483
"SAR0155,capE,capsular_polysaccharide_synthesis_enzyme",1346,1502,2431,4079,6393,7355
"SAR0156,capF,capsular_polysaccharide_synthesis_enzyme",1719,1948,2908,5711,7145,8622
"SAR0157,capG,capsular_polysaccharide_synthesis_enzyme",2047,2449,2649,6132,8264,8154
"SAR0158,cap8H,capsular_polysaccharide_synthesis_enzyme",1240,1465,1289,3309,5590,5576
"SAR0159,cap8I,capsular_polysaccharide_synthesis_enzyme",1797,2239,1623,3338,8439,8292
"SAR0160,cap8J,capsular_polysaccharide_synthesis_enzyme",644,735,474,943,2962,2854
"SAR0161,cap8K,capsular_polysaccharide_synthesis_enzyme",1323,1722,1097,2000,5753,6044
"SAR0162,capL,capsular_polysaccharide_synthesis_enzyme",1815,2163,1415,2830,7813,8022
"SAR0163,capM,capsular_polysaccharide_synthesis_enzyme",840,1030,597,1096,2648,3038
"SAR0164,capN,capsular_polysaccharide_synthesis_enzyme",1784,2120,1383,2528,4755,6039
"SAR0165,capO,capsular_polysaccharide_synthesis_enzyme",3096,3809,2362,4322,5892,7843
"SAR0166,capP,capsular_polysaccharide_synthesis_enzyme",3998,4523,3003,4464,5360,6202
"SAR0167,NA,conserved_hypothetical_protein",347,377,281,270,269,243
"SAR0168,NA,putative_membrane_protein",191,192,150,130,129,104
"SAR0169,NA,putative_aldehyde_dehydrogenase",1195,1485,1120,1288,2111,2013
"SAR0170,NA,putative_cation_efflux_system_protein",2579,3444,2306,3092,3661,3092
"SAR0171,NA,hypothetical_protein",977,2126,1363,2312,2717,2757
"SAR0172,NA,conserved_hypothetical_protein",25349,27491,17664,23470,11488,13437
"SAR0173,NA,putative_ABC_transporter_ATP-binding_protein",2343,2212,1332,2067,959,1194
"SAR0174,NA,putative_lipoprotein",2480,2665,1368,2159,1047,1346
"SAR0175,NA,putative_transport_system_permease",1912,2310,1020,1756,877,1118
"SAR0176,NA,conserved_hypothetical_protein",3294,4037,1764,2986,1748,2252
"SAR0177,NA,conserved_hypothetical_protein",3135,3748,2164,2614,2626,2484
"SAR0178,NA,putative_D-isomer_specific_2-hydroxyacid_dehydrogenase",273,247,230,192,241,165
"SAR0179,NA,putative_transporter_protein",7555,7092,6346,6382,6553,5042
"SAR0180,NA,putative_non-ribosomal_peptide_synthetase",63390,56366,51861,51593,60789,44917
"SAR0181,NA,4-phosphopantetheinyl_transferase_superfamily_protein",7415,7000,6375,6274,7649,5959
"SAR0182,NA,putative_membrane_protein",27784,34428,32709,30643,34680,28525
"SAR0183,NA,putative_amino_acid_kinase",553,524,442,499,515,403
"SAR0184,argJ,putative_arginine_biosynthesis_bifunctional_protein",919,792,614,689,686,525
"SAR0185,argC,putative_N-acetyl-gamma-glutamyl-phosphate_reductase",624,539,436,508,516,338
"SAR0186,NA,putative_ornithine_aminotransferase_precursor",700,529,459,502,451,280
"SAR0187,NA,putative_branched-chain_amino_acid_transport_system_carrier_protein",37176,31749,26731,29569,18304,15229
"SAR0188,NA,putative_isochorismatase",4730,6483,4642,6479,7709,7875
"SAR0189,NA,putative_thiamine_pyrophosphate_enzyme",9676,9131,7193,8713,7095,7006
"SAR0190,glcA,glucose-specific_PTS_transporter_protein,_IIABC_component",88750,93100,95127,74992,70682,60623
"SAR0191,NA,conserved_hypothetical_protein",2712,2368,4054,2275,3092,3081
"SAR0193,NA,sucrose-specific_PTS_tranporter_protein",3624,2439,5343,2919,3519,2606
"SAR0194,NA,RpiR_family_transcriptional_regulator",2916,1950,4497,2405,2706,1990
"SAR0195,NA,putative_membrane_protein",296,294,256,259,265,180
"SAR0196,NA,putative_type_I_restriction_enzyme",16994,16869,13990,14629,14526,11970
"SAR0197,NA,hypothetical_protein",7809,9714,7179,7487,8277,7320
"SAR0198,NA,ABC_transporter_ATP-binding_protein",5761,5107,3447,4320,2490,2334
"SAR0199,NA,putative_transport_system_permease",3076,2477,1898,2569,757,760
"SAR0200,NA,putative_transport_system_permease",2295,1961,1073,1845,603,581
"SAR0201,rlp,RGD-containing_lipoprotein",3451,2839,1238,1891,857,975
"SAR0202,NA,putative_gamma-glutamyltranspeptidase",3519,3007,1330,1663,1166,1099
"SAR0204,NA,putative_peptidase",520,457,385,363,318,244
"SAR0205,NA,putative_ABC_transporter,_ATP-binding_protein",173,584,146,276,463,746
"SAR0206,NA,putative_extracellular_sugar-binding_lipoprotein",224,338,313,298,686,484
"SAR0207,NA,putative_sugar_transport_system_permease",502,434,681,672,1163,791
"SAR0208,NA,putative_sugar_transport_system_permease",267,275,470,489,827,646
"SAR0209,NA,putative_oxidoreductase",439,411,715,746,690,818
"SAR0210,NA,putative_oxidoreductase",542,489,646,680,497,456
"SAR0211,NA,conserved_hypothetical_protein",1032,954,971,1219,1090,881
"SAR0212,NA,putative_membrane_protein",1222,1227,955,669,2564,1672
"SAR0213,uhpT,putative_sugar_phosphate_transport_protein",561,988,553,715,870,945
"SAR0214,NA,putative_response_regulator",2295,2442,2082,1939,2320,1833
"SAR0215,NA,putative_sensor_kinase_protein",4206,4140,3427,3621,4026,3203
"SAR0216,NA,putative_lipoprotein",3634,3864,3385,3250,3399,2538
"SAR0217,NA,formate_acetyltransferase",274816,367599,338333,319734,390745,345394
"SAR0218,NA,putative_pyruvate_formate-lyase_activating_enzyme",67481,66717,96101,73053,105898,77890
"SAR0219,NA,hypothetical_protein",273,183,264,192,501,230
"SAR0220,NA,putative_membrane_protein",5696,4627,4143,4540,5107,3804
"SAR0221,NA,hypothetical_protein",1073,1000,743,774,1246,668
"SAR0222,NA,staphylocoagulase_precursor",1457,1377,808,955,1423,1423
"SAR0223,fadA,putative_thiolase",274,227,226,247,289,211
"SAR0224,fadB,putative_fatty_oxidation_complex_protein",270,273,227,254,281,264
"SAR0225,fadD,putative_acyl-CoA_dehydrogenase",49,56,47,50,79,52
"SAR0226,fadE,putative_acyl-CoA_synthetase",216,186,149,165,165,151
"SAR0227,fadX,putative_acetyl-CoA_transferase",508,665,383,649,258,229
"SAR0228,NA,putative_glutamine_amidotransferase_class-I",1178,1042,760,825,911,750
"SAR0229,NA,putative_membrane_protein",7099,5343,4902,4206,5298,3613
"SAR0230,NA,putative_extracellular_solute-binding_lipoprotein",17905,20316,17790,19298,24175,20147
"SAR0231,NA,conserved_hypothetical_protein",4066,4682,3920,4607,5290,4230
"SAR0232,NA,putative_membrane_protein",12882,14883,13006,13872,13898,11943
"SAR0233,NA,flavohemoprotein",125533,135272,121441,130658,127995,111185
"SAR0234,ldh1,L-lactate_dehydrogenase_1",538882,702178,589507,576917,676474,562391
"SAR0235,NA,putative_PTS_transport_system,_IIBC_component",2964,2985,2273,2783,2465,1843
"SAR0236,NA,putative_inosine-uridine_preferring_nucleoside_hydrolase",3010,3004,2483,2605,3263,2646
"SAR0237,NA,hypothetical_protein",4,4,4,4,2,5
"SAR0238,NA,putative_PTS_multi-domain_regulator_pseudogene",359,335,311,331,455,347
"SAR0240,NA,putative_PTS_transport_system,_IIA_component",60,47,37,42,53,52
"SAR0241,NA,putative_PTS_transport_system,_IIB_component",38,43,30,37,46,41
"SAR0242,NA,putative_PTS_transport_system,_IIC_component",239,207,163,206,249,166
"SAR0243,NA,putative_zinc-binding_dehydrogenase",318,279,212,296,278,239
"SAR0244,NA,hypothetical_protein",44,27,22,33,28,29
"SAR0245,NA,putative_zinc-binding_dehydrogenase",644,533,442,531,479,432
"SAR0247,NA,putative_zinc-binding_dehydrogenase",9729,9479,7887,9021,8179,7198
"SAR0248,NA,hypothetical_protein",16087,16295,12736,14451,13947,12654
"SAR0249,NA,hypothetical_protein",28,41,23,22,31,29
"SAR0250,NA,hypothetical_protein",4569,4720,2663,3107,3038,2383
"SAR0251,NA,putative_teichoic_acid_biosynthesis_protein",4460,3804,3686,3927,5339,4374
"SAR0253,NA,putative_zinc-binding_dehydrogenase",19849,22380,17800,19958,22410,19804
"SAR0254,NA,hypothetical_protein",35408,38117,30508,33634,37531,33771
"SAR0255,NA,putative_glycosyl_transferase",40994,44517,34273,37147,43462,37877
"SAR0256,scdA,cell_wall_metabolism_protein",29243,31346,26113,25087,23391,20379
"SAR0257,lytS,autolysin_sensor_kinase_protein",17639,16269,13833,14246,14196,10469
"SAR0258,lytR,autolysin_response_regulator_protein",7697,7606,5940,5942,6505,5194
"SAR0259,lrgA,holin-like_protein",211,398,212,316,185,155
"SAR0260,lrgB,holin-like_protein",679,955,807,867,888,760
"SAR0261,NA,putative_nitric_oxide_reductase",6281,5019,6033,4459,4347,3103
"SAR0262,NA,GntR_family_regulatory_protein",5867,6897,4813,5346,6113,5440
"SAR0263,NA,putative_PTS_transport_system_protein",734,686,475,523,656,494
"SAR0264,bglA,6-phospho-beta-glucosidase",2249,2110,1561,1600,2056,1676
"SAR0265,NA,conserved_hypothetical_protein",1539,1413,1033,1063,987,853
"SAR0266,NA,putative_ribokinase",2043,1974,2137,2244,2917,2287
"SAR0267,NA,putative_ribose_transport_protein",684,725,700,750,1019,759
"SAR0268,NA,putative_sugar_transport_protein",1276,1528,1561,1587,2270,1834
"SAR0269,NA,LacI_family_regulatory_protein",1904,2582,1673,2381,2858,2425
"SAR0269a,NA,hypothetical_protein",1,1,1,7,3,1
"SAR0270,NA,hypothetical_protein",1865,2010,1689,1525,2382,1825
"SAR0271,NA,putative_transport_protein",276,255,195,204,293,234
"SAR0272,NA,putative_choloylglycine_hydrolase",1315,1161,904,1019,1005,813
"SAR0273,lytM,peptidoglycan_hydrolase",2345,1927,1496,1684,1878,1584
"SAR0274,NA,putative_ABC_transporter_ATP-binding_protein",4140,3953,2628,2694,3067,2552
"SAR0275,NA,putative_membrane_protein",6307,5829,4522,4515,4926,4048
"SAR0276,NA,putative_membrane_protein",6563,5463,4868,4490,5144,4187
"SAR0277,NA,putative_exported_protein",52883,47071,39669,34578,40090,33411
"SAR0278,NA,putative_exported_protein",18592,16204,15569,14504,19808,13405
"SAR0279,NA,conserved_hypothetical_protein",119515,125245,116403,107065,135712,113221
"SAR0280,NA,putative_membrane_protein",34685,27455,27740,22553,29633,23113
"SAR0281,NA,putative_membrane_protein",3243,2888,2458,2029,2256,1950
"SAR0282,NA,conserved_hypothetical_protein",787,638,580,438,530,435
"SAR0283,NA,putative_membrane_protein",9067,7279,6268,5322,6936,5011
"SAR0284,NA,putative_membrane_protein",34798,27005,25543,21038,34668,25397
"SAR0285,NA,hypothetical_protein",990,725,737,523,820,589
"SAR0286,NA,hypothetical_protein",1605,1180,1243,960,1475,1132
"SAR0287,NA,hypothetical_protein",9539,7429,7701,6392,9535,6928
"SAR0288,NA,putative_membrane_protein",4088,3917,3601,3468,4325,3725
"SAR0289,NA,hypothetical_protein",4146,3782,3583,3364,4218,3583
"SAR0290,NA,hypothetical_protein",4611,4430,4289,3753,4902,4064
"SAR0291,NA,putative_membrane_protein",4892,5014,4516,4307,5517,4637
"SAR0292,NA,putative_membrane_protein",17379,20789,17777,14507,18429,14612
"SAR0293,NA,conserved_hypothetical_protein",401,254,299,223,366,220
"SAR0294,NA,conserved_hypothetical_protein",249,200,186,142,220,184
"SAR0295,NA,conserved_hypothetical_protein_pseudogene",218,135,137,119,211,138
"SAR0297,NA,conserved_hypothetical_protein_pseudogene",306,235,220,207,308,237
"SAR0299,NA,hypothetical_protein",3360,2954,3203,2656,3478,2225
"SAR0301,NA,putative_membrane_protein",13112,12155,12146,9994,14455,11163
"SAR0302,NA,putative_formate/nitrite_transporter",7528,18199,8828,13244,10947,10807
"SAR0303,NA,putative_amino_acid_transport_system",14912,13247,11618,13492,13255,11310
"SAR0304,NA,putative_exported_protein",57625,57248,49900,45765,52154,43630
"SAR0305,NA,putative_membrane_protein",4809,7191,5498,8240,12862,11863
"SAR0306,NA,ABC_transporter_ATP-binding_protein",3420,4057,4506,6092,9300,9278
"SAR0307,NA,putative_membrane_protein",13670,10380,8386,9847,6788,5785
"SAR0308,NA,PfkB_family_carbohydrate_kinase",85,103,58,96,89,96
"SAR0309,NA,putative_membrane_protein",122,101,73,87,151,89
"SAR0310,NA,putative_nucleoside_permease",265,274,242,236,322,239
"SAR0311,NA,sodium:solute_symporter_family_protein",523,586,600,543,628,520
"SAR0312,NA,putative_N-acetylneuraminate_lyase",216,323,255,313,326,351
"SAR0313,NA,putative_ROK_family_protein",240,249,170,205,178,186
"SAR0314,NA,putative_transcription_regulator",4369,3641,3543,3775,2971,2284
"SAR0315,NA,conserved_hypothetical_protein",1189,1176,1003,1016,1023,939
"SAR0316,NA,putative_membrane_protein",376,412,276,385,245,185
"SAR0317,geh,lipase_precursor",99462,81887,73945,68149,110898,79133
"SAR0318,NA,hypothetical_protein",5169,4796,3943,4490,5554,4617
"SAR0319,NA,NADH:flavin_oxidoreductase_/_NADH_oxidase_family_protein",2610,2042,2045,2142,3423,2343
"SAR0320,NA,putative_bacterial_luciferase_family_protein",1169,1080,973,1074,1755,1488
"SAR0321,NA,putative_glycine_cleavage_H-protein",443,408,324,422,639,527
"SAR0322,NA,conserved_hypothetical_protein",832,934,767,839,1333,1262
"SAR0323,NA,conserved_hypothetical_protein",913,906,826,958,1425,1292
"SAR0324,NA,putative_lipoate-protein_ligase_A",916,990,953,979,1709,1416
"SAR0325,NA,putative_reductase",3117,3764,3064,4017,9095,8696
"SAR0327,NA,putative_PTS_transport_system_protein",86,82,71,57,97,67
"SAR0328,NA,putative_PTS_transport_system_IIA_component",115,113,96,97,121,96
"SAR0329,NA,putative_PTS_multidomain_regulator",839,924,684,736,800,710
"SAR0330,NA,MarR_family_regulatory_protein",3303,2887,2399,2386,2078,1330
"SAR0331,NA,putative_membrane_protein",757,748,573,644,654,608
"SAR0332,NA,hypothetical_protein",426,339,362,322,389,264
"SAR0333,glpT,putative_glycerol-3-phosphate_transporter",2319,2750,2516,1980,2824,2253
"SAR0334,NA,putative_dioxygenase",1530,1515,1399,1407,1616,1406
"SAR0335,NA,putative_luciferase-like_monooxygenase",2040,1989,1779,1859,2157,1923
"SAR0336,NA,NADH-dependent_FMN_reductase_pseudogene",1183,1243,1113,1212,1241,1162
"SAR0338,NA,putative_membrane_protein",9860,10438,7846,8910,7166,5675
"SAR0339,NA,putative_acetyltransferase",2451,1764,1524,1691,817,585
"SAR0340,NA,putative_lipoprotein",271,187,148,193,127,106
"SAR0341,NA,putative_Sec-independent_exported_protein",462,411,270,315,353,252
"SAR0342,NA,putative_membrane_protein",1748,1963,1398,1428,1624,1333
"SAR0343,NA,putative_Sec-independent_protein_translocase_protein",2514,2698,2090,2278,2064,1839
"SAR0344,NA,putative_Sec-independent_protein_translocase_protein",891,924,718,770,711,592
"SAR0345,NA,conserved_hypothetical_protein",1650,1188,1083,1052,1350,1042
"SAR0346,NA,putative_DNA-binding_protein",459,505,427,375,418,403
"SAR0347,NA,putative_membrane_protein",1817,1987,1569,1468,1718,1529
"SAR0348,NA,ABC_transporter_ATP-binding_protein",2742,2723,2262,2197,2779,2517
"SAR0349,NA,putative_membrane_protein",5379,6008,4738,4728,5420,4784
"SAR0350,NA,putative_membrane_protein",2820,2344,1793,1910,2099,1705
"SAR0351,thl,acetyl-CoA_acetyltransferase",10637,12362,10534,10715,16555,14914
"SAR0352,NA,conserved_hypothetical_protein",3615,3488,2023,2482,2253,1980
"SAR0353,metE,5-methyltetrahydropteroyltriglutamate--homocyst_eine_methyltransferase",6702,5705,2474,3421,2131,1714
"SAR0354,NA,conserved_hypothetical_protein",4223,3452,1686,2554,1262,1055
"SAR0355,NA,Cys/Met_metabolism_PLP-dependent_enzyme",1998,1717,907,1738,536,465
"SAR0356,NA,Cys/Met_metabolism_PLP-dependent_enzyme",1999,1985,1409,2423,481,366
"SAR0357,NA,putative_DNA-binding_protein",2895,2528,2464,2313,2756,1901
"SAR0358,NA,putative_membrane_protein",3519,3367,2790,2898,3625,3139
"SAR0359,NA,conserved_hypothetical_protein",1054,997,808,839,1076,998
"SAR0361,NA,hypothetical_protein",806,769,604,666,754,599
"SAR0362,rpsF,30S_ribosomal_protein_S6",34486,32006,26762,24833,45603,34259
"SAR0363,ssb,putative_single-strand_DNA-binding_protein",37453,37281,29593,27270,49589,38766
"SAR0364,rpsR,30S_ribosomal_protein_S18",13593,14611,11688,10824,18700,15705
"SAR0365,NA,hypothetical_protein",2,2,1,1,1,2
"SAR0366,NA,putative_integrase",0,1,2,0,0,0
"SAR0367,NA,DNA-binding_protein",0,1,0,0,1,0
"SAR0370,NA,putative_exported_protein",3,4,5,9,4,1
"SAR0371,NA,hypothetical_protein",7,11,5,7,8,10
"SAR0372,NA,hypothetical_protein",76,68,50,54,61,43
"SAR0373,NA,hypothetical_protein",6,7,9,4,8,3
"SAR0374,NA,hypothetical_protein",5529,5532,4886,4753,5618,4087
"SAR0375,NA,hypothetical_protein",800,640,669,522,755,405
"SAR0376,NA,hypothetical_protein",91,75,54,66,96,69
"SAR0377,NA,hypothetical_protein",222,207,168,202,233,202
"SAR0378,NA,hypothetical_protein",281,365,224,272,354,347
"SAR0380,NA,hypothetical_protein",298,325,260,300,443,334
"SAR0381,NA,hypothetical_protein",180,196,149,179,282,212
"SAR0382,NA,putative_terminase_small_subunit",390,411,324,353,617,503
"SAR0383,NA,hypothetical_protein",1,1,1,1,0,0
"SAR0385,NA,putative_membrane_protein",0,1,1,0,1,0
"SAR0386,NA,hypothetical_protein",608,676,543,578,775,601
"SAR0387,NA,integrase_fragment",249,299,223,222,283,234
"SAR0389,NA,putative_exported_protein",88,84,74,70,101,64
"SAR0390,NA,putative_lipoprotein",18326,44358,24328,52260,52574,54890
"SAR0391,NA,hypothetical_protein",12467,13898,9684,9819,7899,5435
"SAR0392,NA,putative_membrane_protein",34486,59178,41704,90448,97673,112729
"SAR0393,NA,hypothetical_protein",181,245,225,261,443,495
"SAR0394,NA,phosphoglycerate_mutase_family_protein",2803,2861,2198,2678,3408,3150
