Synonym,Raw.Counts.PAK.Replicate.1,Raw.Counts.PAK.Replicate.2,Raw.Counts.PAK.Replicate.3,Raw.Counts.PilA.Replicate.1,Raw.Counts.PilA.Replicate.2,Raw.Counts.PilA.Replicate.3,Raw.Counts.PilR.Replicate.1,Raw.Counts.PilR.Replicate.2,Raw.Counts.PilR.Replicate.3
PA0120,0,0,0,1,0,0,4,2,2
PA0121,0,0,4,2,0,1,3,1,2
PA0122,7,10,11,8,6,8,7,8,5
PA0123,15,33,16,25,22,21,32,20,33
PA0124,1,3,0,1,0,1,1,0,0
PA0125,0,0,1,0,1,1,1,0,0
PA0126,0,5,1,3,0,4,1,1,5
predicted RNA,61,72,63,58,46,55,54,64,64
PA0127,0,1,2,1,3,1,0,0,0
predicted RNA,3,4,2,3,3,5,5,2,4
PA0128,0,1,1,0,2,1,2,1,1
predicted RNA,79,89,63,55,56,45,54,70,54
PA0129,21,29,38,20,24,41,37,49,35
PA0130,11,14,10,8,4,12,25,23,9
PA0131,1,0,0,0,0,0,3,1,1
PA0132,6,19,12,9,8,18,16,17,17
PA0133,11,35,24,31,25,30,53,45,28
PA0134,10,16,12,18,7,24,22,20,12
PA0135,0,1,0,0,0,0,0,0,0
PA0136,0,5,1,10,5,2,8,7,1
PA0137,2,10,5,3,4,7,3,7,5
PA0138,7,14,13,6,8,19,4,16,10
predicted RNA,1761,2074,1860,1704,1764,1911,2305,2150,2191
PA0139,9,9,10,9,11,6,10,15,9
PA0140,27,28,13,28,18,18,25,9,14
predicted RNA,360,378,176,209,210,185,215,117,155
PA0141,2,4,3,2,0,2,5,2,1
PA0142,3,11,11,13,4,11,18,14,10
PA0143,8,19,17,14,7,15,28,23,21
PA0144,12,12,11,11,14,14,15,16,15
PA0145,0,1,0,0,0,2,0,2,0
PA0146,4,5,3,7,5,4,8,5,1
PA0147,6,10,9,2,5,9,12,12,9
PA0148,0,8,3,4,2,4,4,5,4
PA0149,0,6,7,0,0,2,2,3,2
PA0150,2,4,2,2,4,1,2,3,3
PA0151,4,11,9,5,9,7,15,10,3
PA0152,6,22,15,23,12,20,17,26,18
PA0153,3,11,9,9,2,14,11,5,6
PA0154,12,37,23,24,20,42,24,30,23
PA0155,2,9,4,2,3,3,2,11,7
PA0156,1,2,0,0,1,1,0,1,1
predicted RNA,2,5,4,4,3,3,3,3,3
PA0157,1,5,0,1,2,2,1,2,0
PA0158,15,26,26,18,12,21,20,20,14
PA0159,5,26,25,9,10,14,19,21,18
PA0160,3,4,10,7,4,6,4,7,6
PA0162,18,48,39,37,24,45,47,47,27
PA0163,1,8,4,0,1,2,3,8,0
PA0164,0,5,4,3,0,5,4,4,0
PA0165,3,20,6,6,7,15,11,10,11
PA0166,3,12,12,21,6,22,24,24,14
PA0167,6,9,7,18,6,13,11,8,11
PA0168,0,0,0,0,2,0,0,0,0
PA0169,7,25,16,26,10,10,30,21,28
PA0170,2,6,5,3,2,8,6,3,1
PA0171,1,8,1,5,1,3,2,5,2
PA0172,12,15,24,16,11,15,13,17,11
PA0173,0,5,1,0,1,1,2,1,0
PA0174,1,1,0,0,0,0,1,5,1
PA0175,0,4,2,2,1,2,6,7,2
PA0176,3,8,15,10,7,7,9,17,4
PA0177,1,2,4,1,1,0,2,0,2
PA0178,7,7,8,14,6,6,11,8,10
PA0179,0,0,1,0,1,0,3,1,0
predicted RNA,172,324,207,225,162,238,327,179,232
PA0180,4,8,7,15,20,5,7,7,10
predicted RNA,81,66,50,51,48,37,60,38,41
PA0181,13,36,20,24,15,14,31,18,18
PA0182,1,1,1,0,1,6,4,5,2
PA0183,10,13,10,23,12,21,21,24,23
PA0184,1,4,4,7,1,2,5,4,1
PA0185,2,6,3,2,1,4,4,7,5
PA0186,2,3,1,2,1,0,0,3,4
PA0187,0,0,0,0,0,0,0,0,0
PA0188,0,0,0,0,0,0,0,0,0
PA0189,7,17,20,22,20,29,41,39,18
PA0190,2,9,7,3,3,2,8,10,8
PA0191,0,1,7,7,2,3,6,5,0
PA0192,7,17,15,15,13,17,13,18,18
PA0193,1,1,2,4,2,2,4,8,3
PA0194,0,5,7,3,1,2,5,9,5
predicted RNA,119,114,89,52,65,54,73,81,78
PA0195,6,7,6,4,1,4,12,8,2
PA0195.1,1,7,5,3,3,2,3,2,3
PA0196,13,25,14,19,19,22,24,12,26
PA0197,4,7,2,6,6,6,4,5,5
PA0198,8,14,10,14,8,12,12,9,11
PA0199,29,34,25,32,14,19,31,21,25
PA0200,0,0,0,0,1,0,0,0,1
PA0201,2,4,1,1,0,0,2,1,0
predicted RNA,99,101,72,55,58,46,53,39,49
PA0202,0,0,0,0,0,0,0,0,0
PA0203,0,0,0,0,0,0,0,0,0
PA0204,0,0,0,0,0,0,0,0,0
PA0205,0,0,0,0,0,0,0,0,0
PA0206,0,0,0,0,0,0,0,0,0
PA0207,0,0,0,0,0,0,0,0,0
predicted RNA,171,826,483,870,607,1055,809,614,545
PA0208,16,22,13,20,29,34,33,19,21
PA0209,0,0,0,3,1,0,5,3,4
predicted RNA,0,2,1,2,1,3,2,1,1
PA0210,0,0,1,1,0,1,0,0,0
PA0211,0,0,1,1,0,0,0,0,1
PA0212,0,3,0,2,1,2,5,0,0
PA0213,0,2,1,2,2,2,2,0,1
PA0214,7,17,11,17,14,23,16,20,20
PA0215,6,0,5,2,1,0,0,2,4
PA0216,3,7,1,4,3,5,9,7,5
PA0217,12,106,52,81,52,117,75,58,38
PA0218,6,17,6,17,7,20,10,13,5
PA0219,0,2,2,6,0,6,3,2,3
PA0220,12,42,30,37,21,33,46,35,37
PA0221,3,9,12,10,7,6,12,13,9
PA0222,0,4,5,5,1,2,3,4,2
PA0223,9,17,15,16,9,11,12,16,11
PA0224,7,34,20,21,11,23,23,28,25
PA0225,0,2,2,1,1,0,2,0,1
predicted RNA,32,278,59,74,115,129,164,98,72
PA0226,2,3,3,1,0,4,3,4,1
predicted RNA,1,13,2,3,5,5,6,5,5
predicted RNA,8,72,24,21,33,33,37,27,19
PA0227,3,6,4,2,3,3,6,12,4
PA0228,1,7,0,1,6,3,5,5,3
predicted RNA,10,87,28,29,38,49,59,42,27
PA0229,4,9,18,6,5,12,15,12,10
PA0230,3,10,5,12,5,10,6,9,10
PA0231,0,6,7,0,3,7,6,5,4
PA0232,6,13,8,7,5,10,6,9,8
predicted RNA,48,142,61,64,92,82,122,99,78
PA0233,55,81,89,47,52,64,86,75,58
PA0234,10,18,13,20,4,8,10,17,12
PA0235,2,1,2,1,0,0,3,3,0
PA0236,0,1,1,0,0,1,1,1,0
PA0237,0,2,2,4,0,2,1,3,0
PA0238,3,9,11,8,6,13,11,6,3
PA0239,1,6,4,7,5,11,3,4,8
PA0240,24,56,29,41,26,44,41,45,30
PA0241,1,11,2,6,2,8,7,8,6
PA0242,1,5,4,6,3,4,5,10,2
PA0243,2,3,3,2,2,5,6,5,2
PA0244,4,9,8,8,3,4,11,11,3
PA0245,1,0,1,5,0,1,0,3,0
PA0246,5,11,5,4,5,8,17,10,6
PA0247,4,8,8,6,6,9,7,5,4
PA0248,6,7,3,6,3,3,8,7,6
PA0249,0,6,4,2,2,3,2,5,2
predicted RNA,314,566,388,340,377,265,410,278,363
PA0250,12,14,21,14,16,5,19,16,9
PA0251,7,9,11,4,7,7,10,8,11
PA0252,0,6,1,1,2,4,3,4,6
PA0253,6,10,9,3,6,7,2,8,3
PA0254,13,20,24,15,11,16,27,22,13
PA0255,2,21,18,12,6,15,22,13,12
PA0256,7,17,14,18,12,15,10,14,16
predicted RNA,151,338,278,236,198,259,320,259,277
PA0257,0,0,0,0,0,0,0,0,0
PA0258,0,0,0,0,0,0,0,0,0
PA0259,0,0,0,0,0,0,0,0,0
PA0260,0,0,0,0,0,0,0,0,0
PA0261,0,0,0,0,0,0,0,0,0
PA0262,5,8,7,8,3,15,12,8,7
PA0263,18,29,27,24,12,15,17,24,16
predicted RNA,14,12,8,38,30,33,2,2,1
predicted RNA,1,1,0,2,4,2,0,0,0
PA0263.1,0,0,1,1,1,0,0,1,0
PA0265,1,8,11,6,3,7,10,4,4
PA0266,10,13,11,14,10,9,21,13,14
PA0267,1,4,1,0,0,1,5,1,3
PA0268,1,6,4,5,4,6,9,7,9
PA0269,0,0,0,0,1,0,0,0,0
PA0270,1,0,2,1,0,0,0,1,0
PA0271,3,1,4,3,1,5,4,2,0
PA0272,17,23,23,36,17,28,47,29,29
PA0273,0,1,5,2,3,3,3,6,2
PA0274,0,1,0,0,2,1,0,0,0
PA0275,0,1,1,0,2,2,0,3,2
PA0276,1,1,0,0,0,0,2,0,0
PA0277,2,7,10,7,3,9,13,5,7
PA0278,2,0,0,3,2,4,1,1,0
PA0279,5,7,4,6,3,2,4,2,1
PA0280,14,19,20,16,12,19,11,12,17
predicted RNA,4,1,0,1,0,0,0,0,0
PA0281,3,16,3,3,0,2,8,12,6
PA0282,1,5,11,7,3,6,4,5,6
PA0283,4,7,18,7,6,10,12,12,7
predicted RNA,209,90,87,50,75,54,71,42,57
PA0284,2,6,6,1,2,8,6,7,4
PA0285,11,22,23,14,15,19,16,29,18
predicted RNA,939,1167,1028,871,815,927,1192,1097,881
PA0286,9,6,8,8,4,3,6,9,4
PA0287,4,0,6,5,4,3,5,6,5
PA0288,1,2,1,1,1,2,1,0,1
PA0289,1,2,6,1,4,4,3,3,3
PA0290,4,11,10,5,4,6,10,8,6
predicted RNA,1182,1003,758,545,640,629,653,494,634
PA0291,68,142,143,125,104,143,159,164,144
PA0292,10,10,11,6,7,5,7,9,9
PA0293,2,8,9,3,3,8,7,4,8
PA0294,5,13,8,6,7,4,12,6,6
PA0295,2,15,11,13,6,16,15,15,5
predicted RNA,58,55,27,26,23,32,29,25,14
PA0296,27,53,36,37,21,45,45,51,46
PA0297,105,269,226,215,168,272,299,249,244
PA0298,11,33,26,20,13,28,29,23,28
PA0299,13,10,10,7,5,12,15,14,10
PA0300,21,28,12,10,14,20,20,26,13
PA0301,9,18,12,7,3,9,4,10,11
PA0302,11,15,12,9,9,12,11,9,12
PA0303,41,74,48,54,32,62,61,63,63
PA0304,0,2,5,1,0,3,4,4,3
PA0305,5,12,18,10,9,21,9,18,13
PA0306,76,85,38,52,48,49,54,46,43
PA0306a,14,19,16,12,10,19,16,19,17
PA0307,3,2,12,4,5,11,9,12,7
PA0308,13,13,18,13,13,7,19,14,8
PA0309,15,29,21,18,10,19,25,20,20
PA0310,13,18,12,13,18,13,15,10,15
PA0311,1,0,0,0,0,1,5,1,0
PA0312,8,7,13,6,5,5,11,13,12
PA0313,28,72,68,56,43,64,77,92,63
PA0314,2,5,0,2,1,1,4,5,4
predicted RNA,84,93,65,65,56,57,75,57,77
predicted RNA,250,251,212,164,154,167,254,167,192
PA0315,7,9,6,4,2,4,4,7,4
PA0316,106,202,185,162,127,213,248,232,206
predicted RNA,63,53,39,31,28,35,32,37,36
PA0317,6,19,30,20,12,18,9,14,10
predicted RNA,29,26,20,10,22,18,27,21,22
PA0318,0,5,3,0,2,2,3,4,4
predicted RNA,5,6,4,3,3,3,7,7,5
PA0319,2,6,11,6,2,9,4,11,1
PA0320,0,2,1,0,0,3,0,3,2
predicted RNA,22,47,65,15,15,21,11,10,16
PA0321,5,10,8,3,5,12,7,10,6
PA0322,6,21,14,12,12,19,10,14,15
PA0323,7,15,7,46,31,37,10,8,11
PA0324,13,24,24,21,10,29,16,18,18
PA0325,25,48,43,29,26,46,53,53,39
PA0326,0,1,3,5,4,2,8,2,2
PA0327,20,15,7,16,18,14,16,17,17
PA0328,17,36,34,20,10,19,17,23,23
predicted RNA,52,42,36,32,33,19,33,13,29
predicted RNA,1349,2225,1648,1463,1456,1363,2187,1459,1951
PA0329,3,7,6,6,1,4,7,2,2
PA0330,9,24,15,17,13,20,25,21,14
PA0331,8,28,25,25,13,21,25,24,20
predicted RNA,247,401,270,244,243,243,352,272,315
PA0332,0,0,3,1,0,0,2,2,2
PA0333,2,4,5,5,4,7,9,7,3
PA0334,13,18,20,23,15,22,28,25,23
PA0335,3,4,3,5,3,7,8,2,11
predicted RNA,1169,1792,1544,1403,1274,1616,1913,1682,1650
PA0336,1,4,2,1,0,1,5,2,4
PA0337,36,64,82,59,36,71,79,63,49
PA0338,11,22,20,7,9,11,20,14,12
PA0339,4,10,4,7,5,8,10,14,5
PA0340,7,24,13,19,13,19,26,21,18
PA0341,10,21,20,25,10,18,23,24,19
PA0342,24,45,39,47,22,46,51,51,44
PA0343,30,29,24,24,13,26,35,27,29
PA0344,3,7,5,8,6,6,15,15,7
PA0345,0,8,4,10,5,11,8,11,6
PA0346,1,2,2,3,4,3,5,5,3
PA0347,25,45,34,50,14,44,49,61,50
PA0348,9,21,22,29,15,22,16,11,15
PA0349,11,13,18,10,10,22,20,25,18
PA0350,3,16,19,12,10,7,17,18,12
PA0351,17,11,8,12,10,1,12,10,3
PA0352,2,3,10,10,3,9,13,6,8
PA0353,13,21,19,20,14,26,25,24,17
predicted RNA,11,24,26,28,17,31,19,29,23
predicted RNA,81,86,80,70,54,54,82,70,64
predicted RNA,14,23,17,18,16,16,24,24,20
predicted RNA,55,87,69,43,34,48,73,68,50
PA0354,14,27,17,22,20,21,34,38,17
predicted RNA,495,838,645,904,654,872,971,775,656
PA0355,1,4,8,3,0,4,7,7,0
PA0356,1,0,3,1,1,3,2,3,3
PA0357,4,4,5,4,1,7,5,6,6
predicted RNA,72,81,68,61,74,43,102,89,61
PA0358,5,21,11,14,4,9,11,20,13
predicted RNA,536,575,508,308,316,284,417,299,332
PA0359,1,4,6,1,2,3,6,3,7
predicted RNA,79,144,127,115,89,101,136,145,107
PA0360,5,13,13,8,11,11,20,13,10
PA0361,14,34,25,14,14,18,30,28,9
PA0362,0,0,0,1,0,1,0,0,0
predicted RNA,46,86,78,51,42,53,69,78,56
predicted RNA,259,215,176,157,189,114,225,169,173
PA0363,2,8,7,6,4,5,2,6,4
PA0364,8,16,12,10,6,18,15,18,12
PA0365,1,3,3,4,5,5,4,4,2
PA0366,8,20,20,15,10,6,14,20,10
PA0367,9,19,24,32,10,26,21,21,11
PA0367a,6,17,9,12,9,11,14,14,15
PA0368,1,6,1,0,2,2,4,4,10
PA0370,7,8,7,10,4,8,15,3,4
PA0371,2,18,22,22,10,18,11,26,18
PA0372,3,12,12,11,10,7,17,21,9
PA0373,2,4,2,6,1,5,6,8,11
predicted RNA,10,17,13,11,10,12,15,16,12
predicted RNA,211,207,217,144,154,171,210,199,166
PA0374,11,30,26,7,13,31,28,36,23
PA0375,5,8,4,6,4,4,5,5,9
predicted RNA,40,33,26,23,21,24,32,28,21
predicted RNA,4,6,3,3,2,3,6,7,4
predicted RNA,1228,1607,1336,1377,1321,1383,1712,1467,1247
PA0376,4,19,9,6,10,14,8,13,7
PA0377,3,14,4,5,3,9,12,12,5
PA0378,8,16,12,7,6,12,16,5,8
PA0379,1,3,0,1,0,4,1,1,4
PA0380,0,2,1,3,1,1,5,3,2
PA0381,6,7,3,11,3,8,12,6,7
predicted RNA,42,26,30,37,32,30,42,26,29
PA0382,6,2,5,6,2,7,5,6,7
PA0383,53,86,55,72,56,56,90,76,64
PA0384,1,1,4,1,4,1,4,4,1
PA0385,2,2,0,7,2,3,3,4,2
PA0386,3,9,2,10,6,5,4,11,1
PA0387,0,1,2,4,6,8,4,3,5
predicted RNA,395,693,500,560,475,613,713,550,542
PA0388,0,2,3,0,1,1,3,1,2
PA0389,4,8,8,11,15,6,12,14,6
PA0390,9,15,20,15,12,10,15,16,8
predicted RNA,632,478,374,161,190,132,246,172,207
PA0391,9,22,14,12,11,14,16,26,16
predicted RNA,145,125,91,43,44,36,50,49,53
PA0392,4,8,8,5,2,9,8,8,9
PA0393,11,12,14,10,10,16,14,13,13
PA0394,2,4,2,1,2,5,1,4,1
PA0395,42,55,64,57,37,49,63,54,41
PA0396,125,306,249,271,171,296,321,378,223
PA0397,45,60,43,32,34,42,43,39,33
predicted RNA,25,45,27,21,15,16,47,28,16
PA0398,2,2,4,1,0,2,4,2,5
predicted RNA,246,260,179,160,162,145,198,167,164
predicted RNA,110,73,80,62,55,76,73,39,82
PA0399,15,47,37,28,26,33,38,46,24
predicted RNA,75,68,31,43,54,53,68,45,30
PA0400,7,12,18,24,11,18,17,21,15
predicted RNA,33,31,16,21,23,19,22,22,23
predicted RNA,3,5,2,2,2,2,2,2,2
PA0401,19,26,20,10,13,11,18,13,13
predicted RNA,286,324,199,201,220,179,290,219,196
predicted RNA,287,299,196,168,219,200,266,155,177
PA0402,4,7,15,7,0,6,9,10,3
predicted RNA,3,6,2,2,3,2,4,2,3
PA0403,1,5,5,3,4,5,4,10,1
predicted RNA,164,227,146,111,113,107,185,123,116
PA0404,4,9,8,8,5,10,11,13,6
predicted RNA,4,10,9,9,5,9,12,13,7
predicted RNA,256,352,313,270,246,329,456,397,304
PA0405,0,4,3,3,1,3,0,4,3
PA0406,7,19,26,20,12,17,17,20,15
PA0407,504,521,437,196,176,148,222,212,206
predicted RNA,91,130,110,83,70,82,137,124,95
predicted RNA,6,5,4,4,3,6,8,5,4
predicted RNA,27,32,22,24,17,29,40,26,23
PA0408,1,9,7,5,6,5,3,5,2
PA0409,1,0,3,1,0,0,0,0,0
PA0410,1,6,6,6,2,5,2,5,1
PA0411,11,15,10,11,10,17,8,9,10
PA0412,0,2,0,1,2,0,1,0,1
predicted RNA,209,168,142,86,101,88,97,99,92
PA0413,37,67,54,59,41,54,63,52,47
predicted RNA,126,104,85,43,57,44,74,39,49
predicted RNA,58,61,40,25,30,23,36,21,25
predicted RNA,17,15,12,12,12,9,13,6,5
predicted RNA,265,245,144,103,118,94,149,91,120
predicted RNA,171,149,94,66,73,73,91,75,58
predicted RNA,23,23,21,9,14,15,18,21,15
predicted RNA,133,113,85,46,72,46,83,49,67
predicted RNA,8,5,3,2,2,4,5,3,3
predicted RNA,10,10,7,3,3,3,7,3,3
predicted RNA,137,134,81,50,51,39,77,47,58
predicted RNA,4,4,2,1,2,1,3,1,2
predicted RNA,226,196,143,72,94,58,124,84,108
predicted RNA,186,179,112,67,82,75,116,83,104
PA0414,3,3,3,14,7,7,3,6,7
PA0415,0,0,1,0,0,0,0,1,0
predicted RNA,11,10,10,7,4,6,8,6,5
PA0416,0,0,1,1,0,0,4,2,2
PA0417,2,6,9,4,1,4,9,1,3
PA0418,9,30,20,23,19,21,35,27,27
PA0419,4,9,8,14,5,5,4,6,7
PA0420,3,19,6,9,10,10,9,12,4
PA0421,3,8,7,9,3,9,6,6,11
predicted RNA,113,97,101,65,73,51,80,71,73
predicted RNA,17,9,12,7,6,5,8,7,9
PA0422,4,12,5,11,2,7,14,11,9
predicted RNA,34,34,31,18,22,22,17,26,20
predicted RNA,1642,1388,1028,1058,1261,961,1058,918,1044
PA0423,12,12,13,6,4,5,8,4,5
PA0424,168,442,319,316,247,303,467,312,331
PA0425,20,32,21,16,9,21,20,26,22
PA0426,15,13,22,11,10,16,19,8,11
PA0427,15,15,14,14,11,18,17,15,21
PA0428,5,16,11,12,12,17,16,20,12
predicted RNA,160,306,194,175,148,190,281,218,191
PA0429,18,32,21,24,20,32,31,29,25
PA0430,6,17,10,9,12,11,11,19,16
PA0431,1,5,3,2,0,4,3,3,3
predicted RNA,1048,1181,820,749,767,810,1051,897,847
PA0432,9,14,21,13,10,10,21,21,18
PA0433,0,1,0,2,1,0,1,3,1
PA0434,15,18,24,19,13,24,19,28,16
PA0435,1,4,3,1,0,2,1,5,0
PA0436,6,8,2,3,5,5,6,2,7
PA0437,32,77,69,47,40,73,80,76,67
PA0438,4,9,12,5,11,12,8,14,4
PA0439,4,14,10,6,2,5,12,14,8
PA0440,15,24,26,13,17,20,18,23,21
PA0441,2,17,12,7,7,11,13,11,13
predicted RNA,0,2,3,4,2,9,6,24,3
PA0442,0,0,0,0,0,0,0,0,0
predicted RNA,2,11,8,29,10,29,12,48,16
PA0443,3,10,9,6,6,12,10,20,6
PA0444,16,38,34,29,22,20,37,15,16
PA0445,0,0,0,0,0,0,0,0,0
predicted RNA,3554,3486,3538,1613,1943,1318,2530,1046,1652
PA0446,7,20,9,17,8,34,22,44,19
PA0447,12,2,14,5,6,4,8,9,3
