,PAO1_control,PAO1_T2.5
PA0450,235,217
PA0451,6,8
PA0452,37,30
PA0451a,76,90
PA0454,63,63
PA0455,17,22
predicted RNA,188770,145220
PA0456,202,920
PA0457,108,113
PA0457.1,93,84
PA0458,38,45
predicted RNA,7045,7083
PA0459,41,61
PA0460,30,60
PA0461,951,810
PA0462,13,22
predicted RNA,3480,4141
PA0463,7,7
PA0464,26,28
PA0465,38,41
PA0466,45,51
PA0467,6,16
PA0468,27,19
PA0469,17,22
PA0470,211,199
PA0471,15,6
PA0472,12,3
PA0473,10,5
PA0474,6,10
PA0475,8,15
PA0476,182,163
PA0477,18,31
PA0478,94,62
PA0479,26,21
PA0480,12,13
PA0481,28,21
PA0482,55,75
predicted RNA,3915,3910
predicted RNA,6042,5399
predicted RNA,5983,5520
PA0483,889,724
predicted RNA,6227,6151
PA0484,30,44
PA0485,211,182
PA0486,52,52
PA0487,28,39
PA0488,58,74
PA0489,3,14
PA0490,37,37
PA0491,42,38
PA0492,27,30
predicted RNA,73,72
PA0493,67,75
PA0494,6,10
PA0495,261,207
predicted RNA,203,152
predicted RNA,146,95
PA0496,94,69
PA0497,164,91
PA0498,864,644
PA0499,336,269
PA0500,29,31
PA0501,7,6
PA0502,9,12
PA0503,0,3
PA0504,2,2
PA0505,7,35
predicted RNA,5154,6321
predicted RNA,6934,7012
PA0506,61,73
predicted RNA,3218,3637
predicted RNA,3850,3820
PA0507,34,36
PA0508,35,36
predicted RNA,702,536
PA0509,10,13
PA0510,5,4
predicted RNA,396,394
PA0511,24,26
PA0512,10,6
PA0513,18,21
PA0514,2,13
PA0515,33,32
predicted RNA,394,366
predicted RNA,542,547
PA0516,36,36
predicted RNA,480,512
PA0517,8,15
predicted RNA,1314,1140
PA0518,4,17
PA0519,62,70
PA0520,2,9
predicted RNA,695,665
PA0521,15,10
PA0522,5,6
predicted RNA,50,55
PA0523,23,19
PA0524,23,23
PA0525,37,50
PA0526,29,27
PA0527,504,452
PA0527.1,0,5
PA0528,120,90
predicted RNA,1448,2290
PA0529,16,24
predicted RNA,566,892
PA0530,10,13
PA0531,201,195
PA0532,218,236
PA0533,18,19
PA0534,58,67
predicted RNA,3718,5358
PA0535,43,35
PA0536,33,41
PA0537,17,24
predicted RNA,2635,2231
predicted RNA,3063,2513
PA0538,13,18
PA0539,14,9
PA0540,57,60
PA0541,250,321
PA0542,45,55
PA0543,21,21
PA0544,307,329
predicted RNA,4094,3824
PA0545,9,16
predicted RNA,9652,7493
PA0546,154,219
PA0547,47,45
predicted RNA,2609,3188
predicted RNA,3413,4138
PA0548,48,60
predicted RNA,2578,2851
predicted RNA,1512,1689
predicted RNA,1314,1537
predicted RNA,1154,1644
predicted RNA,1231,1719
predicted RNA,3087,3179
PA0549,10,15
PA0550,168,169
PA0551,45,51
predicted RNA,1350,1378
PA0552,41,46
predicted RNA,2190,2422
PA0553,82,79
PA0554,14,33
predicted RNA,4904,4858
PA0555,66,66
PA0556,76,129
PA0557,301,305
PA0558,51,63
PA0559,484,461
PA0560,45,37
PA0561,42,32
PA0562,57,67
PA0563,46,29
predicted RNA,2217,1325
PA0564,46,48
PA0565,267,247
PA0566,363,401
PA0567,768,537
PA0568,588,635
PA0569,23,35
PA0570,55,34
PA0571,26,15
PA0572,31,44
PA0573,833,695
PA0574,92,73
PA0574.1,332,313
PA0575,119,118
PA0576,63,108
predicted RNA,15819,14070
PA0577,106,110
PA0578,62,95
predicted RNA,23044,22878
PA0579,407,386
PA0580,116,104
PA0581,366,380
PA0582,35,18
PA0583,125,116
PA0584,44,34
PA0585,18,24
predicted RNA,33243,26390
PA0586,73,81
PA0587,137,172
PA0588,136,254
PA0589,183,173
PA0590,45,46
PA0591,12,25
predicted RNA,2668,2563
PA0592,82,88
PA0593,38,37
predicted RNA,4937,4288
PA0594,100,111
PA0595,543,416
predicted RNA,1346,2026
predicted RNA,3022,3283
PA0596,21,29
PA0597,3,7
PA0598,54,66
PA0599,226,188
PA0600,17,14
PA0601,24,32
PA0602,15,21
PA0603,65,61
PA0604,36,26
PA0605,160,126
PA0606,53,35
PA0607,25,32
PA0608,22,33
PA0609,80,60
PA0610,35,49
PA0611,25,21
predicted RNA,828,648
PA0612,4,4
PA0613,68,83
PA0614,3,4
PA0615,8,9
predicted RNA,1222,1019
PA0616,26,19
predicted RNA,822,659
PA0617,49,55
PA0618,14,12
predicted RNA,908,637
predicted RNA,498,471
predicted RNA,1972,1353
PA0619,68,85
PA0620,173,120
PA0621,180,148
PA0622,91,81
PA0623,29,26
PA0624,23,14
PA0625,15,17
PA0626,11,25
predicted RNA,929,801
PA0627,5,3
predicted RNA,848,687
PA0628,9,9
predicted RNA,824,625
predicted RNA,987,540
predicted RNA,835,607
PA0629,17,19
predicted RNA,764,584
PA0630,34,51
PA0631,17,50
predicted RNA,1951,1243
PA0633,35,44
PA0634,3,19
PA0635,19,35
PA0636,25,24
predicted RNA,781,498
PA0637,5,10
predicted RNA,875,656
PA0638,11,11
predicted RNA,759,615
PA0639,15,13
predicted RNA,905,739
PA0640,8,6
predicted RNA,841,685
PA0641,50,44
predicted RNA,651,594
predicted RNA,684,566
predicted RNA,878,570
predicted RNA,1199,616
predicted RNA,1355,615
PA0643,286,208
predicted RNA,992,664
PA0644,528,310
predicted RNA,1358,785
PA0645,375,330
predicted RNA,1174,785
PA0646,768,655
predicted RNA,1625,927
predicted RNA,2484,2179
PA0647,95,82
predicted RNA,2780,1864
predicted RNA,2860,1974
PA0648,138,187
predicted RNA,1343,1365
PA0649,59,55
PA0650,17,23
predicted RNA,2.81E+03,2742
PA0651,584,505
PA0652,52,67
predicted RNA,8221,7250
PA0653,195,172
PA0654,1082,932
PA0655,20,43
PA0656,26,45
predicted RNA,5082,4512
PA0657,16,22
PA0658,126,120
PA0659,77,84
PA0660,58,49
PA0661,41,37
predicted RNA,1726,1858
PA0662,14,22
PA0663,11,30
PA0664,100,96
PA0665,173,103
predicted RNA,4880,4714
PA0666,216,240
predicted RNA,4356,4273
PA0667,925,686
predicted RNA,5121,5021
predicted RNA,3849,4047
PA0668,172,159
predicted RNA,1845515,573725
PA0668.1,2133,2105
predicted RNA,801673,274938
PA0668.2,42,250
PA0668.3,77,98
PA0668.4,1402,1608
PA0668.5,335,142
PA0669,52,53
PA0670,21,24
PA0671,45,53
PA0672,98,82
PA0673,13,29
PA0674,1,4
PA0675,18,4
PA0676,9,12
PA0677,9,7
PA0678,0,0
PA0679,0,1
PA0680,30,39
PA0681,2,9
PA0682,8,9
PA0683,1,1
PA0684,14,10
PA0685,22,28
PA0686,16,23
PA0687,16,13
PA0688,612,498
PA0689,906,647
PA0690,58,60
PA0691,14,1
PA0692,20,18
PA0693,6,10
PA0694,10,4
PA0695,0,5
PA0696,62,55
PA0697,1,5
PA0698,1,2
PA0699,4,4
PA0700,7,12
PA0701,4,4
PA0701a,5,2
PA0702,43,47
PA0703,10,15
PA0704,17,13
PA0705,17,40
PA0706,74,49
PA0707,43,46
PA0708,12,16
PA0709,3.9E+01,50
PA0710,67,54
PA0711,7.9E+01,64
PA0712,4.2E+01,28
PA0713,68,126
PA0714,7.8E+01,66
PA0714.1,1164,645
PA0715,20,11
PA0716,97,69
PA0718,6.4E+01,90
PA0719,54,86
PA0720,20,16
PA0721,148,123
PA0722,199,156
PA0723,25,27
PA0724,52,48
PA0725,101,105
PA0726,108,89
PA0727,77,69
PA0728,28,24
PA0729,109,97
PA0729.1,698,453
PA0730,212,155
predicted RNA,3581,2880
PA0731,156,119
PA0732,125,131
PA0733,82,76
PA0734,59,71
PA0735,26,49
PA0736,151,179
PA0736a,68,37
predicted RNA,4911,4479
PA0737,9,15
PA0738,32,37
PA0739,5,10
PA0740,36,44
PA0741,20,22
PA0742,51,29
PA0743,78,95
predicted RNA,1700,1375
PA0744,6,9
predicted RNA,779,728
predicted RNA,1509,1126
PA0745,24,37
predicted RNA,1587,1150
PA0746,81,108
predicted RNA,1105,928
PA0747,74,82
predicted RNA,1202,704
predicted RNA,2466,2221
PA0749,36,35
PA0750,90,76
predicted RNA,382,102
PA0751,61,52
PA0752,22,24
predicted RNA,297,108
predicted RNA,216,57
predicted RNA,241,69
PA0753,17,24
predicted RNA,439,73
PA0754,17,20
PA0755,49,34
predicted RNA,423,33
PA0756,12,10
PA0757,60,55
PA0758,160,163
PA0759,36,44
PA0760,83,49
PA0761,459,477
PA0762,37,99
PA0763,21,56
PA0764,3,17
PA0765,18,20
PA0766,12,27
PA0767,75,75
predicted RNA,5669,4049
PA0768,300,233
predicted RNA,4429,3090
PA0769,22,17
predicted RNA,8435,6133
PA0770,12,21
PA0771,48,60
predicted RNA,4331,3471
PA0772,12,13
PA0773,16,22
PA0774,68,105
PA0775,33,34
PA0776,33,47
PA0777,15,16
PA0778,54,38
PA0779,56,66
predicted RNA,3430,3505
predicted RNA,4275,4418
PA0780,9,12
PA0781,40,44
PA0782,15,19
predicted RNA,785,556
PA0783,217,179
PA0784,25,34
PA0785,1,8
PA0786,8,16
PA0787,197,197
PA0788,95,93
predicted RNA,3987,3728
PA0788a,68,44
predicted RNA,775,647
PA0789,62,45
PA0790,23,33
PA0791,86,80
PA0792,99,88
PA0793,30,17
PA0794,68,68
PA0795,117,106
predicted RNA,3094,1845
PA0796,70,86
predicted RNA,1145,996
PA0797,24,18
PA0798,52,49
PA0799,82,79
PA0800,6,22
PA0801,22,24
PA0802,24,14
PA0803,45,28
PA0804,156,122
predicted RNA,27560,18494
PA0805,78,173
PA0806,157,217
PA0807,25,24
PA0808,244,209
PA0809,87,109
PA0810,48,66
PA0811,102,112
PA0812,161,120
PA0813,30,40
PA0814,13,5
PA0815,35,32
PA0816,22,19
PA0817,38,49
PA0818,133,138
PA0819,119,105
PA0820,242,160
PA0821,976,669
PA0823,1047,918
PA0824,284,247
PA0825,118,69
PA0826,45,44
PA0826.2,6804,18939
predicted RNA,7263893,5200695
PA0827,61,50
PA0828,33,34
PA0829,48,43
PA0830,66,53
PA0831,23,39
PA0832,87,83
predicted RNA,4474,4555
PA0833,23,32
PA0834,91,92
PA0835,6.1E+01,63
PA0836,3.8E+01,36
PA0836.1,8540,8493
predicted RNA,12398,10135
PA0837,143,178
predicted RNA,7305,7000
PA0838,64,44
PA0839,25,39
PA0840,39,43
PA0841,11,7
PA0842,64,59
PA0843,27,20
PA0844,72,57
PA0845,160,120
PA0846,89,73
PA0847,217,169
PA0848,54,52
PA0849,66,63
predicted RNA,4729,4484
PA0850,34,79
PA0851,90,76
predicted RNA,16283,17735
PA0852,47,97
PA0853,20,39
PA0854,51,70
PA0855,30,35
PA0856,54,57
predicted RNA,4973,4179
PA0857,69,74
PA0858,32,42
PA0859,5,11
PA0860,111,116
predicted RNA,6588,6456
PA0861,71,64
predicted RNA,4131,2906
PA0862,52,65
PA0863,114,97
PA0864,19,14
predicted RNA,13249,8585
PA0865,133,135
PA0866,37,25
predicted RNA,446,191
predicted RNA,749,377
predicted RNA,5685,4182
PA0867,63,35
PA0868,205,214
PA0869,211,170
predicted RNA,5710,5142
PA0870,31,37
predicted RNA,11714,10286
PA0871,117,109
PA0872,106,146
PA0873,32,35
PA0874,337,191
PA0875,247,204
PA0876,58,53
PA0877,133,138
PA0878,4,10
PA0879,41,44
PA0880,13,6
PA0881,7,4
PA0882,4,5
PA0883,2,3
PA0884,131,114
PA0885,51,49
PA0886,32,25
predicted RNA,5231,3541
PA0887,113,105
PA0887.1,135,119
predicted RNA,12126,10573
PA0888,56,72
PA0889,24,39
PA0890,40,38
PA0891,52,65
PA0892,23,20
PA0893,108,107
PA0894,470,382
predicted RNA,2109,1572
PA0895,79,84
PA0896,55,52
predicted RNA,1391,1027
PA0897,27,20
predicted RNA,907,711
PA0898,16,17
predicted RNA,972,631
predicted RNA,2762,2252
PA0899,16,16
PA0900,43,27
PA0901,43,38
predicted RNA,3399,3456
predicted RNA,2152,1804
PA0902,49,46
PA0903,26,37
predicted RNA,2941,2542
predicted RNA,3141,3149
predicted RNA,2449,2127
PA0904,154,161
predicted RNA,2967,2504
predicted RNA,27205,20376
PA0905,172,638
PA0905.1,52,94
PA0905.2,59,23
PA0905.3,89,57
PA0906,45,33
PA0907,40,50
PA0908,13,19
PA0909,26,38
PA0910,52,90
PA0911,200,224
PA0912,31,31
PA0913,65,49
PA0914,89,79
PA0915,52,46
PA0916,80,69
PA0917,441,368
predicted RNA,3990,3491
PA0918,47,45
PA0919,52,43
PA0920,55,58
PA0921,189,146
PA0922,616,597
PA0922.1,225,182
PA0923,108,136
PA0924,198,201
PA0925,452,464
PA0926,217,215
PA0927,61,59
PA0928,98,100
PA0929,30,19
PA0930,27,32
PA0931,295,242
PA0932,54,63
predicted RNA,4156,3990
PA0933,48,62
predicted RNA,7702,6899
PA0934,39,36
predicted RNA,3953,3241
predicted RNA,2424,2292
PA0935,102,116
PA0936,266,206
PA0937,852,678
PA0938,93,93
PA0939,616,614
PA0940,135,153
PA0941,80,91
PA0942,38,24
PA0943,389,342
predicted RNA,3756,3406
PA0944,126,126
PA0945,58,72
PA0946,30,26
PA0947,219,205
PA0948,50,24
PA0949,33,23
PA0950,17,26
PA0951,206,199
PA0951a,788,646
PA0952,4224,3650
predicted RNA,4533,3016
PA0953,11,7
PA0954,136,123
PA0955,294,276
predicted RNA,3448,2987
PA0956,118,103
predicted RNA,2852,2748
PA0957,296,261
predicted RNA,13911,7706
PA0958,518,494
PA0959,36,24
predicted RNA,7998,6515
PA0960,32,26
PA0961,1.44E+02,114
predicted RNA,3.24E+04,25654
PA0962,108,181
predicted RNA,4.9E+03,4693
PA0963,49,56
predicted RNA,4724,4288
PA0964,2.39E+02,262
PA0965,12,14
PA0966,34,51
predicted RNA,4357,3586
PA0967,100,89
PA0968,102,80
predicted RNA,5.1E+03,4375
PA0969,6.6E+01,67
PA0970,74,41
PA0971,78,69
predicted RNA,5067,4106
PA0972,745,588
predicted RNA,17610,15586
PA0973,1091,1194
PA0974,156,117
predicted RNA,5239,4630
PA0975,1271,776
PA0976,2784,1877
PA0976.1,11884,9139
PA0978,218,178
PA0979,178,154
PA0981,58,60
predicted RNA,5354,4123
PA0982,262,206
PA0983,59,54
PA0984,32,22
PA0985,152,87
predicted RNA,1062,282
predicted RNA,1252,310
PA0986,22,10
PA0987,146,127
PA0988,289,228
PA0989,413,375
PA0990,187,202
PA0992,687,542
PA0993,10,14
PA0994,196,148
PA0995,210,193
predicted RNA,13467,11366
predicted RNA,5119,3506
PA0996,31,22
predicted RNA,4593,3020
PA0997,13,20
predicted RNA,4279,2798
PA0998,25,35
predicted RNA,2064,1669
predicted RNA,1921,1724
predicted RNA,5265,3590
PA0999,26,31
PA1000,5,20
PA1001,34,33
predicted RNA,3732,2785
predicted RNA,2648,1933
predicted RNA,3117,2386
PA1002,501,493
PA1003,4.82E+02,295
PA1004,185,154
PA1005,6.5E+01,66
PA1006,20,18
PA1007,67,68
PA1008,145,113
predicted RNA,3291,3044
PA1009,138,95
PA1010,16,23
predicted RNA,4615,4801
predicted RNA,2907,3452
PA1011,55,42
predicted RNA,4562,4125
PA1012,26,21
predicted RNA,4685,3977
PA1013,75,67
PA1013.1,1225,1083
PA1014,60,38
PA1015,318,344
PA1016,25,38
PA1017,8,8
PA1018,40,29
PA1019,40,36
PA1019a,0,0
PA1020,6,9
PA1021,9,7
PA1022,28,30
PA1023,22,20
PA1024,10,14
PA1025,9,13
PA1026,20,36
PA1027,22,27
PA1028,91,54
PA1030,19,15
PA1030.1,7,1
PA1031,29,36
PA1032,246,216
PA1033,100,97
PA1034,115,122
PA1035,318,271
PA1036,14,22
PA1037,942,831
PA1038,235,187
PA1039,97,76
PA1040,99,114
predicted RNA,23360,21002
PA1041,55,110
PA1042,23,46
PA1043,35,30
PA1044,138,117
PA1045,55,56
PA1046,37,34
PA1047,84,65
predicted RNA,6233,5445
PA1048,483,673
predicted RNA,5343,5371
PA1049,55,35
predicted RNA,2432,2946
PA1050,29,27
PA1051,39,37
PA1052,27,54
PA1052a,39,55
predicted RNA,17288,19237
PA1053,104,184
PA1054,39,33
PA1055,97,126
PA1056,17,21
PA1057,24,24
PA1058,12,11
PA1059,6,11
PA1060,18,18
PA1061,28,20
PA1062,59,75
PA1063,175,215
PA1064,364,369
PA1065,199,157
PA1066,176,186
PA1067,4,4
PA1068,13,8
PA1069,3,6
PA1070,90,75
PA1071,88,95
predicted RNA,1301,609
PA1072,23,25
PA1073,122,125
predicted RNA,525,332
predicted RNA,5938,3458
PA1074,109,98
PA1075,36,38
predicted RNA,10100,9787
PA1076,91,114
predicted RNA,2730,2194
PA1077,98,104
PA1078,57,58
predicted RNA,2651,1865
PA1079,254,234
predicted RNA,3339,2644
