Synonym,Expression.4C10,Expression.4N10,Expression.4A10,Expression.4A50,Expression.4A90
SPD_0104,398,248,291,171,125
SPD_0105,4,3,1,3,3
predicted RNA,95,65,58,104,85
SPD_0106,179,198,123,194,160
SPD_0107,73,97,87,83,76
SPD_0108,43,56,57,57,51
SPD_0109,1,1,1,0,1
SPD_0110,2,4,2,2,1
SPD_0111,2,3,2,1,2
SPD_0112,9,13,5,10,6
SPD_0114,0,1,0,0,0
SPD_0115,1,1,0,0,0
SPD_0116,1,2,1,1,1
SPD_0117,38,50,52,66,44
SPD_0118,11,16,20,22,11
SPD_0119,7,9,9,9,6
SPD_0120,4,8,6,6,5
SPD_0121,10,12,16,28,12
SPD_0122,3,5,7,7,5
SPD_0123,12,19,26,26,30
SPD_0124,2,3,5,4,4
SPD_0125,0,1,0,0,0
SPD_0126,522,575,456,375,304
predicted RNA,63,99,66,57,117
SPD_0127,87,65,78,57,48
SPD_0128,60,37,76,42,57
SPD_0129,33,29,47,26,25
SPD_0130,127,138,111,117,117
SPD_0131,230,183,135,238,215
SPD_0132,1,2,0,1,1
SPD_0133,1,2,0,0,0
SPD_0134,35,36,27,32,37
SPD_0135,53,58,50,45,63
SPD_0136,49,51,46,45,54
SPD_0138,55,94,82,11,8
SPD_0139,43,78,69,7,6
SPD_0140,48,94,110,9,12
SPD_0141,0,0,1,0,0
SPD_0142,0,1,0,0,0
SPD_0143,0,1,0,0,0
SPD_0144,4,4,3,5,3
SPD_0145,26,25,29,26,25
SPD_0146,12,11,13,12,11
SPD_0147,12,14,16,14,12
SPD_0148,8,9,9,8,8
SPD_0149,1,1,0,0,0
SPD_0150,77,43,51,52,44
SPD_0151,26,13,17,15,19
SPD_0152,15,11,12,13,16
SPD_0153,14,13,15,14,12
SPD_0154,9,9,10,9,8
SPD_0155,26,28,19,23,27
SPD_0156,20,22,25,26,32
SPD_0157,37,42,52,44,61
SPD_0158,43,51,63,54,70
SPD_0159,332,418,315,378,446
SPD_0160,173,157,133,154,144
SPD_0161,1,2,1,2,1
SPD_0162,5,8,4,7,6
SPD_0163,11,13,8,9,15
SPD_0164,0,0,0,0,0
SPD_0165,26,31,25,27,24
SPD_0166,9,10,12,13,7
SPD_0167,15,15,14,15,9
SPD_0168,10,9,9,10,5
SPD_0169,16,16,10,15,12
SPD_0170,33,30,25,25,25
SPD_0171,41,35,35,31,32
SPD_0172,18,16,17,13,10
SPD_0173,24,19,15,15,12
SPD_0174,76,85,74,80,73
SPD_0175,86,82,70,70,87
SPD_0176,63,69,58,59,47
SPD_0177,76,86,78,67,63
predicted RNA,388,445,310,369,369
SPD_0178,1189,1269,1178,1033,1009
SPD_0179,254,227,301,205,290
SPD_0180,198,170,177,140,135
SPD_0181,621,566,585,442,443
SPD_0182,883,764,764,882,617
predicted RNA,494,421,446,337,331
SPD_0183,46,34,45,31,35
SPD_0184,74,55,66,38,44
SPD_0185,26,28,27,20,20
SPD_0186,42,50,46,51,44
SPD_0187,26,33,46,474,1105
SPD_0188,32,34,58,649,1431
SPD_0189,13,11,23,223,467
SPD_0190,13,16,25,238,615
SPD_0191,21,23,36,338,904
predicted RNA,7,11,13,115,204
SPD_0192,437,382,646,480,609
SPD_0193,501,388,664,640,960
predicted RNA,252,196,363,468,483
SPD_0194,147,125,202,153,200
SPD_0195,330,283,479,403,540
SPD_0196,291,261,415,371,439
SPD_0197,420,365,653,530,673
SPD_0198,273,243,398,318,370
SPD_0199,295,258,423,326,383
SPD_0200,510,408,679,575,752
SPD_0201,363,321,541,398,519
predicted RNA,316,279,401,383,360
SPD_0202,545,456,694,547,560
SPD_0203,444,355,535,464,596
SPD_0204,347,248,403,393,469
SPD_0205,189,150,232,191,210
SPD_0206,189,161,209,147,200
predicted RNA,415,294,551,327,518
SPD_0207,562,429,695,548,552
predicted RNA,366,296,443,250,442
SPD_0208,297,233,358,228,294
SPD_0209,311,231,338,222,272
SPD_0210,516,368,577,355,450
SPD_0211,750,544,799,406,770
predicted RNA,440,278,492,446,555
SPD_0212,258,186,275,211,200
SPD_0213,292,222,308,224,257
SPD_0214,46,48,66,67,104
predicted RNA,1165,728,834,889,938
SPD_0215,1983,1307,1517,1257,2014
SPD_0216,1237,796,905,971,1054
SPD_0217,456,320,363,378,340
SPD_0218,762,547,648,600,722
SPD_0219,264,171,229,224,190
SPD_0220,133,148,84,112,121
predicted RNA,86,113,65,84,55
predicted RNA,98,128,77,109,76
predicted RNA,101,117,89,107,95
predicted RNA,81,119,72,116,66
predicted RNA,5,11,6,70,174
predicted RNA,50,65,71,43,111
SPD_0222,162,199,145,161,153
SPD_0223,1,1,1,1,1
SPD_0224,0,1,0,0,0
SPD_0225,1,1,1,1,0
SPD_0226,1,1,1,1,1
SPD_0227,2,3,1,2,1
SPD_0228,16,20,17,18,11
SPD_0229,11,12,6,7,5
SPD_0230,12,13,7,12,14
SPD_0231,9,9,6,8,13
SPD_0232,10,19,12,12,7
SPD_0233,14,22,12,14,7
SPD_0234,11,15,13,10,7
SPD_0235,10,11,13,7,5
SPD_0236,9,10,13,4,5
SPD_0237,9,11,15,7,4
SPD_0238,77,75,73,71,73
SPD_0239,46,54,41,57,38
SPD_0240,40,46,36,50,30
SPD_0241,44,46,46,44,42
SPD_0242,16,21,23,18,18
SPD_0243,115,119,112,100,129
SPD_0244,110,135,133,110,134
SPD_0245,149,170,172,156,169
SPD_0246,147,178,202,142,179
SPD_0247,181,336,230,45,31
SPD_0248,71,64,60,55,45
SPD_0249,33,28,33,20,16
SPD_0250,30,41,24,29,22
SPD_0251,858,652,792,827,1066
SPD_0252,356,282,384,303,379
predicted RNA,171,158,184,134,159
predicted RNA,242,184,255,185,256
SPD_0253,392,415,437,348,361
SPD_0254,40,49,39,43,41
SPD_0255,106,91,80,93,76
SPD_0256,119,105,105,114,98
predicted RNA,105,118,116,133,76
SPD_0257,93,92,87,99,88
SPD_0258,129,123,128,106,113
SPD_0259,90,85,94,86,88
SPD_0260,33,32,31,19,22
SPD_0261,348,370,215,241,172
SPD_0262,728,836,892,819,481
predicted RNA,73,109,86,86,85
SPD_0263,1108,1256,1193,1104,811
SPD_0264,693,794,654,809,533
SPD_0265,142,287,299,200,199
SPD_0266,59,40,45,55,65
SPD_0267,281,286,276,219,238
predicted RNA,99,75,117,103,140
SPD_0268,59,55,70,46,65
SPD_0269,70,68,80,70,81
SPD_0270,71,71,92,77,74
SPD_0271,88,87,137,87,121
SPD_0272,29,34,45,35,23
SPD_0273,157,193,102,98,100
SPD_0274,1021,769,683,628,676
SPD_0275,1096,771,742,796,641
SPD_0276,0,0,0,0,0
SPD_0277,10,12,20,6,5
SPD_0278,4,5,5,2,1
SPD_0279,9,12,15,5,5
SPD_0280,10,17,20,7,6
SPD_0281,12,16,21,8,9
SPD_0282,6,9,12,3,3
SPD_0283,6,11,19,6,6
SPD_0284,251,290,219,181,261
SPD_0285,52,64,64,42,43
SPD_0286,15,19,5,15,5
SPD_0287,1,3,2,2,2
SPD_0289,3,2,2,1,2
SPD_0290,2,2,1,1,1
SPD_0291,2,3,1,0,1
SPD_0292,1,1,0,0,1
SPD_0293,1,2,1,0,2
SPD_0294,0,1,1,1,0
SPD_0295,1,2,1,0,1
SPD_0296,1,2,0,0,1
SPD_0297,1,3,2,1,2
SPD_0298,1,0,1,0,0
SPD_0299,0,0,0,0,0
SPD_0300,0,1,0,0,1
SPD_0301,89,125,86,91,77
SPD_0302,9,24,16,13,9
SPD_0303,16,36,19,23,16
SPD_0304,94,97,80,99,122
SPD_0305,137,129,125,116,172
SPD_0306,92,97,91,89,92
SPD_0307,87,109,114,103,93
SPD_0308,14,12,13,7,8
predicted RNA,133,116,56,78,42
SPD_0309,244,191,107,147,102
SPD_0310,117,137,77,74,54
SPD_0311,45,83,41,44,38
SPD_0313,11,17,9,10,16
SPD_0315,0,0,0,0,0
SPD_0316,0,0,0,0,0
SPD_0317,0,0,0,0,0
SPD_0318,0,0,0,0,0
SPD_0319,0,0,0,0,0
SPD_0320,0,0,0,0,0
SPD_0321,0,0,0,0,0
SPD_0322,0,0,0,0,0
SPD_0323,0,0,0,0,0
SPD_0324,0,0,0,0,0
SPD_0325,0,0,0,0,0
SPD_0326,0,0,0,0,0
SPD_0327,0,0,0,0,0
SPD_0328,0,0,0,0,0
SPD_0329,0,0,0,0,0
SPD_0330,0,0,0,0,0
SPD_0331,0,0,0,0,0
SPD_0333,0,0,0,0,0
SPD_0334,162,166,307,164,169
SPD_0335,9,12,10,10,7
SPD_0336,289,308,299,232,227
predicted RNA,78,134,110,96,120
SPD_0337,135,98,87,75,98
SPD_0338,9,9,6,9,7
SPD_0339,235,257,190,224,185
predicted RNA,181,147,136,119,99
SPD_0341,145,159,145,124,114
SPD_0342,150,196,167,156,151
SPD_0343,371,444,315,336,274
SPD_0344,754,921,780,704,696
SPD_0345,206,220,156,158,179
SPD_0346,44,45,34,36,37
SPD_0347,102,110,87,100,97
SPD_0348,79,91,83,69,65
SPD_0349,82,99,85,83,87
SPD_0350,55,71,86,43,51
SPD_0351,69,73,105,63,63
SPD_0352,23,25,37,20,15
SPD_0353,36,35,57,35,30
predicted RNA,89,88,184,85,73
SPD_0355,35,33,59,29,41
predicted RNA,52,57,105,65,58
SPD_0357,70,80,108,74,62
SPD_0359,1,4,0,0,2
SPD_0360,10,10,10,6,4
SPD_0361,8,8,7,5,4
SPD_0362,6,6,5,4,2
SPD_0363,5,4,5,4,1
SPD_0364,1,2,1,3,0
SPD_0365,378,340,325,279,335
SPD_0366,34,35,29,31,30
SPD_0367,162,154,138,140,189
SPD_0368,75,57,49,57,52
SPD_0369,204,238,161,151,197
SPD_0370,179,191,139,156,151
predicted RNA,149,155,120,103,115
SPD_0371,107,114,98,93,98
SPD_0372,5,5,5,4,4
SPD_0373,27,15,11,21,18
SPD_0374,50,52,37,40,30
SPD_0375,61,51,45,33,29
SPD_0376,110,113,102,106,102
SPD_0377,99,105,89,102,113
SPD_0378,573,342,414,593,515
SPD_0379,572,352,567,560,611
SPD_0380,435,267,447,418,369
SPD_0381,1686,959,984,774,558
predicted RNA,184,115,140,141,115
SPD_0382,304,174,404,461,314
SPD_0383,261,154,344,384,299
SPD_0384,368,195,440,505,438
SPD_0385,302,159,350,446,331
SPD_0386,291,142,334,395,277
SPD_0387,267,124,314,309,244
SPD_0388,317,144,379,430,327
SPD_0389,306,131,342,419,251
SPD_0390,354,143,396,484,436
SPD_0391,178,73,181,239,273
predicted RNA,98,40,103,144,153
SPD_0392,17,6,13,27,16
SPD_0393,502,521,492,529,510
SPD_0394,532,608,516,470,612
SPD_0395,283,253,187,243,252
SPD_0396,113,109,98,92,88
SPD_0397,104,98,83,79,73
SPD_0398,114,102,72,93,77
SPD_0399,235,219,201,201,217
SPD_0400,174,179,175,145,176
SPD_0401,281,187,164,216,181
SPD_0402,326,356,279,222,227
SPD_0403,297,322,298,245,249
SPD_0404,7,6,7,7,5
SPD_0405,7,6,7,8,5
SPD_0406,8,9,9,10,7
SPD_0407,9,12,8,14,13
SPD_0408,5,7,10,9,7
SPD_0409,12,13,11,14,13
SPD_0410,272,278,196,233,228
SPD_0411,11,11,13,9,8
SPD_0412,7,6,8,5,6
SPD_0414,56,68,50,52,49
SPD_0413,1,1,1,1,0
SPD_0417,46,52,59,46,60
SPD_0418,6,4,5,5,7
SPD_0419,9,12,9,7,7
SPD_0420,2850,3067,2676,2302,1927
predicted RNA,60,112,55,51,98
SPD_0421,12,14,8,15,12
SPD_0422,16,17,14,16,15
SPD_0423,29,29,16,24,21
SPD_0424,0,1,0,0,1
SPD_0425,0,1,1,0,0
SPD_0426,1,1,1,1,2
SPD_0427,0,1,1,0,1
SPD_0428,1,2,1,1,1
SPD_0429,22,24,22,19,14
SPD_0430,32,30,25,24,21
SPD_0431,27,23,18,19,19
SPD_0432,33,31,29,32,32
SPD_0433,19,15,20,15,24
SPD_0434,39,38,42,36,36
SPD_0435,18,22,25,18,14
SPD_0436,7,6,9,5,6
SPD_0437,226,182,185,195,192
SPD_0438,59,43,65,35,47
SPD_0439,64,52,66,47,57
SPD_0440,56,45,66,40,54
SPD_0441,399,366,370,411,469
SPD_0442,224,183,136,71,64
SPD_0443,35,41,37,28,25
predicted RNA,90,193,123,13,7
SPD_0444,284,494,504,47,20
predicted RNA,166,230,278,23,9
SPD_0445,400,586,542,343,252
predicted RNA,49,108,64,41,54
SPD_0446,65,56,47,41,48
SPD_0447,251,243,132,184,227
SPD_0448,132,153,98,122,115
SPD_0449,3,4,4,3,4
SPD_0451,1,1,2,1,3
SPD_0450,0,0,0,0,0
SPD_0452,10,9,10,10,15
predicted RNA,152,112,73,113,129
SPD_0453,19,24,29,21,30
predicted RNA,135,119,97,115,97
SPD_0454,20,27,32,28,34
SPD_0455,25,34,29,31,31
SPD_0456,15,15,12,5,6
SPD_0457,15,15,15,6,10
SPD_0458,125,151,86,191,151
predicted RNA,119,162,101,203,171
SPD_0459,156,189,112,238,158
predicted RNA,92,112,53,107,76
predicted RNA,203,157,108,154,194
SPD_0460,180,213,164,265,188
SPD_0461,21,25,25,36,26
SPD_0462,57,67,44,55,40
SPD_0463,62,68,40,70,51
SPD_0464,63,69,58,52,51
SPD_0465,66,68,66,64,57
SPD_0466,6,17,12,8,7
SPD_0467,36,37,30,22,34
SPD_0468,58,67,61,59,52
SPD_0469,28,34,32,28,28
SPD_0470,0,1,2,1,1
SPD_0473,18,51,51,22,24
SPD_0474,32,65,81,36,38
SPD_0475,5,12,11,7,5
SPD_0476,113,106,110,93,122
SPD_0477,61,55,61,58,53
SPD_0478,98,104,107,114,132
SPD_0479,43,49,58,57,52
SPD_0480,58,71,81,97,84
SPD_0481,73,85,108,112,106
SPD_0482,75,82,110,96,100
predicted RNA,71,73,110,105,86
SPD_0483,13,12,18,16,11
SPD_0484,0,1,0,0,0
SPD_0485,0,0,0,0,0
SPD_0486,0,0,0,0,0
SPD_0487,54,55,33,51,47
SPD_0488,60,60,44,50,54
SPD_0489,62,53,49,54,53
SPD_0490,19,17,11,15,14
SPD_0491,46,30,29,28,30
SPD_0492,24,14,15,13,19
SPD_0493,18,14,13,11,14
SPD_0494,31,28,29,19,18
SPD_0495,16,18,9,19,17
SPD_0496,26,35,26,29,22
SPD_0499,0,0,0,0,0
SPD_0501,1,1,1,0,1
SPD_0502,2,2,2,1,1
SPD_0503,2,3,4,2,2
SPD_0504,36,29,29,27,36
SPD_0505,34,27,28,29,29
SPD_0506,15,14,15,11,13
SPD_0507,88,77,59,66,74
SPD_0509,1,1,0,0,1
SPD_0510,2,2,1,1,1
SPD_0511,1,2,1,1,0
SPD_0512,89,87,92,100,99
SPD_0513,91,93,110,101,112
SPD_0514,59,69,77,62,78
SPD_0515,51,65,75,58,72
SPD_0516,43,51,61,49,61
SPD_0517,72,85,117,92,106
SPD_0518,10,9,15,12,14
SPD_0519,4,4,7,2,11
SPD_0520,6,9,15,12,17
SPD_0521,4,4,6,3,4
SPD_0522,4,5,6,3,5
SPD_0523,8,8,12,7,8
SPD_0524,22,28,25,19,14
SPD_0525,20,25,21,16,15
SPD_0526,1418,1717,928,1183,806
SPD_0527,3,3,1,2,3
SPD_0528,6,7,6,4,3
SPD_0529,5,5,3,2,1
SPD_0530,13,14,12,9,9
SPD_0532,54,50,52,46,45
SPD_0533,135,156,141,128,143
SPD_0534,137,129,117,134,127
SPD_0535,185,213,168,180,194
SPD_0536,101,114,97,93,97
SPD_0537,74,50,68,60,56
SPD_0538,50,58,43,45,41
SPD_0539,59,59,47,49,43
SPD_0540,2,1,1,2,3
SPD_0541,301,358,287,268,310
SPD_0542,173,204,168,158,143
SPD_0543,135,158,101,116,139
predicted RNA,175,208,135,194,191
SPD_0544,166,195,134,184,202
SPD_0545,39,51,35,46,46
SPD_0546,38,29,41,17,11
SPD_0547,47,58,48,43,36
SPD_0548,64,69,65,54,56
SPD_0549,57,71,65,57,47
predicted RNA,360,195,185,190,263
SPD_0550,1829,1115,1242,920,1584
SPD_0551,292,185,238,198,209
predicted RNA,132,46,54,85,67
SPD_0552,0,0,0,0,0
SPD_0553,5,2,2,5,4
SPD_0554,168,149,148,128,147
SPD_0555,119,111,121,98,95
SPD_0556,124,129,142,109,136
predicted RNA,45,145,82,34,47
SPD_0558,14,26,21,14,11
SPD_0559,216,248,184,285,290
SPD_0560,448,533,515,604,791
SPD_0561,346,463,468,546,522
predicted RNA,320,419,503,499,673
predicted RNA,49,81,68,112,105
SPD_0562,623,718,957,869,850
predicted RNA,70,113,157,149,158
SPD_0564,24,28,21,23,16
SPD_0565,40,37,32,35,48
SPD_0566,33,24,26,22,29
SPD_0567,30,26,31,19,27
SPD_0568,33,35,33,32,29
SPD_0569,19,22,24,15,18
SPD_0570,15,16,18,10,12
SPD_0571,2,4,3,2,1
SPD_0572,3,2,4,2,2
SPD_0573,3,4,3,2,2
SPD_0574,91,90,67,56,59
SPD_0575,41,39,28,26,16
SPD_0576,351,266,316,229,245
SPD_0577,394,411,500,330,310
predicted RNA,185,177,251,150,149
predicted RNA,54,83,64,41,61
SPD_0578,80,70,81,68,49
SPD_0579,82,96,113,89,66
SPD_0580,67,75,73,64,49
SPD_0581,64,53,39,50,38
SPD_0582,859,1092,573,1260,870
SPD_0583,50,43,46,37,49
SPD_0584,80,76,80,61,79
SPD_0585,59,65,66,49,50
SPD_0586,94,104,108,90,91
SPD_0587,60,64,69,50,58
SPD_0588,37,37,27,36,38
SPD_0589,236,256,148,229,218
SPD_0590,94,110,60,78,80
SPD_0591,14,16,10,9,7
SPD_0592,2,3,1,2,2
SPD_0593,99,78,88,65,55
SPD_0594,128,109,131,84,63
SPD_0595,27,36,45,66,63
SPD_0596,17,24,27,25,24
SPD_0597,17,22,24,23,25
SPD_0598,63,61,51,50,51
SPD_0599,76,91,83,66,78
SPD_0600,80,95,93,91,96
SPD_0601,72,91,105,86,102
SPD_0602,17,21,25,20,25
SPD_0603,4,5,5,4,4
SPD_0604,5,9,10,6,7
SPD_0606,9,9,12,6,10
predicted RNA,243,183,43,125,92
SPD_0608,667,511,107,412,253
predicted RNA,901,706,166,784,373
SPD_0609,722,526,126,448,301
predicted RNA,236,164,41,117,109
SPD_0610,231,284,158,284,275
predicted RNA,118,128,149,142,215
SPD_0611,20,35,26,41,24
SPD_0612,14,35,35,47,38
SPD_0613,16,28,28,40,38
SPD_0614,14,22,29,34,33
SPD_0616,2,2,1,1,2
SPD_0617,1,2,1,1,1
SPD_0618,1,1,0,1,1
SPD_0619,7,10,7,9,8
SPD_0620,262,206,157,210,171
SPD_0621,372,494,419,348,257
SPD_0622,13,10,13,10,8
SPD_0623,18,15,19,12,10
SPD_0624,8,5,9,5,2
SPD_0625,1,2,1,2,2
SPD_0626,2,3,3,2,3
SPD_0627,1,1,1,1,1
SPD_0628,2,3,3,3,3
SPD_0629,1,2,2,2,1
SPD_0630,2,2,2,1,1
SPD_0631,1,1,2,1,1
SPD_0632,93,81,66,51,46
SPD_0633,4,5,4,5,6
SPD_0634,8,8,8,7,7
SPD_0635,2,3,3,3,2
SPD_0636,2811,2335,1976,1229,637
predicted RNA,109,123,77,48,80
SPD_0637,466,359,257,201,121
predicted RNA,85,104,52,43,78
SPD_0638,1,1,1,1,1
SPD_0639,2,3,4,2,3
SPD_0641,161,292,174,60,58
SPD_0642,2,3,1,1,1
SPD_0644,27,27,28,23,21
SPD_0645,55,44,36,43,34
SPD_0646,199,205,131,229,242
SPD_0647,9,14,8,11,9
SPD_0648,12,14,9,13,11
SPD_0649,570,567,361,427,365
SPD_0650,395,409,279,272,266
SPD_0651,221,195,146,164,224
SPD_0652,80,60,51,55,52
SPD_0653,31,28,25,27,25
SPD_0654,17,21,20,20,18
SPD_0655,22,24,31,22,29
SPD_0656,22,28,27,26,27
SPD_0657,46,82,39,66,48
SPD_0658,202,165,140,135,169
SPD_0659,365,328,301,313,354
SPD_0660,165,176,155,147,174
SPD_0661,19,25,15,14,12
SPD_0662,26,27,16,21,16
SPD_0663,74,74,75,67,83
SPD_0664,94,85,78,79,86
SPD_0665,205,256,193,193,185
SPD_0666,211,253,221,199,205
SPD_0667,939,701,491,452,290
SPD_0668,75,72,59,60,84
SPD_0669,76,67,65,60,74
SPD_0670,24,23,27,23,17
SPD_0671,49,49,67,43,48
SPD_0672,394,340,218,278,256
SPD_0673,3,5,2,3,2
SPD_0674,430,289,407,332,541
SPD_0675,54,35,44,43,36
SPD_0676,162,145,114,140,173
SPD_0677,106,105,84,94,134
SPD_0678,148,150,132,139,160
SPD_0679,123,122,123,107,156
SPD_0680,81,82,81,74,97
SPD_0681,45,88,49,63,42
predicted RNA,132,137,138,81,194
SPD_0683,13,15,14,17,13
SPD_0682,0,0,0,0,0
SPD_0684,13,8,6,6,5
SPD_0685,83,94,69,62,58
SPD_0686,35,33,44,37,42
SPD_0687,20,20,24,21,17
SPD_0688,34,35,45,36,44
SPD_0689,118,118,93,79,80
SPD_0690,2,0,0,0,0
SPD_0691,28,45,44,32,37
SPD_0692,23,42,32,26,23
SPD_0693,30,41,29,35,29
SPD_0694,194,239,142,204,206
SPD_0695,59,74,54,59,56
SPD_0696,64,73,62,63,66
SPD_0697,47,51,48,46,40
SPD_0698,30,37,29,31,28
SPD_0699,26,32,26,25,23
SPD_0700,139,149,125,105,84
SPD_0701,241,205,156,148,141
SPD_0702,167,162,129,107,106
SPD_0703,833,670,678,614,1311
SPD_0704,33,32,28,27,28
SPD_0705,53,68,48,60,60
SPD_0706,41,51,47,45,59
SPD_0707,54,73,64,84,78
SPD_0708,83,85,76,83,121
SPD_0709,143,158,153,158,194
SPD_0710,151,195,204,172,199
SPD_0711,3,4,5,3,5
SPD_0712,2,2,2,1,3
SPD_0714,431,494,282,391,335
SPD_0715,0,1,0,0,1
SPD_0716,40,40,31,32,32
SPD_0717,254,227,173,171,143
SPD_0718,673,873,466,879,694
SPD_0719,22,21,22,16,13
SPD_0720,24,17,27,17,14
SPD_0721,25,18,28,18,15
SPD_0722,42,47,40,35,28
SPD_0723,98,111,87,129,103
SPD_0724,123,166,122,154,120
predicted RNA,149,175,161,280,187
SPD_0726,101,122,106,112,101
predicted RNA,192,193,177,206,162
predicted RNA,154,160,141,177,171
SPD_0727,134,155,148,163,161
SPD_0728,147,159,156,151,183
SPD_0729,78,87,87,81,77
SPD_0730,60,73,68,73,78
SPD_0731,280,139,52,156,138
SPD_0732,260,150,95,190,123
SPD_0733,50,65,46,67,85
SPD_0734,2,2,1,1,1
SPD_0735,45,45,38,55,75
SPD_0736,77,94,94,105,124
SPD_0737,203,262,237,243,347
SPD_0738,216,263,234,242,282
predicted RNA,1001,878,468,429,396
SPD_0739,1483,1250,734,699,728
SPD_0740,51,70,80,87,103
SPD_0741,37,50,61,58,55
SPD_0742,38,51,77,81,76
SPD_0745,122,105,84,72,86
SPD_0746,122,112,72,120,107
predicted RNA,111,107,73,122,96
SPD_0747,76,66,50,73,65
SPD_0748,63,56,47,61,52
SPD_0749,87,70,62,80,77
SPD_0750,73,60,59,66,67
SPD_0751,71,69,69,76,65
SPD_0752,54,60,64,64,50
SPD_0753,30,36,34,37,25
SPD_0754,43,42,34,38,60
SPD_0757,899,674,795,702,994
predicted RNA,204,129,158,180,267
predicted RNA,218,146,183,206,364
SPD_0759,91,82,77,72,79
SPD_0760,86,73,80,71,80
SPD_0761,23,22,23,20,11
SPD_0762,327,219,234,169,147
SPD_0763,165,119,130,93,76
SPD_0764,184,138,167,103,80
SPD_0765,221,168,215,109,90
SPD_0766,141,114,148,85,72
SPD_0767,68,68,43,50,42
SPD_0768,50,63,57,45,47
predicted RNA,9066,7293,6903,7438,7445
predicted RNA,297,301,166,232,290
SPD_0771,7,8,6,6,6
SPD_0772,18,24,16,14,11
SPD_0773,6,9,7,4,4
SPD_0774,49,51,50,47,59
SPD_0775,119,109,86,72,70
SPD_0776,81,59,64,51,63
SPD_0777,57,40,47,37,46
SPD_0778,1,1,1,1,1
SPD_0779,2,2,1,1,2
SPD_0780,2,2,0,1,2
SPD_0781,2,2,2,2,1
SPD_0782,37,50,38,40,39
SPD_0783,37,42,42,37,40
SPD_0784,73,99,84,85,94
SPD_0785,36,46,49,52,75
SPD_0786,150,163,153,202,216
SPD_0787,94,103,89,112,123
SPD_0788,39,46,47,39,46
