Genome feature ID,C..albicans...S..gordonii,S..gordonii...spent.C..albicans.medium,S..gordonii.only,C..albicans...S..gordonii.1,S..gordonii...spent.C..albicans.medium.1,S..gordonii.only.1,C..albicans...S..gordonii.2,S..gordonii...spent.C..albicans.medium.2,S..gordonii.only.2
ID_cbiO_p01_Parent_cbiO_t01_Dbxref_GI_157150917_GeneID_5597965_Note_with_CbiNQ_forms_the_ABC_transporter_for_cobalt_import_B_Streptococcus_has_two_adjacent_copies_of_this_gene_codon_start_1_gene_cbiO_locus_tag_SGO_0015_product_cobalt_transporter_ATP-binding_subunit_protein_id_YP_001449337_1_transl_table_11_translation_length_274,3125,11299,6653,4818,5233,6149,6418,8562,6800
ID_cbiO_p01_Parent_cbiO_t01_Dbxref_GI_157150162_GeneID_5598333_Note_with_CbiNQ_forms_the_ABC_transporter_for_cobalt_import_B_Streptococcus_has_two_adjacent_copies_of_this_gene_codon_start_1_gene_cbiO_locus_tag_SGO_0016_product_cobalt_transporter_ATP-binding_subunit_protein_id_YP_001449338_1_transl_table_11_translation_length_279,920,3130,2057,476,1386,1212,939,2324,1529
ID_SGO_0017_p01_Parent_SGO_0017_t01_Dbxref_GI_157150603_GeneID_5599501_Note_identified_by_match_to_protein_family_HMM_PF02361_codon_start_1_locus_tag_SGO_0017_product_ABC-type_putative_cobalt_transport_system_2C_permease_protein_id_YP_001449339_1_transl_table_11_translation_length_264,2429,8000,4716,1952,2293,3367,3406,3932,3195
ID_SGO_0018_p01_Parent_SGO_0018_t01_Dbxref_GI_157151203_GeneID_5598921_Note_identified_by_match_to_protein_family_HMM_PF01476_B_match_to_protein_family_HMM_PF06737_codon_start_1_locus_tag_SGO_0018_product_hypothetical_protein_protein_id_YP_001449340_1_transl_table_11_translation_length_204,9503,32669,30455,3012,9657,7473,2123,8767,7845
ID_sdhA_p01_Parent_sdhA_t01_Dbxref_GI_157150581_GeneID_5597769_eC_number_4_3_1_17_Note_identified_by_match_to_protein_family_HMM_PF03313_B_match_to_protein_family_HMM_TIGR00718_codon_start_1_gene_sdhA_locus_tag_SGO_0019_product_L-serine_dehydratase_2C_iron-sulfur-dependent_subunit_alpha_protein_id_YP_001449341_1_transl_table_11_translation_length_290,1446,3859,3028,705,1527,1728,964,2023,1549
ID_sdhB_p01_Parent_sdhB_t01_Dbxref_GI_157151322_GeneID_5598952_eC_number_4_3_1_17_Note_identified_by_match_to_protein_family_HMM_PF01842_B_match_to_protein_family_HMM_PF03315_B_match_to_protein_family_HMM_TIGR00719_codon_start_1_gene_sdhB_locus_tag_SGO_0020_product_L-serine_dehydratase_2C_iron-sulfur-dependent_subunit_beta_protein_id_YP_001449342_1_transl_table_11_translation_length_223,1439,3979,3221,469,1418,1700,775,1630,1424
ID_SGO_0021_p01_Parent_SGO_0021_t01_Dbxref_GI_157150750_GeneID_5599306_Note_identified_by_match_to_protein_family_HMM_PF01476_codon_start_1_locus_tag_SGO_0021_product_hypothetical_protein_protein_id_YP_001449343_1_transl_table_11_translation_length_187,5679,9122,13624,696,2424,4444,946,4046,5551
ID_mnmA_p01_Parent_mnmA_t01_Dbxref_GI_157150902_GeneID_5598654_eC_number_2_1_1_61_Note_catalyzes_a_sulfuration_reaction_to_synthesize_2-thiouridine_at_the_U34_position_of_tRNAs_codon_start_1_gene_mnmA_locus_tag_SGO_0022_product_tRNA-specific_2-thiouridylase_MnmA_protein_id_YP_001449344_1_transl_table_11_translation_length_373,12260,36619,26575,4268,13635,12452,6228,22326,16670
ID_SGO_0023_p01_Parent_SGO_0023_t01_Dbxref_GI_157150287_GeneID_5598368_Note_identified_by_match_to_protein_family_HMM_PF01914_B_match_to_protein_family_HMM_TIGR00427_codon_start_1_locus_tag_SGO_0023_product_hypothetical_protein_protein_id_YP_001449345_1_transl_table_11_translation_length_204,7532,23836,17575,2105,5224,6391,3015,8470,5490
ID_SGO_0024_p01_Parent_SGO_0024_t01_Dbxref_GI_157150700_GeneID_5599487_codon_start_1_locus_tag_SGO_0024_product_hypothetical_protein_protein_id_YP_001449346_1_transl_table_11_translation_length_31,640,2178,1430,340,555,974,660,1181,856
ID_gidA_p01_Parent_gidA_t01_Dbxref_GI_157149984_GeneID_5598741_Note_GidA_B_glucose-inhibited_cell_division_protein_A_B_involved_in_the_5-carboxymethylaminomethyl_modification_(mnm(5)s(2)U)_of_the_wobble_uridine_base_in_some_tRNAs_codon_start_1_gene_gidA_locus_tag_SGO_0025_product_tRNA_uridine_5-carboxymethylaminomethyl_modification_protein_GidA_protein_id_YP_001449347_1_transl_table_11_translation_length_639,10346,36454,23021,5613,13538,13998,10713,26073,20295
ID_SGO_0026_p01_Parent_SGO_0026_t01_Dbxref_GI_157150426_GeneID_5598974_Note_identified_by_match_to_protein_family_HMM_PF01368_B_match_to_protein_family_HMM_PF02272_codon_start_1_locus_tag_SGO_0026_product_DHH_subfamily_1_protein_protein_id_YP_001449348_1_transl_table_11_translation_length_659,7315,22233,14690,5898,7668,9871,10375,12608,11133
ID_rplI_p01_Parent_rplI_t01_Dbxref_GI_157150251_GeneID_5599244_Note_in_Escherichia_coli_this_protein_is_wrapped_around_the_base_of_the_L1_stalk_codon_start_1_gene_rplI_locus_tag_SGO_0027_product_50S_ribosomal_protein_L9_protein_id_YP_001449349_1_transl_table_11_translation_length_150,1935,6682,3947,2461,2330,3762,4107,3403,2821
ID_dnaC_p01_Parent_dnaC_t01_Dbxref_GI_157149685_GeneID_5599010_Note_unwinds_double_stranded_DNA_codon_start_1_gene_dnaC_locus_tag_SGO_0028_product_replicative_DNA_helicase_protein_id_YP_001449350_1_transl_table_11_translation_length_451,7245,24250,13089,4507,6057,7988,7461,9719,7181
ID_SGO_0029_p01_Parent_SGO_0029_t01_Dbxref_GI_157151155_GeneID_5598242_Note_identified_by_match_to_protein_family_HMM_PF06257_codon_start_1_locus_tag_SGO_0029_product_hypothetical_protein_protein_id_YP_001449351_1_transl_table_11_translation_length_96,1823,6172,3096,1724,2026,2542,2619,3203,2590
ID_aspB_p01_Parent_aspB_t01_Dbxref_GI_157150580_GeneID_5597856_eC_number_2_6_1_1_Note_catalyzes_the_transamination_of_the_aromatic_amino_acid_forming_a_ketoacid_B_first_step_in_aromatic_amino_acid_degradation_in_lactococci_codon_start_1_gene_aspB_locus_tag_SGO_0030_product_aromatic_amino_acid_aminotransferase_protein_id_YP_001449352_1_transl_table_11_translation_length_395,7528,23539,15848,3817,5053,9015,4970,7410,5020
ID_recO_p01_Parent_recO_t01_Dbxref_GI_157150562_GeneID_5598954_Note_involved_in_DNA_repair_and_RecFOR_pathway_recombination_B_RecFOR_proteins_displace_ssDNA-binding_protein_and_facilitate_the_production_of_RecA-coated_ssDNA_codon_start_1_gene_recO_locus_tag_SGO_0031_product_DNA_repair_protein_RecO_protein_id_YP_001449353_1_transl_table_11_translation_length_260,4064,14408,9076,1802,3242,4371,2308,4719,3112
ID_plsX_p01_Parent_plsX_t01_Dbxref_GI_157150072_GeneID_5598993_Note_involved_in_acylation_of_glycerol-3-phosphate_to_form_1-acyl-glycerol-3_phosphate_for_use_in_phospholipid_biosynthesis_B_functions_with_PlsY_codon_start_1_gene_plsX_locus_tag_SGO_0032_product_putative_glycerol-3-phosphate_acyltransferase_PlsX_protein_id_YP_001449354_1_transl_table_11_translation_length_333,6771,22017,12116,5030,6718,9999,6982,10606,7782
ID_acpP_p01_Parent_acpP_t01_Dbxref_GI_157151465_GeneID_5598340_Note_identified_by_match_to_protein_family_HMM_PF00550_codon_start_1_gene_acpP_locus_tag_SGO_0033_product_acyl_carrier_protein_protein_id_YP_001449355_1_transl_table_11_translation_length_79,1599,4721,2896,955,1930,2052,1406,2536,1680
ID_purC_p01_Parent_purC_t01_Dbxref_GI_157151026_GeneID_5598377_eC_number_6_3_2_6_Note_catalyzes_the_formation_of_(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-_carboxamido)succinate_from_5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate_and_L-aspartate_in_purine_biosynthesis_B_SAICAR_synthase_codon_start_1_gene_purC_locus_tag_SGO_0034_product_phosphoribosylaminoimidazole-succinocarboxamide_synthase_protein_id_YP_001449356_1_transl_table_11_translation_length_235,634,2166,1072,756,661,1446,973,1048,619
ID_SGO_0035_p01_Parent_SGO_0035_t01_Dbxref_GI_157151635_GeneID_5598097_eC_number_6_3_5_3_Note_identified_by_match_to_protein_family_HMM_PF01965_B_match_to_protein_family_HMM_PF02769_B_match_to_protein_family_HMM_TIGR01857_codon_start_1_locus_tag_SGO_0035_product_phosphoribosylformylglycinamidine_synthase_protein_id_YP_001449357_1_transl_table_11_translation_length_1247,4308,19326,5966,5485,3505,4780,4165,5306,2290
ID_purF_p01_Parent_purF_t01_Dbxref_GI_157150020_GeneID_5599273_eC_number_2_4_2_14_Note_Catalyzes_first_step_of_the_de_novo_purine_nucleotide_biosynthetic_pathway_codon_start_1_gene_purF_locus_tag_SGO_0036_product_amidophosphoribosyltransferase_protein_id_YP_001449358_1_transl_table_11_translation_length_480,1649,8538,1680,1630,1862,1420,1344,2603,954
ID_purM_p01_Parent_purM_t01_Dbxref_GI_157150745_GeneID_5599227_eC_number_6_3_3_1_Note_catalyzes_the_formation_of_1-(5-phosphoribosyl)-5-aminoimidazole_from_2-(formamido)-N1-(5-phosphoribosyl)acetamidine_and_ATP_in_purine_biosynthesis_codon_start_1_gene_purM_locus_tag_SGO_0037_product_phosphoribosylaminoimidazole_synthetase_protein_id_YP_001449359_1_transl_table_11_translation_length_340,1842,12856,2145,2023,1837,1621,1502,2382,709
ID_purN_p01_Parent_purN_t01_Dbxref_GI_157149802_GeneID_5598667_eC_number_2_1_2_2_Note_glycinamide_ribonucleotide_transformylase_B_GAR_Tfase_B_catalyzes_the_synthesis_of_5'-phosphoribosylformylglycinamide_from_5'-phosphoribosylglycinamide_and_10-formyltetrahydrofolate_B_PurN_requires_formyl_folate_for_the_reaction_unlike_PurT_which_uses_formate_codon_start_1_gene_purN_locus_tag_SGO_0038_product_phosphoribosylglycinamide_formyltransferase_protein_id_YP_001449360_1_transl_table_11_translation_length_183,1094,7500,1015,1522,1289,1065,1248,1765,625
ID_SGO_0039_p01_Parent_SGO_0039_t01_Dbxref_GI_157150257_GeneID_5599875_codon_start_1_locus_tag_SGO_0039_product_hypothetical_protein_protein_id_YP_001449361_1_transl_table_11_translation_length_232,1263,9526,1134,2445,1409,1434,1617,1780,602
ID_purH_p01_Parent_purH_t01_Dbxref_GI_157151031_GeneID_5599066_Note_involved_in_de_novo_purine_biosynthesis_codon_start_1_gene_purH_locus_tag_SGO_0040_product_bifunctional_phosphoribosylaminoimidazolecarboxamide_formyltransferase/IMP_cyclohydrolase_protein_id_YP_001449362_1_transl_table_11_translation_length_515,2034,15449,1992,2095,2406,1615,1454,2549,856
ID_SGO_0041_p01_Parent_SGO_0041_t01_Dbxref_GI_157150111_GeneID_5598084_codon_start_1_locus_tag_SGO_0041_product_hypothetical_protein_protein_id_YP_001449363_1_transl_table_11_translation_length_33,133,764,135,103,108,109,72,160,45
ID_SGO_0042_p01_Parent_SGO_0042_t01_Dbxref_GI_157150570_GeneID_5598114_Note_identified_by_match_to_protein_family_HMM_PF00392_B_match_to_protein_family_HMM_PF07702_codon_start_1_locus_tag_SGO_0042_product_GntR_family_transcriptional_regulator_protein_id_YP_001449364_1_transl_table_11_translation_length_238,3352,9749,8416,748,2184,3070,902,2461,1792
ID_SGO_0043_p01_Parent_SGO_0043_t01_Dbxref_GI_157149977_GeneID_5598978_eC_number_3_2_1_23_Note_identified_by_match_to_protein_family_HMM_PF01301_B_match_to_protein_family_HMM_PF02449_codon_start_1_locus_tag_SGO_0043_product_beta-galactosidase_protein_id_YP_001449365_1_transl_table_11_translation_length_592,122,188,137,44,94,900,111,238,110
ID_SGO_0044_p01_Parent_SGO_0044_t01_Dbxref_GI_157150435_GeneID_5597880_eC_number_2_7_1_69_Note_identified_by_match_to_protein_family_HMM_PF03830_codon_start_1_locus_tag_SGO_0044_product_PTS_system_transporter_subunit_IIB_protein_id_YP_001449366_1_transl_table_11_translation_length_158,15,41,30,5,19,83,10,32,17
ID_SGO_0045_p01_Parent_SGO_0045_t01_Dbxref_GI_157149804_GeneID_5599232_eC_number_2_7_1_69_Note_identified_by_match_to_protein_family_HMM_PF03609_codon_start_1_locus_tag_SGO_0045_product_PTS_system_transporter_subunit_IIC_protein_id_YP_001449367_1_transl_table_11_translation_length_304,68,140,102,24,52,437,56,106,50
ID_SGO_0046_p01_Parent_SGO_0046_t01_Dbxref_GI_157150193_GeneID_5598421_eC_number_2_7_1_69_Note_identified_by_match_to_protein_family_HMM_PF03613_codon_start_1_locus_tag_SGO_0046_product_PTS_system_transporter_subunit_IID_protein_id_YP_001449368_1_transl_table_11_translation_length_273,49,107,101,23,66,415,42,101,41
ID_SGO_0047_p01_Parent_SGO_0047_t01_Dbxref_GI_157151209_GeneID_5598304_eC_number_2_7_1_69_Note_identified_by_match_to_protein_family_HMM_PF03610_codon_start_1_locus_tag_SGO_0047_product_PTS_system_transporter_subunit_IIA_protein_id_YP_001449369_1_transl_table_11_translation_length_135,39,123,101,26,47,316,32,80,32
ID_SGO_0048_p01_Parent_SGO_0048_t01_Dbxref_GI_157150602_GeneID_5597760_Note_identified_by_match_to_protein_family_HMM_PF01380_codon_start_1_locus_tag_SGO_0048_product_tagatose-6-phosphate_ketose/aldose_isomerase_protein_id_YP_001449370_1_transl_table_11_translation_length_387,65,173,112,45,82,446,49,109,41
ID_galM_p01_Parent_galM_t01_Dbxref_GI_157151054_GeneID_5598923_eC_number_5_1_3_3_Note_identified_by_match_to_protein_family_HMM_PF01263_codon_start_1_gene_galM_locus_tag_SGO_0049_product_aldose_1-epimerase_protein_id_YP_001449371_1_transl_table_11_translation_length_344,136,287,174,52,80,468,84,170,113
ID_SGO_0050_p01_Parent_SGO_0050_t01_Dbxref_GI_157150899_GeneID_5598042_codon_start_1_locus_tag_SGO_0050_product_hypothetical_protein_protein_id_YP_001449372_1_transl_table_11_translation_length_337,28707,55193,48242,3218,8946,16871,4979,17504,21600
ID_SGO_0051_p01_Parent_SGO_0051_t01_Dbxref_GI_157151351_GeneID_5598376_codon_start_1_locus_tag_SGO_0051_product_hypothetical_protein_protein_id_YP_001449373_1_transl_table_11_translation_length_192,21749,48234,41325,3076,8800,15526,4344,15804,17667
ID_SGO_0052_p01_Parent_SGO_0052_t01_Dbxref_GI_157151306_GeneID_5599832_Note_identified_by_match_to_protein_family_HMM_PF03551_codon_start_1_locus_tag_SGO_0052_product_PadR_family_transcriptional_regulator_protein_id_YP_001449374_1_transl_table_11_translation_length_109,9545,19648,17529,1523,3194,7599,1980,6340,7064
ID_SGO_0053_p01_Parent_SGO_0053_t01_Dbxref_GI_157149823_GeneID_5599527_codon_start_1_locus_tag_SGO_0053_product_hypothetical_protein_protein_id_YP_001449375_1_transl_table_11_translation_length_43,1240,2232,2461,220,686,1230,276,1860,2046
ID_dltA_p01_Parent_dltA_t01_Dbxref_GI_157150658_GeneID_5598513_Note_transfers_D-alanine_to_the_D-alanyl_carrier_protein_during_the_incorporation_of_D-alanine_into_lipoteichoic_acid_codon_start_1_gene_dltA_locus_tag_SGO_0054_product_D-alanine--poly(phosphoribitol)_ligase_subunit_1_protein_id_YP_001449376_1_transl_table_11_translation_length_512,13037,29020,25597,2407,8336,10377,3272,16447,17832
ID_dltB_p01_Parent_dltB_t01_Dbxref_GI_157150049_GeneID_5598826_Note_identified_by_match_to_protein_family_HMM_PF03062_codon_start_1_gene_dltB_locus_tag_SGO_0055_product_integral_membrane_protein_protein_id_YP_001449377_1_transl_table_11_translation_length_415,22813,58839,45668,5202,11121,17543,6914,21976,23989
ID_dltC_p01_Parent_dltC_t01_Dbxref_GI_157150792_GeneID_5599230_Note_D-alanyl_carrier_protein_subunit_B_involved_in_the_incorporation_of_D-alanine_into_membrane-associated_D-alanyl-lipoteichoic_acid_B_D-alanyl_carrier_protein_is_the_acceptor_of_activated_D-alanine_which_it_donates_to_a_membrane_acceptor(D-alanyl_transferase)_for_incorporation_into_membrane_lipoteichoic_acid_codon_start_1_gene_dltC_locus_tag_SGO_0056_product_D-alanine--poly(phosphoribitol)_ligase_subunit_2_protein_id_YP_001449378_1_transl_table_11_translation_length_79,4584,11341,9309,1592,3180,4846,1997,6027,6280
ID_SGO_0057_p01_Parent_SGO_0057_t01_Dbxref_GI_157150190_GeneID_5598586_Note_identified_by_match_to_protein_family_HMM_PF04914_B_match_to_protein_family_HMM_PF04915_B_match_to_protein_family_HMM_PF04918_codon_start_1_locus_tag_SGO_0057_product_dltD_protein_protein_id_YP_001449379_1_transl_table_11_translation_length_422,9527,22279,17563,1771,4604,6550,2739,8998,8916
ID_SGO_0058_p01_Parent_SGO_0058_t01_Dbxref_GI_157150009_GeneID_5598458_Note_identified_by_match_to_protein_family_HMM_PF00583_codon_start_1_locus_tag_SGO_0058_product_acetyltransferase_protein_id_YP_001449380_1_transl_table_11_translation_length_161,3031,8827,6265,1224,1430,2913,1737,2764,2436
ID_pXO1_p01_Parent_pXO1_t01_Dbxref_GI_157150474_GeneID_5598105_Note_identified_by_match_to_protein_family_HMM_PF06013_codon_start_1_gene_pXO1_locus_tag_SGO_0059_product_hypothetical_protein_protein_id_YP_001449381_1_transl_table_11_translation_length_95,4496,14703,12001,1788,3829,5267,1861,4602,3217
ID_SGO_0060_p01_Parent_SGO_0060_t01_Dbxref_GI_157150930_GeneID_5599161_codon_start_1_locus_tag_SGO_0060_product_hypothetical_protein_protein_id_YP_001449382_1_transl_table_11_translation_length_1004,19894,61546,39737,14821,23012,24986,18938,32390,24049
ID_SGO_0061_p01_Parent_SGO_0061_t01_Dbxref_GI_157151388_GeneID_5598314_codon_start_1_locus_tag_SGO_0061_product_hypothetical_protein_protein_id_YP_001449383_1_transl_table_11_translation_length_151,5312,16170,9267,3486,5614,4645,4601,8293,5269
ID_SGO_0062_p01_Parent_SGO_0062_t01_Dbxref_GI_157150633_GeneID_5598270_codon_start_1_locus_tag_SGO_0062_product_hypothetical_protein_protein_id_YP_001449384_1_transl_table_11_translation_length_82,1509,4542,2443,1965,1276,2071,2225,2095,1460
ID_SGO_0063_p01_Parent_SGO_0063_t01_Dbxref_GI_157150151_GeneID_5598865_codon_start_1_locus_tag_SGO_0063_product_hypothetical_protein_protein_id_YP_001449385_1_transl_table_11_translation_length_417,5723,17389,10149,3551,5915,6274,5847,8383,5053
ID_SGO_0064_p01_Parent_SGO_0064_t01_Dbxref_GI_157150026_GeneID_5599876_Note_identified_by_match_to_protein_family_HMM_PF01580_codon_start_1_locus_tag_SGO_0064_product_FtsK/SpoIIIE_family_protein_protein_id_YP_001449386_1_transl_table_11_translation_length_1472,21551,65379,37215,12563,20474,22133,19217,27093,15276
ID_SGO_0065_p01_Parent_SGO_0065_t01_Dbxref_GI_157151627_GeneID_5599810_codon_start_1_locus_tag_SGO_0065_product_hypothetical_protein_protein_id_YP_001449387_1_transl_table_11_translation_length_365,5638,15718,8703,4740,6372,7344,7679,8911,5281
ID_SGO_0066_p01_Parent_SGO_0066_t01_Dbxref_GI_157150484_GeneID_5599645_codon_start_1_locus_tag_SGO_0066_product_D-3-phosphoglycerate_dehydrogenase_protein_id_YP_001449388_1_transl_table_11_translation_length_101,6429,20424,10581,7974,7540,11390,11427,9317,5377
ID_SGO_0067_p01_Parent_SGO_0067_t01_Dbxref_GI_157150689_GeneID_5599139_codon_start_1_locus_tag_SGO_0067_product_prophage_function_domain-containing_protein_protein_id_YP_001449389_1_transl_table_11_translation_length_474,21973,70158,34035,22323,21061,27033,29704,29625,18140
ID_SGO_0068_p01_Parent_SGO_0068_t01_Dbxref_GI_157150370_GeneID_5598766_codon_start_1_locus_tag_SGO_0068_product_putative_lipoprotein_protein_id_YP_001449390_1_transl_table_11_translation_length_177,6979,21963,10760,4868,6345,7601,6733,9295,5512
ID_SGO_0069_p01_Parent_SGO_0069_t01_Dbxref_GI_157150168_GeneID_5599364_codon_start_1_locus_tag_SGO_0069_product_hypothetical_protein_protein_id_YP_001449391_1_transl_table_11_translation_length_184,7241,23843,12601,3297,6519,6882,5142,8784,4715
ID_SGO_0070_p01_Parent_SGO_0070_t01_Dbxref_GI_157151288_GeneID_5599260_codon_start_1_locus_tag_SGO_0070_product_merozoite_surface_protein_1_protein_id_YP_001449392_1_transl_table_11_translation_length_134,10696,37542,16170,5293,8112,9970,7951,10507,5979
ID_SGO_0071_p01_Parent_SGO_0071_t01_Dbxref_GI_157151082_GeneID_5599063_codon_start_1_locus_tag_SGO_0071_product_putative_phage_protein-like_protein_protein_id_YP_001449393_1_transl_table_11_translation_length_85,496,1330,935,550,838,1287,1005,1523,2192
ID_SGO_0072_p01_Parent_SGO_0072_t01_Dbxref_GI_157151699_GeneID_5597983_codon_start_1_locus_tag_SGO_0072_product_hypothetical_protein_protein_id_YP_001449394_1_transl_table_11_translation_length_295,774,2088,1485,573,792,1814,771,1402,1471
ID_SGO_0073_p01_Parent_SGO_0073_t01_Dbxref_GI_157150804_GeneID_5599082_codon_start_1_locus_tag_SGO_0073_product_hypothetical_protein_protein_id_YP_001449395_1_transl_table_11_translation_length_105,456,1413,935,368,653,901,431,1026,952
ID_SGO_0074_p01_Parent_SGO_0074_t01_Dbxref_GI_157151242_GeneID_5598555_codon_start_1_locus_tag_SGO_0074_product_hypothetical_protein_protein_id_YP_001449396_1_transl_table_11_translation_length_414,1265,4225,2483,1151,1461,2915,1348,1951,2235
ID_SGO_0075_p01_Parent_SGO_0075_t01_Dbxref_GI_157149865_GeneID_5599676_codon_start_1_locus_tag_SGO_0075_product_hypothetical_protein_protein_id_YP_001449397_1_transl_table_11_translation_length_250,820,2309,1719,724,866,1480,923,1290,1457
ID_SGO_0076_p01_Parent_SGO_0076_t01_Dbxref_GI_157150326_GeneID_5599841_codon_start_1_locus_tag_SGO_0076_product_hypothetical_protein_protein_id_YP_001449398_1_transl_table_11_translation_length_135,510,1471,1034,266,663,999,468,1133,909
ID_SGO_0077_p01_Parent_SGO_0077_t01_Dbxref_GI_157150263_GeneID_5599431_codon_start_1_locus_tag_SGO_0077_product_hypothetical_protein_protein_id_YP_001449399_1_transl_table_11_translation_length_70,33,50,70,22,59,320,37,89,40
