Synonym,Raw.Counts..brpT.Replicate.1,Raw.Counts..brpT.Replicate.2,Raw.Counts..brpT.Replicate.3,Raw.Counts..brpT.Replicate.4,Raw.Counts..brpT.Replicate.5,Raw.Counts.WT_SK36.Replicate.1,Raw.Counts.WT_SK36.Replicate.2,Raw.Counts.WT_SK36.Replicate.3,Raw.Counts.WT_SK36.Replicate.4,Raw.Counts.WT_SK36.Replicate.5
SSA_0019,252621,166195,237860,192594,202247,44988,42394,42467,37647,71592
SSA_0020,46102,33980,61304,45184,44812,30005,30090,35910,29101,39151
SSA_0021,59568,51589,70964,54494,65556,27946,34943,43342,32496,32956
SSA_0022,8333,6132,10464,8041,8819,3299,3470,3940,3085,3983
SSA_0023,22258,18743,30571,21908,24835,16623,17446,19674,15427,20387
SSA_0025,14482,12855,20178,15061,16769,13798,13375,15945,12423,16676
SSA_0026,17379,16186,25291,18578,20919,17490,17940,21200,16352,20034
SSA_0027,18059,12922,22969,16395,21025,10422,11864,12314,10572,11219
SSA_0028,304,181,383,273,334,258,344,409,327,409
SSA_0030,2512,2360,3641,2402,3133,2715,3418,4327,3435,3823
SSA_0031,912,944,1449,965,1250,1101,1325,1677,1408,1500
SSA_0032,689,659,1100,716,974,775,1048,1329,1006,1113
SSA_0033,387,314,552,370,467,404,508,631,448,542
SSA_0034,953,433,1489,1002,1298,680,914,1083,943,1155
SSA_0035,2301,2237,3496,2392,3150,2056,2705,3316,2730,2744
SSA_0036,230,217,328,234,261,319,316,439,359,348
SSA_0037,778,574,797,578,642,495,653,810,655,721
SSA_0039,238,217,279,212,257,210,247,317,208,242
SSA_0040,675,597,824,557,723,559,632,824,675,650
SSA_0041,1388,967,2184,1420,1814,1299,1403,1548,1331,1665
SSA_0042,3587,3207,5330,3809,4724,3430,3831,4729,3663,4324
SSA_0043,3536,2837,4821,3381,4445,2714,3512,3760,3348,3318
SSA_0044,21442,11721,29757,21328,27189,12311,14100,16007,13226,15971
SSA_0045,7976,3320,13234,9081,11491,5342,5658,6134,5986,6959
SSA_0046,26593,30275,44801,30868,39563,27778,31859,39972,32538,30511
SSA_0047,6175,6474,9191,7458,8415,10559,13298,18685,14304,11674
SSA_0048,3917,3508,6466,5503,6647,6970,10061,14683,10636,8711
SSA_0049,2158,2485,3609,2453,2868,2540,3466,4762,3512,3934
SSA_0050,1032,1254,1871,1256,1405,1138,1423,2028,1543,1515
SSA_0051,731,793,1122,791,909,697,894,1326,936,902
SSA_0052,61672,57867,88332,66482,75542,71683,93496,122247,98866,94991
SSA_0053,2361,2514,3529,2627,3096,5419,6080,7835,5596,6626
SSA_0054,661,829,1382,999,1097,1798,2306,3150,2424,2059
SSA_0055,1649,1849,3068,2131,2349,3208,4334,6090,4642,4187
SSA_0056,1855,1570,3064,2044,2149,2346,3598,4919,3971,3553
SSA_0057,987,823,1525,1023,1142,999,1528,2201,1750,1588
SSA_0060,1147,1123,1748,1272,1312,1011,1523,2085,1700,1569
SSA_0061,1148,971,1479,1089,1106,714,1053,1509,1232,1048
SSA_0062,1175,1010,1554,1124,1168,740,957,1301,1050,1080
SSA_0063,6464,5775,8647,6163,7193,5046,5185,6299,4843,6314
SSA_0064,5292,4582,7450,5366,5953,5091,5222,5988,4791,6197
SSA_0065,2359,1576,2568,1983,2402,653,683,770,613,851
SSA_0066,2409,1870,3110,2314,2694,1369,1547,1836,1376,2129
SSA_0067,13796,13053,19883,14927,16767,14531,14788,17319,13623,16195
SSA_0068,185526,222511,328014,226790,280631,335703,388812,500711,376831,436764
SSA_0069,1034,927,1481,1023,1179,612,732,794,689,814
SSA_0070,3638,3126,4928,3659,4055,2667,2939,3419,2830,3173
SSA_0071,2688,2897,5027,3128,3035,8146,18346,28425,19751,12728
SSA_0072,4470,4646,8876,5271,4997,9887,20933,34172,23776,14702
SSA_0073,1669,875,2862,1890,1563,2037,4846,8398,5984,3903
SSA_0074,8572,5348,12431,7593,6319,6078,14840,25938,18736,12591
SSA_0075,2259,1219,2837,1678,1408,1001,2523,4483,3265,2701
SSA_0076,1919,899,2215,1235,1106,556,1443,2654,1915,1738
SSA_0077,3139,1593,3169,1903,1644,520,1440,2956,2072,1879
SSA_0078,1618,846,1425,868,806,256,509,952,674,685
SSA_0079,1746,1024,1551,908,853,309,452,839,617,537
SSA_0080,221,64,157,76,109,28,46,71,58,64
SSA_0081,5600,4468,6249,4855,6075,3037,3987,4274,3431,4020
SSA_0083,5375,5045,7042,5159,5969,3937,4220,5022,3831,4860
SSA_0085,46976,48401,68903,50367,59621,59059,65592,77097,62305,66027
SSA_0086,7948,7953,12564,8907,10139,12374,13653,16717,12530,14378
SSA_0087,11224,11943,17988,12911,15275,18802,20872,26354,20016,21159
SSA_0088,22601,23912,37022,27082,31301,36573,43545,54976,43829,44626
SSA_0089,7103,7813,11806,8204,9794,12882,14322,17796,14031,14730
SSA_0090,16256,17651,27650,19419,22906,29876,34234,42696,33480,34337
SSA_0091,51510,58361,86254,61048,73300,93994,108742,138324,107795,105561
SSA_0092,45988,52364,72835,52824,62115,80237,89982,115589,91961,89843
SSA_0093,25800,28950,40938,29322,34392,42132,46582,60239,48607,47167
SSA_0094,17457,12300,15987,13835,15518,2684,2711,2892,2483,3365
SSA_0095,22083,21203,29836,21734,23841,16569,15632,18116,14481,18690
SSA_0097,5314,5977,7678,5969,6866,5983,6570,7955,6063,6174
SSA_0098,2316,2143,3292,2543,2905,2277,2300,2640,2043,2338
SSA_0099,1892,1111,2229,1819,1829,676,765,790,630,808
SSA_0100,27335,26640,39045,28704,32253,35668,37686,45467,35298,40484
SSA_0101,5548,5368,8494,6325,6917,9589,10391,13684,9811,9987
SSA_0102,9392,9302,14413,10311,11619,14381,16204,20795,16156,15945
SSA_0103,6452,5299,7999,6476,6626,4705,4749,5617,4364,4977
SSA_0104,7200,7046,8988,6812,7053,3953,4086,4478,3506,4258
SSA_0105,5139,4956,6617,5103,5360,3738,3554,3773,3100,3679
SSA_0106,17877,17977,23515,17952,17541,4112,4166,4541,3700,4971
predicted RNA,1213,879,1617,1209,1358,339,279,277,237,310
SSA_0107,35623,31150,47999,36657,36247,13738,12987,14644,11747,16071
SSA_0108,40025,37413,55965,41728,43781,25963,25899,31586,25572,29862
SSA_0109,17794,18092,25342,18903,20244,13067,12965,15664,12783,14731
SSA_0110,55086,58629,82350,59465,65333,50354,50336,63538,52059,55968
predicted RNA,2492,2653,3949,2844,3139,2333,2389,3021,2472,2550
SSA_0111,17755,16911,26390,19133,21857,17428,18461,23911,17787,18633
SSA_0112,19970,22557,32002,22773,25459,22230,23070,29757,23670,25361
SSA_0113,41397,45394,65495,46529,53122,48753,52201,67113,51995,54430
SSA_0114,33072,34550,52467,37417,42002,40336,43682,56468,43792,43454
SSA_0115,9914,8059,16652,11824,12763,11743,13999,17289,13763,14123
SSA_0116,22065,19737,36389,25099,28760,25093,29002,37304,30518,31183
SSA_0117,25572,26107,42975,29739,34083,33180,36539,46463,36573,35731
predicted RNA,7001,6597,10790,7890,9478,8849,8647,12039,9188,9459
SSA_0118,22440,21668,35714,25663,28500,28011,31344,41454,30114,31114
SSA_0119,35749,34771,59130,41872,46517,45742,51902,68705,53353,54088
SSA_2391,17168,17493,27490,19278,22248,22484,25530,33829,25219,25823
predicted RNA,978,1013,1626,1105,1195,1455,1468,1804,1524,1470
SSA_0120,37387,35123,57467,41068,45968,44685,50073,64847,48897,50148
SSA_0121,13806,10753,22688,16528,17560,16512,19190,24405,19575,20921
SSA_0122,42867,41765,69213,48965,54239,52764,60146,79357,61137,64169
SSA_0123,26293,26952,43607,30514,33479,32448,37871,49903,39631,39574
SSA_0124,40692,45709,65751,47159,49415,51376,58267,75986,57937,60585
SSA_0125,20168,20754,32979,23270,25079,22116,27056,34471,28719,29166
SSA_0126,27606,26451,43417,31186,33848,30034,34625,45174,34555,36478
SSA_0127,84287,81324,131785,96495,101842,94808,107353,134296,105112,113921
predicted RNA,346,321,623,473,312,393,592,672,450,729
SSA_0128,10779,10968,15848,11264,11706,6306,5814,6424,4836,7614
SSA_0129,26953,17520,32148,26185,27455,11121,10782,11876,8693,12492
SSA_2392,16534,13161,22325,16437,17389,9208,8579,9812,7679,9623
SSA_0130,49628,43096,71929,51962,54334,30528,26917,29713,23398,33120
SSA_0131,37569,32526,57480,41241,40514,22312,17332,17466,14326,23463
predicted RNA,3054,2926,4385,3289,3287,1534,1226,1319,1043,1926
SSA_0132,89274,79887,132227,96179,97085,51187,38701,39407,31554,54598
SSA_0133,39266,38365,59028,41627,42728,23453,17292,17307,14461,23796
SSA_2401,1459,1812,906,615,1102,921,2754,3411,3161,1240
SSA_2432,25,48,32,25,31,65,50,61,26,31
SSA_2405,3889,4542,3202,1665,7157,4424,7239,10535,8756,4504
SSA_2409,138,277,153,96,250,234,224,354,218,138
SSA_2433,287,382,286,158,251,316,340,385,180,210
SSA_2434,393,404,496,422,378,134,64,58,35,70
SSA_2435,1445,1298,1408,1118,1433,432,320,267,224,273
SSA_2436,1971,1754,1555,1457,1931,290,169,140,101,130
SSA_2437,10300,14690,9668,8043,10103,7124,4822,9277,4688,3360
SSA_2438,1925,2163,2261,1782,2065,475,272,249,152,222
SSA_2439,2802,2906,3596,2688,2924,935,701,714,555,573
SSA_2440,1591,1413,2025,1636,1738,472,270,243,148,255
SSA_2441,1260,1458,1574,1192,1406,487,278,258,181,181
SSA_2442,1633,1723,1919,1504,1798,457,257,271,168,186
SSA_2443,5133,4909,6214,4734,5763,1861,1613,1739,1194,1263
SSA_2444,2160,3369,3228,2363,2620,4721,1780,2611,2016,1360
SSA_0135,1684,1354,2360,1694,1939,1031,1040,1129,957,1383
SSA_0136,4016,3325,5801,4110,4654,3307,3429,3844,3015,4335
SSA_0137,3432,3006,4812,3566,3824,3015,2983,3245,2609,3582
SSA_0138,8839,8323,13216,9422,10824,9509,10154,11370,8654,10421
SSA_0139,1601,648,1061,742,898,611,656,836,667,1127
SSA_0140,13022,7838,12009,8592,10666,8111,8715,10474,8575,11566
SSA_0141,1150,752,1355,938,1171,919,1190,1433,1052,1191
SSA_0142,2267,1665,2572,1917,2131,990,1122,1347,1079,1449
SSA_0143,9335,7460,10793,8215,8831,4633,5006,5621,4436,5998
SSA_0144,1379,955,1961,1387,1633,13456,15128,18463,15031,17920
SSA_0145,3421,2370,4246,3435,4591,7124,8174,9391,7789,8489
SSA_0146,166,144,209,189,193,231,325,339,264,260
SSA_0148,14399,14701,20540,14947,17662,17766,16104,18434,13982,23541
SSA_0149,527,409,632,465,536,179,206,201,149,210
SSA_0150,10160,7888,12596,9690,10795,1186,1098,1244,950,1493
SSA_0151,2797,2150,4108,3043,3340,580,565,628,497,677
SSA_0152,21665,19763,34148,25305,27867,6661,6776,8034,6459,7593
SSA_0153,9590,8295,14628,11043,12854,3232,3485,4117,3301,3641
SSA_0154,21978,13881,24679,19389,23094,1417,1648,1755,1512,2067
SSA_0155,2936,2193,4087,3241,3328,402,325,407,298,559
SSA_0156,23263,20591,33328,25102,28547,4654,4348,5086,3785,5592
SSA_0157,29176,24600,37608,29905,31469,2549,2255,2498,1946,3071
SSA_0158,32180,24512,42368,34347,36234,3190,2921,3431,2686,3980
SSA_0159,61602,47825,92698,70917,77992,13529,12945,15082,12308,14915
predicted RNA,96994,59044,120906,97098,112011,7088,8875,10640,8814,9435
SSA_0160,8016,5100,8829,6837,7272,369,343,324,296,573
SSA_0161,18322,15832,26610,19363,22037,2548,2275,2717,2152,3244
SSA_0162,8183,6887,12879,9517,10671,1810,1780,2130,1762,2102
SSA_0163,3708,3355,6082,4316,5179,909,851,1005,853,970
SSA_0164,15658,15004,25867,19593,22358,3785,4024,5115,4028,4562
SSA_0165,7887,6710,12412,9055,11002,1745,1864,2298,1898,2099
SSA_0166,7602,6076,11782,8558,9958,1817,1872,2230,1826,2171
SSA_0167,54912,58232,79854,60225,72834,9575,9601,12246,10407,10967
SSA_0168,17397,12859,25156,18764,20936,2487,2313,3121,2310,3190
SSA_0169,25231,17550,30136,23017,30749,5740,7740,8730,6435,6202
SSA_0170,83403,57515,114731,84496,104456,22738,23385,27702,22846,26956
SSA_0171,14870,13124,17364,14475,16756,3216,4523,5498,3586,4107
SSA_0172,240,196,355,244,318,116,174,202,154,150
SSA_0173,675,640,896,704,761,535,664,709,545,644
SSA_0174,20199,19853,27715,20036,22657,16224,16145,19315,15468,17768
SSA_0134,35108,31515,45312,32879,36148,23982,22648,24735,19920,28052
SSA_0175,33642,30347,44015,31823,35014,23768,22342,24425,19697,27761
predicted RNA,3188,1476,3136,2746,2948,359,311,291,232,561
predicted RNA,2103,948,2064,1802,1997,280,205,202,179,463
SSA_0176,98628,96968,138061,102365,111992,83995,77097,86056,68487,90586
SSA_0177,148615,163129,235101,170233,188361,201678,207694,251710,192652,215527
SSA_0178,17791,14019,23732,18402,19382,3278,3206,3496,2946,4340
SSA_0179,17054,13974,23932,17847,19597,5817,5976,6374,5532,7239
SSA_0180,1979,1270,3125,2334,2520,864,782,881,736,1078
SSA_0181,19510,18518,29344,22445,24022,11146,10823,12504,9890,11676
SSA_0182,21774,21803,33916,24265,27563,13150,13013,15168,12318,13685
SSA_0183,994,849,1305,1032,1621,443,555,634,508,591
SSA_0184,25,23,20,21,19,17,11,27,25,15
SSA_0185,30,22,37,32,33,24,30,24,35,28
SSA_0186,2,8,8,9,10,2,7,8,8,10
SSA_0187,11,6,16,7,8,11,9,13,15,8
SSA_0188,4,9,8,8,7,3,13,9,6,5
SSA_0189,11,8,16,4,13,11,20,20,18,13
SSA_0190,13,10,13,9,18,11,20,16,17,13
SSA_0191,2862,2088,3073,2243,2342,1070,1036,1144,880,1440
SSA_0192,17653,14193,20933,15253,16758,8001,7221,7856,6868,14586
SSA_0193,3629,2138,4132,3013,3110,1022,1171,1131,932,1448
SSA_0195,1171,921,1571,1201,1265,1157,1150,1285,1040,1330
SSA_0197,8954,8274,12563,9198,10383,7317,7829,9412,7152,8650
SSA_0198,13789,15011,21124,15598,17847,16573,17968,21691,16779,18463
SSA_0199,6478,6211,10225,7401,8503,8178,9778,11620,9086,8991
SSA_0200,13520,13295,19737,14566,17234,16146,18438,21679,16987,17457
SSA_0201,58,51,62,59,57,60,83,88,67,48
SSA_0202,63,47,81,73,78,90,89,101,88,95
SSA_0203,74,67,96,77,85,72,87,99,94,94
SSA_0204,1409,1230,1825,1286,1383,972,1038,1175,952,1198
SSA_0205,2193,1694,2759,2014,2231,1486,1449,1523,1254,1737
predicted RNA,280,337,581,388,462,576,999,1495,1099,824
SSA_2393,317,235,364,296,334,226,279,340,220,248
SSA_0206,155,133,218,159,186,117,156,181,131,155
SSA_0207,412,351,595,442,464,466,522,557,497,642
SSA_0208,35001,33914,49555,37815,40521,37827,36675,44475,35649,40584
SSA_0209,44242,49285,69912,51080,55938,61515,63045,78933,61900,66405
SSA_0210,3176,2439,3630,2917,2904,1158,998,1114,778,1694
SSA_0211,4972,3811,5934,4286,4707,2053,1571,1770,1327,2776
SSA_0212,11063,9596,14556,10424,11742,6899,6380,6863,5416,7899
SSA_0213,1368,1172,1653,1376,1391,989,1018,1307,1070,1228
SSA_0214,52,63,82,65,70,63,57,75,46,68
SSA_0215,8537,7409,11623,8227,9044,7945,8465,10316,7926,9406
SSA_0216,14422,13350,21081,15241,16942,18301,19453,22705,18337,21144
SSA_0217,9095,9279,13728,10082,11328,12464,13302,16286,12867,14193
SSA_0218,22672,23188,33769,24670,28986,31566,33840,40846,31289,34272
SSA_0219,4311,4028,5784,4023,4119,2520,4805,6554,3856,2281
SSA_0220,6810,5390,9292,6544,6989,4628,7761,11288,6674,4254
SSA_0221,15261,14456,21972,15403,15924,10810,17514,24935,15902,10547
SSA_0222,19971,18606,28489,19874,21737,13871,23119,31878,20871,14053
SSA_0224,10014,9196,14051,10055,11004,6461,10295,14255,9664,7223
SSA_0225,21474,17107,27870,19934,22201,21821,23657,29197,19682,27515
SSA_0226,198067,185437,301129,203474,240927,239733,254693,306450,242205,319811
SSA_0227,172078,154624,225476,170645,176777,23956,24477,29187,23549,28039
predicted RNA,15640,9957,15130,11261,15865,3474,6400,5646,5745,4554
SSA_0228,30,13,34,20,29,5,3,5,5,3
SSA_0229,9,5,10,7,5,2,0,1,1,3
SSA_0230,29762,14806,31534,25759,32209,6324,6733,6889,6010,11414
SSA_0231,51668,36123,64740,51780,51498,36839,32844,35458,28295,47516
SSA_0232,6306,3845,8449,6564,6706,5825,4809,5428,4493,6935
SSA_0233,27983,20247,38231,29847,30141,27255,24710,27817,22026,30144
SSA_2472,140,140,169,133,150,62,47,53,43,53
SSA_0234,28621,16826,33755,28419,28496,9419,10072,10887,9277,11943
SSA_0235,154,66,177,120,167,71,91,101,86,82
SSA_2471,16068,16438,18379,13797,14219,3501,2959,2419,2022,2930
SSA_0236,3930,3906,4675,3673,3898,2111,1922,2311,1796,2462
predicted RNA,897,375,470,294,286,1137,489,1128,889,29184
SSA_0238,849,629,1013,778,1005,198,246,275,184,315
SSA_0239,668,663,939,695,923,348,427,504,368,505
SSA_0240,912,785,1319,922,1311,606,840,970,745,973
SSA_0241,4027,4152,6067,4381,5713,3945,4834,6091,4691,4879
SSA_0242,4102,4291,6093,4561,5705,4191,4833,6266,4981,4974
SSA_0243,12765,14176,16834,12432,14626,8808,8089,10103,7922,9461
predicted RNA,3882,4116,5656,3633,4591,1953,3067,3413,2941,3718
SSA_0244,458,260,451,355,426,112,157,142,111,150
SSA_0245,300,158,391,230,363,106,148,148,148,196
SSA_0246,4886,3693,6856,4309,7636,2985,4825,5307,4164,5986
SSA_0247,26095,20254,40956,25565,42781,26964,37620,44555,33291,44733
SSA_0248,14472,10859,22030,14042,22313,13903,19001,21880,16887,21187
SSA_0249,12170,9519,19983,12638,19275,13706,18845,22779,18197,20950
SSA_0250,27606,26106,40297,27815,33268,31498,33351,40088,31712,36988
SSA_0251,7136,6470,10859,7745,8924,8874,9191,10791,8514,9805
SSA_0252,1764,1466,2232,1687,1918,948,1077,1404,1127,1191
SSA_0253,225,158,330,239,294,302,307,376,312,381
SSA_0254,264,216,308,224,233,126,111,136,113,153
SSA_0255,170,139,202,154,139,39,38,50,47,67
SSA_0256,5687,5891,7398,5373,6227,4305,4304,5259,4033,4492
SSA_0257,33564,33706,49638,35212,39837,45302,44993,53935,43487,50714
SSA_0258,2306,2216,3261,2287,2621,2574,2790,3194,2631,2990
SSA_0259,14332,11559,17801,14648,19003,14452,14916,18877,13344,18416
SSA_0260,285692,267915,387512,275962,327836,260422,317954,400988,315818,311179
SSA_0261,126221,121058,179291,136063,149332,160333,188983,244653,196156,196131
SSA_0262,105094,91341,152606,113689,122917,129459,163626,214442,160043,157656
SSA_0263,16243,17298,23583,17348,19291,18656,18156,21118,15897,20497
SSA_0264,17197,14295,22828,16896,20486,20958,24421,29423,22958,25526
SSA_0265,1998,1755,2861,1935,2404,2099,2334,2887,2105,2319
SSA_0266,3515,2824,5226,3849,4283,3384,3662,4602,3629,4099
SSA_0267,2703,2853,4073,2881,3515,5627,5874,7464,5688,6529
SSA_0268,1233,1312,2262,1627,1895,902,1461,1829,1406,1290
SSA_0269,1278,1384,2414,1747,2058,949,1281,1761,1366,1247
SSA_0270,5702,5989,10174,6943,7829,3570,4560,6127,5022,4749
SSA_0271,8088,7606,12054,8273,9048,3356,4395,5867,4760,4671
SSA_0272,4222,3949,6076,4191,4364,1495,1901,2400,2105,2001
SSA_0273,7290,6558,9714,6700,7213,2585,3037,3878,3192,3003
SSA_0274,362,323,492,376,400,610,698,929,693,721
SSA_0276,4751,3968,5607,4207,4306,2458,2433,2633,2099,2872
SSA_0277,319,272,429,278,317,310,416,642,501,427
SSA_0278,3774,2640,5092,3694,4325,3900,4731,6019,4611,5151
SSA_0279,4844,3590,6584,4808,5246,5146,5703,7148,5536,6068
SSA_0281,2493,1456,3385,2353,2528,2307,2373,2584,2192,2859
SSA_0282,203,135,250,215,228,218,415,572,455,341
SSA_0283,217,151,271,189,208,227,395,537,472,312
SSA_0284,754,670,1101,718,817,806,1116,1690,1411,1122
SSA_0285,3051,2424,4236,2869,3211,3308,4818,7184,5738,4768
SSA_0286,717,506,955,613,674,594,698,1023,860,885
SSA_0287,1469,1100,1820,1377,1397,1342,1602,2167,1654,1734
SSA_0288,3196,2465,3564,2911,2866,1435,1542,1669,1418,1621
SSA_0289,47914,49379,65807,47999,54043,45087,42833,51288,39448,48221
SSA_0290,2570,2143,2996,2579,2474,1828,1915,2482,1981,2229
SSA_0291,168,164,246,169,192,162,180,210,201,197
SSA_0292,300,258,379,291,314,340,334,408,312,356
SSA_0293,2177,2319,3441,2547,2794,2698,2946,3678,2958,2923
SSA_0294,839,548,1272,938,992,907,980,1151,902,1073
SSA_0295,5973,5110,8873,6570,7087,5206,5708,7381,5958,6947
SSA_0296,4467,2818,5358,4076,4664,1749,2203,2447,1974,2312
SSA_0297,2499,2175,3783,2709,2866,2182,2444,3237,2478,2842
SSA_0298,756,564,1068,775,819,690,794,922,742,829
SSA_0299,19208,17679,24029,17681,18504,9936,11463,12492,9636,12628
SSA_0300,23644,13235,28586,19811,28431,21273,35415,37335,32763,32206
SSA_0301,42764,25201,59013,39725,56328,35074,59268,62831,57405,52725
SSA_0302,127846,125381,186662,140751,152500,116989,124897,153502,115234,147825
SSA_0303,133329,124401,193340,140829,157866,198853,202722,246948,191604,219819
SSA_0304,22485,16550,20598,16327,18173,4772,4952,5478,4452,6371
SSA_0305,4158,3382,5421,4316,4646,3030,3775,4547,3684,3946
SSA_0306,11962,7071,14391,11137,10702,6145,6035,7010,5745,8862
SSA_0307,56567,45443,66549,50238,49511,34327,32017,36231,28788,48976
SSA_0308,3557,2475,4195,2916,3850,1945,2548,2629,2344,2241
SSA_0309,1244,815,1348,995,1084,587,586,656,476,793
SSA_0310,1719,1141,2335,1668,1608,1363,1280,1581,1166,1792
SSA_0311,3563,2327,4561,3234,3657,2603,2880,3364,2642,3412
SSA_0312,86161,89309,125263,93690,101420,85194,84381,101806,82816,96476
SSA_0313,5801,4038,7077,5566,5889,2470,2156,2645,2200,3443
SSA_0314,3390,3581,4658,3338,3615,3101,3162,3525,2852,3442
SSA_0315,4464,3784,5599,3966,4533,2290,2386,2862,2075,2790
SSA_0316,5407,5293,7869,5672,6553,5752,6377,7413,5756,6541
SSA_0317,4350,4058,6204,4499,5230,5335,5754,6958,5358,5980
SSA_0318,11182,11311,16706,12140,14321,16275,18197,22352,16907,17264
SSA_0319,9541,9193,14697,10506,12042,14243,15859,19022,15193,15796
SSA_0320,5853,5372,8814,6303,6979,8484,9681,11357,8707,9041
SSA_0321,293,231,400,295,438,388,387,478,382,396
SSA_0322,834,700,1178,790,1020,941,1044,1210,1018,919
SSA_0323,1876,1833,2419,1738,1936,1345,1303,1525,1164,1310
SSA_0324,33674,26282,44574,31412,40516,20703,23410,28600,21041,20694
SSA_0325,8844,8705,11912,9176,10581,7541,8366,9637,7283,8548
SSA_0326,12743,10392,14968,11622,13920,6141,7603,8580,6279,6822
SSA_0327,6742,4439,7515,5607,6560,2015,2135,2172,1657,2081
SSA_0328,12095,12246,16594,12559,13640,12594,12601,15221,12054,13607
SSA_0329,31104,28310,37497,28190,27683,8248,7784,8643,6808,9714
SSA_0330,1655,1497,2298,1816,1863,1331,1349,1543,1226,1379
SSA_0331,6682,5474,8720,6474,7046,4401,4571,5378,4100,4923
SSA_0332,8863,8452,11745,8896,9702,8182,8101,9607,7296,8389
SSA_0333,7654,7538,11208,8065,9349,9881,11127,13472,10281,10773
SSA_0334,10147,10504,15485,11276,12956,15382,16592,20088,16066,16375
SSA_0335,12356,12256,18450,13882,15371,19629,20876,25588,19558,20630
SSA_0336,12274,12820,19005,13713,15326,18589,19270,22975,18366,20068
SSA_0337,28709,30676,40368,31014,35135,28036,27892,33164,25860,27256
SSA_0338,17314,16690,22554,17730,18732,11927,11624,14047,10494,12437
SSA_0339,1622,1507,1988,1455,1612,1241,1173,1370,1037,1322
SSA_0341,2260,2265,2872,2185,2224,1613,1659,1948,1593,1863
SSA_0342,163536,191330,283596,207738,233368,357111,389484,505761,375962,438274
SSA_0343,3613,3254,5018,3654,4183,3774,4168,5041,3640,4376
SSA_0345,2554,2468,3724,2697,3522,4767,7106,9083,6591,6371
SSA_0346,5347,4842,8166,6278,7335,11061,13074,16286,13255,14807
SSA_0348,5709,5196,8518,6235,7449,10567,12173,15421,12771,14285
SSA_0349,20957,18033,26428,19157,24081,17609,21266,25625,20799,22086
SSA_0350,9477,9932,13448,10472,11267,14200,14979,18583,14859,15032
SSA_0351,6913,6301,8905,6678,7164,6387,6646,7847,6276,8152
SSA_0352,8458,7959,10931,8388,8764,6062,5663,6384,4896,6693
