,Complete 1,Complete 2,Complete 3,Fe 1,Fe 2,Fe 3,Mn 1,Mn 2,Mn 3,FeMn 1,FeMn 2,FeMn3
SMU_1600,73,57,84,50,64,52,29,55,59,45,44,68
SMU_1368,25,21,28,27,32,13,20,18,20,15,17,25
SMU_41,9,4,7,9,9,6,8,8,5,2,4,6
SMU_1031,20,11,12,11,13,6,14,9,6,6,12,9
SMU_1024c,36,28,21,24,32,21,9,20,16,25,17,24
SMU_182,252,224,285,1883,1768,1315,13677,14645,15646,25517,23430,28613
SMU_635,2849,2898,2935,1642,1687,1160,12492,13194,11325,4556,4702,5531
SMU_758c,6508,6535,7134,4569,3928,3574,6904,7156,6423,7519,8014,9683
SMU_540,19534,23631,24591,12553,10029,9029,58467,50693,48188,27563,30111,35067
SMU_998,1954,1931,1777,13921,5957,12308,5364,4669,4065,8407,7057,9046
SMU_997,1365,1387,1258,10074,4295,8979,3660,3284,2927,5793,4797,6159
SMU_996,1614,1433,1317,9974,4314,8578,3593,2761,3022,5667,4894,6666
SMU_941c,1120,1036,974,3811,3438,3287,2486,2756,4847,4797,4728,7064
SMU_995,1789,1635,1554,9691,4317,8694,3468,3021,2745,5574,4827,6082
SMU_541,622,699,674,527,344,331,775,877,976,610,621,733
SMU_1034c,1158,1044,958,2416,2108,2028,1356,1243,1998,1669,1525,1905
SMU_764,4106,5757,5378,3128,1969,2306,5098,3836,4211,4996,4914,5793
SMU_765,15021,20498,18931,12785,7725,8771,20382,15279,16450,18641,17282,20341
SMU_914c,1176,1112,968,2492,1629,2031,769,768,731,532,369,558
SMU_915c,1462,1286,1268,3175,2050,2563,920,873,804,575,376,615
SMU_651c,385,459,444,992,958,1359,184,183,262,232,237,322
SMU_183,199,166,150,314,273,256,16215,16003,17997,32586,30140,40748
SMU_652c,245,294,251,599,609,837,100,135,171,154,133,207
SMU_916c,1839,1628,1579,4096,2537,3258,1137,1101,985,793,498,831
SMU_917c,1094,978,936,2377,1450,1769,656,648,645,403,264,455
SMU_870,1636,1477,1597,3294,2930,2585,1308,1650,2320,2160,1790,3050
SMU_653c,242,251,235,467,445,567,105,109,142,160,182,246
SMU_1424,261,248,232,457,450,432,236,255,400,308,292,383
SMU_919c,1443,1348,1203,3071,1693,2361,753,713,660,509,355,536
