Description,WT1,WT2,WT3,WT4,Mutant1,Mutant2,Mutant3,Mutant4
secA,553742,845557,664414,308586,527053,380908,318566,537357
greA,13160,16519,10608,6537,9947,6869,7198,9449
SSA_0909,9286,18860,10734,7065,9397,9131,6071,9568
SSA_2149,12687,21897,11852,10785,29756,26189,22931,21162
SSA_2435,185,323,321,97,135,135,74,125
gapA,1484005,3117243,1799853,1041010,3336411,2307315,2008449,2821940
SSA_1668,192,313,190,124,389,306,258,330
SSA_1744,1079,1873,1335,598,2271,1764,1342,1827
SSA_1621,9799,17690,9957,6826,10439,7545,7554,8628
SSA_1716,10400,14262,10587,6355,8157,8319,6897,8238
SSA_2207,1374,3365,2337,1064,3849,3344,2194,4630
tpx,35628,72952,43496,27848,98472,61116,47511,74279
rpsU,108990,213893,120433,73064,89004,98909,53705,107118
rplX,53605,81274,66040,35274,89879,86065,70958,89780
SSA_2206,1340,3296,2267,1031,3761,3208,2109,4547
SSA_0353,6055,10340,6766,3928,5564,5627,4185,6224
SSA_1888,16032,31496,20451,12228,17189,16609,12544,16203
SSA_2443,1266,1837,1549,547,640,932,382,834
gdhA,143943,273389,163909,96716,268728,199512,176816,238834
SSA_2471,10409,26460,17205,7982,11765,10847,7792,11232
SSA_1537,8451,16565,11457,6629,7536,9075,4702,7843
SSA_2259,4305,8101,5131,3193,3962,4243,3355,4032
secY,237032,391812,258015,151561,375004,300238,261890,374908
SSA_1950,11124,19503,12627,8082,11162,10761,8253,9249
comX,468,776,547,313,425,430,314,399
gtfP,13379,25125,15645,9123,23934,18251,16474,24304
SSA_2429,425,596,329,188,333,166,199,242
comE,1678,2962,1626,1208,1559,1483,1225,1407
SSA_1981,5424,12669,6945,4570,10938,11249,8561,12708
SSA_1613,7149,10066,5962,4879,6150,5423,3984,6177
SSA_0148,64860,119240,66185,40325,71466,40749,46234,53228
ackA,34120,62908,34895,25476,37228,25810,27323,30646
SSA_0009,7456,10650,7513,4385,6607,6228,4656,7139
SSA_2425,1719,2629,1920,641,1176,1086,691,1323
SSA_2464,133,230,144,83,99,91,88,83
SSA_0139,833,1545,1017,657,1572,1724,1060,2035
secG,5154,7452,5062,3014,4891,4160,3529,4990
SSA_0426,4256,8203,5846,3302,10367,7804,5272,8314
SSA_2426,1162,2066,1491,551,1160,819,701,961
SSA_1786,8425,12387,7202,4592,6774,5485,4385,8153
SSA_0165,1186,1992,1397,846,1908,1857,1504,2220
SSA_0418,8874,12682,8336,4445,7894,5645,5210,8158
SSA_2430,391,821,777,239,342,367,222,370
SSA_0163,501,905,587,422,910,844,787,1026
SSA_0049,19275,41095,25903,12049,20723,14328,11905,22889
SSA_1596,5545,10034,7155,3784,5154,5846,3824,5290
SSA_0809,3446,5451,3346,2278,3641,2742,2508,3461
SSA_0359,3142,5931,4007,2246,3116,3200,2596,2976
dexB,10262,17526,11134,7782,10947,9435,8437,9993
asp,12911,20089,11364,8747,12552,9885,9119,11900
deoC,24968,34823,19855,14018,21030,14836,15580,21141
SSA_2470,132,204,105,61,222,225,213,197
SSA_2442,1582,1753,1443,466,585,941,558,796
hutI,12571,25540,16555,7765,14118,10585,8313,14444
rpsQ,49939,78191,71611,35325,90190,95466,68417,94008
SSA_2386,3532,6615,3430,3229,8131,7656,6770,5607
SSA_0360,20126,39872,27713,15329,22159,21997,13448,22150
argR,6978,12688,8701,5141,13520,10255,8567,11394
SSA_0370,69419,135181,88395,47221,133052,106813,90747,110899
SSA_1594,448,802,522,319,813,731,566,736
csrR,38677,53356,36123,21872,34661,27321,26899,35472
SSA_0393,45867,73877,54201,35061,40387,46155,33240,44691
SSA_0324,29293,43410,31046,15787,27966,19899,16125,30096
SSA_0121,32690,51138,37580,25971,54436,67675,48169,55887
SSA_1734,48990,94880,61420,35632,89380,74513,58848,83912
SSA_1670,1235,1963,1309,772,1278,1059,892,1310
scrA,7746,13224,7407,5376,8190,5809,6145,6630
cbiM,18852,32309,22063,12489,30270,25088,21566,28389
SSA_1565,30851,47045,28165,16971,32195,20719,20204,27083
SSA_0499,22705,42225,32458,15926,41730,37949,29640,42803
glmU,42996,69052,41322,25057,46666,26373,29486,37028
SSA_0954,5524,8954,6381,4135,4973,5235,4516,4676
SSA_2045,19521,33785,22787,12777,30717,26219,22740,29643
arcT,36006,95738,62132,30123,43242,40216,26341,47909
SSA_2188,19385,33322,22769,13383,23288,17211,16493,20784
SSA_0493,27650,49322,36135,18527,49585,40125,31802,49256
SSA_1635,15762,22351,17541,9955,14562,13437,11302,16345
SSA_0648,4439,8446,4922,3426,4820,4621,3554,4478
SSA_0880,3683,6535,4909,2545,3658,3993,2710,3411
potB,12740,21218,13256,8686,19668,17459,15166,18606
SSA_0346,15092,33112,21691,10228,30839,29251,19049,32281
gnd,74211,96494,65834,39722,60985,45735,47619,67826
SSA_1892,2014,3929,2435,1680,1467,2079,1382,2237
fruA,11957,29393,17489,10307,27433,23297,17362,28053
rpmC,24675,33886,27014,16114,35299,38799,30234,38807
SSA_1456,3539,5549,3928,2533,2861,3636,2265,3234
SSA_1434,38997,86594,50384,29178,43810,42549,25958,45979
SSA_1210,13153,18979,11104,8164,12471,9203,9107,11942
SSA_2132,5864,11394,8244,4096,12846,9945,7802,9568
SSA_1832,16803,28521,17675,12560,18012,14957,14292,15450
SSA_0806,2103,2730,1471,971,987,1119,576,1851
SSA_0348,13191,33279,20609,10645,30904,28172,18977,31635
brnQ,3866,6226,3555,3027,7458,5285,4565,6634
SSA_1982,2958,7158,4578,2703,6460,7624,4345,7889
dnaK,467832,929262,597623,306821,881708,660727,583284,795954
SSA_0258,7302,12770,8493,4624,12873,9562,7922,11143
dgk,6306,9955,5522,4644,5972,4721,4724,5996
rgpE,3159,4538,2869,2117,2856,2677,2217,2890
cpsIaJ,5067,6971,5144,3071,4729,4527,3491,4180
purA,52089,85656,55127,28069,58336,35187,36136,48150
dltX,816,1351,1036,692,560,890,420,791
SSA_0424,354,655,442,211,774,554,433,571
ctpA,13022,22878,14080,7375,22598,15884,14027,22930
SSA_1158,3122,6397,3747,3092,7554,5344,4376,6997
argS,53990,88280,51315,34090,60662,37651,40089,50142
SSA_0827,25528,45457,26216,16856,30123,23355,20208,27780
deoD,35666,62465,39945,22917,54142,47629,38502,57441
SSA_1368,1025,1890,1372,652,1924,1529,1201,1887
SSA_2355,19944,32012,21470,13395,19634,18839,15756,21548
SSA_0950,17246,26219,21697,11366,15683,17172,12778,16561
pepQ,40330,84663,53306,28279,79106,62711,50227,71901
SSA_2338,20619,48103,30495,16844,44955,41356,28750,42250
SSA_2337,13600,30845,21399,11349,29654,31306,19012,29788
SSA_0053,26001,50458,30820,16081,31301,23584,19936,29499
SSA_1364,3867,6853,4939,2681,6366,6191,4504,6698
SSA_0519,55921,148140,119050,46898,170308,133964,98945,157411
acpP,13347,28761,15325,9659,15762,13110,11732,13055
SSA_1365,4294,7450,5469,2555,7183,5966,4899,7586
SSA_2440,886,1272,742,365,672,489,575,518
SSA_0216,33119,56506,37267,22147,51382,46070,36737,48098
SSA_1858,995,1558,1108,625,863,976,712,860
SSA_0094,3168,5239,3435,2077,6244,3787,3406,5699
SSA_1516,11863,17308,11948,7179,12217,10480,8610,12128
aro,350327,620994,431851,219218,397463,319291,260039,418901
scrK,13395,21458,13203,7570,14496,10661,9478,13881
nrd,29986,45733,28891,16993,31321,23813,21425,30612
SSA_1640,21583,39964,22029,14263,25452,18250,17736,21531
SSA_0843,8430,13176,9196,5278,12926,10659,8548,13915
SSA_1034,4615,5358,2617,2542,3283,2343,2269,3308
leuD,8089,12645,8564,4821,11833,9760,8334,12312
rplN,75676,103513,81378,40388,115442,88734,77115,118353
SSA_1566,3951,5143,3153,2296,5837,4773,4608,5063
SSA_0968,673,1082,799,479,586,688,457,678
acyP,1599,3207,1785,1130,1855,1509,1087,1911
SSA_0572,69625,139745,80247,46565,81819,63338,53461,85470
SSA_1627,2866,4369,2765,1616,2585,2142,1588,3129
aroG,282733,498342,365918,178936,321928,262091,213803,338283
rplV,43470,59912,54158,25039,69731,59329,48918,68573
pyrE,2148,3375,2438,1104,2372,1481,1312,2092
SSA_0369,22040,49276,28815,19497,48092,40246,36176,38263
prs,26536,42265,26923,18755,29647,23181,21237,28243
SSA_1666,1786,3405,1887,1286,3832,2308,2146,3093
rplW,19901,24403,21574,10973,30859,24585,21521,28025
SSA_0520,29163,77994,68743,26693,89036,82934,53642,90210
SSA_1614,1048,1719,1229,675,1118,910,820,1194
comEC,452,815,527,312,748,726,583,713
rplP,88191,125185,101294,47385,138314,108189,91849,139260
SSA_1170,5758,11422,6929,4928,7020,5248,5455,6182
SSA_1599,3781,6678,5070,2566,3579,4213,2801,3728
lacB,7880,20620,15271,7498,19203,22071,13142,22664
SSA_0164,2740,4591,2923,1662,4081,3439,3053,5004
SSA_0167,10238,20376,13228,7690,19187,15706,11913,20006
SSA_0907,4008,6818,4517,2696,6976,4992,4305,6259
SSA_0929,14803,24432,18534,8280,29421,25477,18167,19431
tdk,6331,7928,5672,3167,5093,4014,3555,6100
SSA_1772,6463,11460,6640,5189,12540,9050,7597,10950
SSA_0607,10872,21357,15456,7764,20935,18064,13293,19572
SSA_0760,2568,4194,2916,1447,4174,3554,2878,3518
SSA_2038,3237,7112,5039,2368,7949,5797,4095,6790
SSA_1286,2802,5553,3345,1968,3173,3040,2319,2736
SSA_1397,16486,31467,22565,15044,15933,19102,14768,14144
SSA_1667,101,197,110,73,204,198,143,174
SSA_1541,24328,38026,21667,13767,25312,16090,16523,23597
SSA_0447,7200,11887,8123,4851,13124,8795,7701,11653
SSA_0528,10493,24383,20579,8964,25318,24690,17441,25589
comEB,4750,6642,3936,2203,4425,2783,2659,4097
SSA_0299,18183,31963,18981,12275,20151,15098,13456,21909
SSA_0500,6760,10815,8093,4289,10220,9143,7371,11616
SSA_0298,1190,2392,1616,969,2209,2089,1682,2099
SSA_1199,1584,2361,1731,979,1616,1189,1094,1785
SSA_1054,4839,6895,5338,3414,4280,4688,3282,4948
SSA_0415,4640,7756,5107,2937,7902,5809,4672,7049
SSA_1168,36333,62146,42783,26644,38038,38753,30343,35859
SSA_1366,6103,11439,8879,4113,10917,10197,7424,11923
SSA_0911,78651,194836,106805,69482,163911,148101,116591,169524
SSA_0928,12383,18181,13238,6363,21599,17122,14066,14919
SSA_0523,37174,89809,81139,29499,102184,88438,60559,108310
SSA_1336,3684,5131,4164,2114,3164,3527,2281,3380
SSA_0152,6405,10916,6843,4396,9488,8886,6988,9996
gpsA,33039,54276,35104,19791,40191,24234,24368,32200
ilvD,161976,226265,149574,74939,158252,99984,94736,144783
SSA_2340,1858,2849,1779,1037,3021,2197,1935,2439
SSA_0529,5170,11059,8974,4693,11141,12564,7793,11794
SSA_0696,11007,19708,12797,8453,17960,18089,14890,16981
SSA_0740,186732,485896,316059,148351,237574,206014,140015,266252
SSA_0920,2008,5794,3097,1620,6108,3479,3245,5217
ftsY,81580,139932,89643,49834,122614,100793,86552,118809
rimL,10795,15713,10556,5673,11060,7987,7454,10547
SSA_1913,1360,2240,1131,948,2907,1563,1424,2860
SSA_0161,1705,2930,1722,1126,2542,2139,1974,2804
SSA_2380,2520,4857,3444,2001,2319,3130,1867,2331
mleS,4286,8028,5211,3113,7159,6600,4977,6915
SSA_0617,42439,62553,38306,22386,44503,26963,29464,34869
SSA_0682,11643,18508,11303,7281,12647,9171,8794,12576
SSA_0502,6844,11061,8368,4637,10357,10072,7637,11819
SSA_0330,1973,3339,2069,1334,3012,2643,2323,2832
SSA_0141,1219,2170,1341,814,1898,1987,1468,1804
murN,41479,90398,63163,33298,83389,82302,57759,79240
SSA_1680,3785,6608,4339,2418,6338,5023,4072,5416
SSA_0708,2801,4966,3173,2244,5030,4319,3195,4629
SSA_0255,338,657,390,258,595,716,465,555
eutQ,8369,18328,14513,5896,19838,15136,12197,17280
ldh,249887,485186,303927,156044,472661,330725,287017,405963
SSA_0599,181,449,283,174,418,433,305,410
rpsS,31662,41720,40143,17227,53733,41859,35282,48329
SSA_2131,695,1305,1018,520,1506,1229,888,1176
SSA_0586,32213,52346,32984,19809,36562,28407,23461,36492
ftsH,146381,213135,139985,85297,155409,115010,108624,145440
SSA_1458,9687,15680,11347,6530,9699,10200,7685,9270
SSA_0497,15294,25654,18514,8899,25357,19914,15783,27016
SSA_0526,11109,27100,24884,10031,29581,30074,19684,30156
SSA_2201,10554,30156,21221,9770,28721,30365,17355,28809
SSA_0918,22912,55614,40827,16562,58193,51483,30481,53552
SSA_1064,723,1586,839,604,1430,1308,998,1254
SSA_0522,15947,41218,39691,14971,44255,51361,30392,49048
SSA_0290,2536,5098,3503,2264,4826,4999,3592,4690
SSA_1136,28679,56199,35494,19722,35355,27934,25311,35080
eutH,22102,43831,33592,14517,45675,35162,26817,43952
SSA_1284,3639,6149,4236,2952,3628,3987,2817,3883
SSA_1019,236482,526507,312317,182929,471716,375373,315022,418450
SSA_0423,260,521,387,180,591,410,383,464
SSA_0217,22845,40311,25661,14465,36388,28980,25027,32290
eutL,21430,51655,46536,15548,60752,48238,32362,63194
SSA_0817,42102,93131,58626,33438,80663,75781,54186,81845
SSA_0505,4633,7736,6249,3289,7623,7134,5457,8130
pfs,15148,22128,13235,8097,15835,10407,10542,12802
SSA_1021,17284,24823,15488,9267,15732,12103,12059,17207
opuAa,16865,26462,18561,9175,33058,18545,16988,29410
glcK,41811,57348,36642,20711,38698,25480,25764,40007
ansB,13176,20971,15456,7200,15355,10415,8974,13812
nrdR,8624,13081,9094,5289,8901,7104,5836,10042
pulI,138057,261366,181903,91032,238780,201425,155423,240180
SSA_0411,4376,8607,5418,3586,7651,8174,5940,7234
mvaS,13999,23464,16681,9197,22873,19050,14991,20073
csbD,40538,94623,59535,30652,44660,51152,27130,48595
SSA_0498,13004,21207,16499,7746,21694,17076,13760,22703
cdd,19719,30102,16377,13734,19231,15301,14644,18924
pdp,19181,24801,13357,10844,15904,10697,12632,15189
potC,13971,23082,14446,9895,21333,20825,16507,19581
SSA_1984,817,1332,904,576,1370,1122,890,1202
SSA_1459,9396,16164,10582,5725,11582,8153,7548,10232
cbiN,7863,15290,10843,6037,14320,12600,11047,12772
SSA_0751,60731,93951,61428,37815,98843,68801,65860,82390
SSA_0838,90180,165441,126330,60320,152004,141620,104869,175494
SSA_1707,4502,8191,5675,3434,10162,5864,5401,8056
SSA_0153,2666,5083,3196,2115,4239,4906,3530,4587
malR,11852,25943,16470,9001,16579,11342,11393,12278
ssaC,466826,1063114,668494,404092,940124,958402,642253,900467
SSA_0565,15763,24521,15561,8622,17390,12441,12041,14048
SSA_1646,2658,3190,1768,1188,1982,1486,1643,1588
SSA_1363,7633,13888,10020,5235,12678,11195,8762,12627
SSA_0045,5425,8722,5797,3990,5724,5321,4576,5631
SSA_0748,2956,4812,2917,1979,4554,3776,3500,4010
SSA_2422,208,477,272,134,258,203,154,151
SSA_0701,7074,12808,8126,5102,12344,9340,8472,10371
SSA_0978,2433,4040,2575,1653,3512,3161,2705,3778
SSA_1487,1660,1859,1319,745,1101,893,970,1400
norD,3506,5160,3343,2077,3239,3201,2635,2934
SSA_1641,17161,28952,16074,12725,19184,14373,14417,15915
SSA_1337,1811,3035,2267,1416,1830,2040,1439,1877
SSA_0048,6960,15675,10953,5186,14279,14388,8866,14425
SSA_2025,55068,99652,72693,43176,59183,63666,46414,62283
nifR,9121,15324,11104,5914,16063,11194,9969,14237
SSA_0446,10531,19811,14140,7432,19988,15679,12068,17163
SSA_0842,2887,4475,3124,1962,4162,3956,3008,4997
hslO,6324,10613,7067,4032,12783,7026,6772,11664
SSA_2312,680,979,685,357,676,577,457,599
SSA_0208,52300,88592,61451,32185,91403,63093,56838,77234
pduL,13877,30752,27634,9833,33384,29644,20039,33981
SSA_1216,23982,51024,31387,18719,42290,40096,30753,43084
SSA_1483,36260,70537,49033,25738,60515,59594,42884,65769
carB,19068,20364,16725,8038,11250,8796,10537,17362
SSA_0410,3847,8012,5335,3525,7311,8788,5765,6897
SSA_1538,13815,25611,20747,9301,14777,15840,10051,15956
SSA_1598,3217,5484,4246,2365,3258,3687,2513,3454
SSA_2292,524,904,610,353,846,802,638,760
SSA_0584,1217,1883,1214,801,1757,1736,1408,1650
SSA_0766,2654,6137,3594,2616,5561,5779,4407,4846
mutT,8905,14862,8624,6334,13456,11536,10513,13083
SSA_0881,4334,7348,5330,2967,4411,4782,3540,4232
spnIM,5091,6554,5089,3289,4067,4488,3715,4662
SSA_0288,964,1665,1223,737,1771,1434,1063,1650
lacC,10998,28046,21530,10195,24750,29640,17334,29981
SSA_1705,1428,2328,1449,964,2099,1871,1468,2330
SSA_2184,1454,1767,1446,696,1326,921,755,1408
SSA_1028,12892,23512,17479,9930,15136,14193,11510,15592
SSA_2336,4928,12036,9666,4413,11998,13356,7459,11724
SSA_0877,9394,16547,8541,6916,10471,7950,7414,10088
SSA_2147,8379,18411,10937,8782,18562,23655,15028,13371
SSA_2150,6234,8536,5462,3901,9883,8070,5520,8733
ubiA,14706,26112,16812,11763,22984,27167,18024,24525
exoA,8483,16142,10528,6884,19254,11972,9455,16410
arc,946892,2608118,1605389,851940,1325272,1166480,844493,1386133
SSA_1003,866,1866,1304,673,1726,1556,1063,1941
SSA_2342,649,996,674,361,1101,884,706,799
hisH,7572,10739,7644,3747,7801,5463,4565,7629
SSA_1549,3816,5419,3585,2461,3156,3726,2415,3606
dfrA,10608,17247,8859,6895,11122,8159,7957,10385
SSA_2021,1337,3278,2262,1034,3024,2665,1790,3236
SSA_1359,28050,47720,29769,17762,47920,32787,29826,39713
SSA_0327,1383,2508,1658,1103,1590,1541,1194,1426
malF,59967,156785,103996,54324,140875,133597,87953,144493
rpsC,107547,144080,119553,53735,168615,117700,109330,163383
SSA_0525,8583,18850,16518,6643,19106,18705,11981,21298
SSA_0765,2923,5637,3332,2359,5016,4957,3929,4468
SSA_0183,1113,2217,1115,1051,2546,1729,1284,2527
SSA_1017,24322,43434,28038,15056,37805,30364,26244,36137
SSA_1489,2918,4992,3388,2039,3015,3110,2506,2626
SSA_1952,122014,220258,149059,79320,211652,157584,133727,182804
SSA_1978,110420,178376,106802,67034,131736,85943,85669,105187
SSA_0394,9714,19792,14666,7558,11951,11145,8002,12953
SSA_2080,358,626,404,271,651,550,377,612
SSA_1414,7119,12367,8648,4501,10429,10147,7981,11233
uncE,14802,16355,11975,7208,10352,10982,7040,12996
SSA_1332,4725,6603,5543,2854,4206,4726,3271,4584
SSA_2305,79444,144387,85890,46728,96124,63766,62937,87256
trkH,107263,189840,123735,72027,174903,139399,114009,153036
SSA_2197,29139,63858,37493,24318,55796,49868,38798,50088
SSA_1338,1078,1768,1220,705,1088,1149,792,1118
SSA_1542,5849,11637,7390,4416,7373,6471,5352,6995
SSA_0839,11344,21576,16745,8170,18536,19105,14653,22608
SSA_0490,16741,28742,20445,11000,27860,22705,16736,29196
SSA_1013,8359,12819,8248,4459,11872,9447,7987,12995
tatD,9055,14019,8596,4800,9923,6546,6053,9243
SSA_1625,1924,3330,2202,1227,2169,1942,1623,2150
SSA_0246,10168,16805,11942,7514,7475,10672,7264,11765
SSA_0313,4014,7876,5050,3458,4928,4538,3751,4574
SSA_1030,24297,45283,28452,20935,23814,28652,20026,26928
SSA_0201,160,238,183,104,288,236,178,241
SSA_2465,49,69,45,25,26,28,25,37
hlyIII,46787,90717,66195,36475,55209,57379,40941,49150
rexA,117710,206085,132238,70079,183295,144170,119327,182485
SSA_1603,2721,3661,2754,1593,2405,2434,1962,2624
nrdF,57105,100782,68655,37243,95787,75118,65512,79636
SSA_0102,30207,62555,40967,20730,57244,46235,35553,50811
deoB,52686,87066,60408,33479,78215,65411,53940,77407
SSA_1333,7588,11553,9188,4973,7489,8075,5535,7992
SSA_1335,4889,7707,6296,3276,5084,5117,3743,5572
SSA_1798,30099,54998,35010,20982,46443,39919,33700,45969
ctpE,26646,47250,31552,16299,48372,32368,28227,41318
birA,23344,56865,40601,18080,53411,44361,33843,49973
SSA_1823,15497,19977,13499,8284,14939,10636,9977,14960
SSA_1634,27413,37412,33000,17795,22965,27366,19115,28314
SSA_0362,402,662,398,266,450,342,307,404
SSA_0083,9310,13969,9687,4785,9088,7097,5786,10419
lacD,13815,32402,24681,10271,31158,26908,18159,34098
hisI,4474,7401,5413,2468,5176,3953,3242,4945
SSA_0354,15575,24031,14950,11025,15267,15512,11824,15481
nusB,27840,50817,29887,18015,34629,23976,23985,30414
SSA_2059,4998,8234,5515,3195,7683,5809,5391,7178
mefE,5075,9553,6122,3904,8120,8210,5911,8570
hisF,12008,17107,12432,5556,12217,7678,6879,12233
SSA_1540,3923,6685,3832,2827,4401,3650,3284,4227
SSA_1394,2257,3203,2188,1489,2241,2016,1790,2081
SSA_1124,120553,315462,208785,110028,283003,258373,180345,277151
SSA_1615,45661,97456,60811,29246,64927,40597,35868,52652
ssaB,502719,1228447,822538,441229,1041533,1061177,768832,1027166
SSA_1320,2302,4118,2627,1496,2621,2120,1887,2867
SSA_1630,5517,9446,6388,4390,6476,5722,4564,6725
prfC,75898,128015,89118,48960,86778,76597,58243,92555
lysA,20024,35736,20999,12395,24048,17128,16446,22704
SSA_2187,5630,10227,6788,4552,6380,6223,4764,6942
sdaA,6539,11298,7107,3883,8188,5482,5117,7004
SSA_1450,9893,17864,11226,7455,14744,15955,12329,15468
SSA_2323,5392,10174,6305,4048,9754,8353,5924,8166
SSA_1380,16887,27245,17306,13593,28421,22167,19353,27596
SSA_1597,8007,12979,10280,5180,8260,8865,6008,8439
SSA_2105,1444,2367,1547,812,1354,1131,1041,1720
SSA_2281,5270,8759,5533,3323,5463,4902,4664,4868
SSA_0623,1400,2342,1289,1138,1502,1302,1123,1388
SSA_1704,4390,7259,4793,2878,7017,5128,4557,6389
pyrF,1443,2085,1334,765,1614,957,850,1388
SSA_2130,1054,1683,1110,667,1799,1347,969,1621
SSA_1110,5878,10408,6296,4766,9972,9174,7198,8708
xerS,4791,11699,9134,3709,10728,11539,6660,11501
tehB,9193,16392,10285,5345,11471,7608,6905,10305
SSA_0556,2219,3283,2678,1411,1913,2361,1633,2120
SSA_1254,172,224,137,103,123,126,105,142
SSA_1314,1749,2859,2293,1095,1954,1656,1350,2104
SSA_1154,16731,24678,17391,9775,17818,13902,13224,18023
rplD,38193,45283,36307,19046,54311,39200,36143,52534
SSA_1669,138,216,122,90,218,187,165,206
thiD,14158,22542,15382,8165,21039,16200,14131,20478
SSA_0567,12719,22462,12746,8738,14163,11328,11580,11817
SSA_0683,82150,179470,89518,64752,95517,87146,78328,84346
SSA_0050,8595,19014,12393,5635,10631,7872,5883,12257
dapA,4713,6492,4702,2672,4958,3950,3479,4669
carA,4737,5116,4133,2049,3029,2698,2629,4458
SSA_1370,2841,5163,4031,2167,4683,4894,3590,4977
fhuB,646,1131,871,345,1322,874,740,1007
SSA_0254,476,943,616,362,867,821,590,767
SSA_0903,4151,7269,4483,2692,5089,4104,3536,4594
SSA_2467,184,310,124,144,399,172,271,418
murM,44585,98413,65569,35348,84664,78591,59072,81571
SSA_1579,505,860,782,304,1107,860,647,753
lacA,6253,14709,11813,4419,13433,14023,7983,16753
SSA_0004,11018,23353,14837,9909,12690,14418,9831,12273
SSA_0403,145,255,162,103,277,245,185,204
SSA_0052,98841,275964,170005,88909,232054,218343,155735,221788
SSA_0665,3889,5892,4598,2399,3956,3585,2552,4706
rplB,88185,109153,88250,42536,129211,92406,81853,124217
SSA_1690,12069,29267,18610,11933,24820,31023,17960,24890
galE1,10145,14955,8619,6647,10281,7877,7583,10323
SSA_0203,228,384,224,142,340,327,256,341
punA,44278,73941,45643,26697,63372,51244,44629,64590
SSA_1552,1156,1591,1029,721,732,1032,462,1224
SSA_0767,1229,2403,1376,956,2446,1665,1406,2036
hisA,9064,13953,9664,4667,9592,7350,6297,9831
ahrC,10448,16491,11012,6694,15696,12650,10851,13697
SSA_0841,16248,31343,23220,14678,26450,33116,23154,32553
SSA_1165,12144,18028,12184,6842,13939,8774,7536,13180
SSA_2196,26980,56055,32897,22200,47104,44403,35882,43815
glnR,16029,28138,18076,11777,25371,21762,16676,26451
SSA_1391,4998,7610,6067,3110,4773,5258,3650,5341
srpA,445180,670499,566935,196706,944040,488934,446857,768813
rplM,22753,39036,24606,18283,39439,29832,27268,35286
yajC,7297,8803,4920,3442,6588,3515,3818,6022
murI,14398,22148,13256,8378,15257,11522,10893,15291
SSA_1128,6981,11005,6417,4757,7020,6262,5360,7726
SSA_2448,643,1014,485,352,554,469,444,590
opuAb,57265,92912,62420,30100,97555,64151,59839,78487
sgaT,158251,489644,287531,135052,406893,350720,231401,462814
shetA,94017,157451,100562,66473,138044,147035,97714,141991
SSA_0949,3346,5201,3835,2227,3320,3622,2611,3348
SSA_0685,78,117,87,62,117,138,123,138
