Synonym,Raw.Counts.Untreated_SK36.strain.Replicate.1,Raw.Counts.Untreated_SK36.strain.Replicate.2,Raw.Counts.Untreated_SK36.strain.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.3
SSA_2415,44,32,18,22,35,26,61,56,9,8,5,41
SSA_2416,122,81,45,32,48,53,19,19,37,8,22,14
SSA_2417,334,211,159,115,146,159,98,89,113,59,43,39
SSA_2418,852,482,412,194,192,211,131,133,174,62,41,44
SSA_2419,885,470,335,343,354,396,210,176,276,97,111,82
SSA_2420,267,154,141,152,134,172,103,76,120,58,40,50
SSA_2421,554,346,353,290,310,371,203,150,260,112,100,81
SSA_2422,1186,526,343,290,371,382,243,198,255,137,112,101
SSA_2423,291,144,123,96,100,106,71,66,90,29,32,26
SSA_2424,631,384,304,243,257,331,129,136,228,91,155,76
SSA_2425,758,457,390,278,289,386,183,167,250,104,73,82
SSA_2426,2517,1418,1119,966,1064,1298,541,522,846,353,380,275
SSA_2427,917,472,347,309,370,369,193,170,236,116,122,110
SSA_2428,1760,993,697,607,753,866,468,449,554,250,212,207
SSA_2429,385,179,117,115,161,144,75,59,79,46,54,33
SSA_2430,388,273,209,154,147,211,87,85,149,53,40,39
SSA_2431,727,356,268,200,229,245,98,102,171,69,91,60
SSA_0017,1039,649,661,730,766,841,438,394,563,230,231,245
SSA_0018,517,286,258,371,501,444,231,187,262,131,119,123
SSA_0019,64508,41759,40063,48655,53886,54616,30688,37531,52135,19218,20175,18309
SSA_0020,5726,4174,4212,5622,5480,5912,4497,4978,7305,3376,3618,3245
SSA_0021,2733,2131,2179,3324,3472,4127,3433,3581,5066,2241,2113,1941
SSA_0022,903,610,656,1088,1287,1327,956,1032,1445,580,597,548
SSA_0023,3153,2654,2667,3462,3260,4233,3404,3837,4683,2217,1850,2178
SSA_0025,1922,1758,1774,2535,2230,2941,2385,2710,3251,1483,1258,1595
SSA_0026,2417,2007,2169,2694,2407,3276,2990,3237,3704,1800,1400,1875
SSA_0027,718,556,483,749,797,918,698,785,983,438,468,453
SSA_0028,38,27,27,33,20,34,49,46,38,20,21,23
SSA_0030,268,234,273,224,172,378,360,415,391,226,151,223
SSA_0031,71,94,95,86,64,127,159,138,150,98,58,89
SSA_0032,63,64,50,52,30,84,95,111,104,84,37,73
SSA_0033,27,43,38,39,17,51,58,62,46,38,22,42
SSA_0034,20,27,23,32,37,53,58,55,61,32,19,40
SSA_0035,144,112,133,206,170,254,256,299,306,190,102,172
SSA_0036,18,12,17,8,14,13,5,12,9,4,6,6
SSA_0037,127,95,114,89,84,127,103,112,159,57,51,56
SSA_0039,51,46,47,46,35,43,36,34,62,20,16,16
SSA_0040,156,131,131,100,83,110,98,115,142,50,36,48
SSA_0041,203,173,185,134,125,161,195,184,194,101,71,86
SSA_0042,550,508,535,455,347,520,525,533,625,296,242,285
SSA_0043,248,233,224,244,209,253,211,270,333,153,107,155
SSA_0044,762,600,637,751,947,958,960,893,1173,668,640,630
SSA_0045,187,170,156,238,376,322,371,311,402,254,251,205
SSA_0046,1913,1656,1886,2040,1936,2479,2685,2936,3347,1816,1580,1770
SSA_0047,589,452,466,271,320,332,232,257,296,132,115,141
SSA_0048,335,253,270,175,173,176,134,138,174,86,82,75
SSA_0049,50,52,59,65,108,130,541,613,689,109,57,88
SSA_0050,31,24,30,35,55,81,288,374,478,74,43,63
SSA_0051,24,16,14,24,40,60,192,273,303,46,24,51
SSA_0052,4421,2794,2852,3934,4415,4665,3440,4011,5809,2572,2896,2467
predicted RNA,206,176,159,100,121,181,155,173,226,96,61,62
SSA_0053,237,172,200,145,255,312,488,555,646,157,115,163
SSA_0054,13,16,20,21,37,31,126,160,164,41,22,34
SSA_0055,38,45,46,48,87,105,293,406,580,91,66,78
SSA_0056,50,48,59,53,78,115,253,365,505,112,67,102
SSA_0057,36,20,18,20,33,47,122,181,225,62,37,53
SSA_0060,41,35,35,45,52,83,199,285,380,91,64,78
SSA_0061,48,50,50,41,42,83,161,277,362,101,77,82
SSA_0062,49,47,33,53,54,90,153,271,417,100,87,105
SSA_0063,942,839,842,765,764,922,924,1031,1208,572,464,536
SSA_0064,623,548,525,564,561,654,591,670,779,432,341,346
SSA_0065,298,264,277,260,270,314,271,295,344,160,111,143
SSA_0066,420,345,413,347,335,400,435,466,514,233,170,251
SSA_0067,2718,2108,2258,2134,2179,2584,2143,2440,3060,1473,1268,1314
SSA_0068,2050,1803,2098,7950,12131,16508,46079,52516,75700,10937,7964,10425
SSA_0069,130,111,117,96,109,128,190,239,237,82,55,89
SSA_0070,728,507,504,424,506,551,515,580,580,253,219,259
SSA_0071,21,8,8,12,28,32,116,131,146,13,12,21
SSA_0072,20,10,14,19,52,52,196,224,274,39,23,34
SSA_0073,4,3,6,5,17,9,53,74,96,12,6,11
SSA_0074,35,24,15,40,64,83,244,307,495,72,49,58
SSA_0075,13,11,13,15,18,25,92,120,170,28,23,21
SSA_0076,15,2,8,9,26,24,72,89,151,24,15,24
SSA_0077,15,13,20,24,34,33,100,177,242,45,28,37
SSA_0078,25,23,23,24,29,45,83,121,225,44,25,38
SSA_0079,32,30,30,28,30,36,85,139,182,54,28,39
SSA_0080,5,3,4,4,5,7,9,22,21,8,5,8
SSA_0081,475,294,322,383,492,523,556,650,814,235,215,221
SSA_0083,603,492,522,683,582,813,743,762,877,444,365,438
SSA_0085,4993,4090,4038,4813,4410,6455,5326,5999,7214,3756,2979,3646
SSA_0086,879,905,941,995,816,1364,1189,1275,1479,831,613,812
SSA_0087,1183,1268,1478,1474,1152,1935,1759,2040,2109,1232,820,1203
SSA_0088,1969,1959,2159,2286,2005,3095,2974,3160,3403,2019,1431,2061
SSA_0089,726,765,840,866,648,1156,1078,1079,1293,770,473,710
SSA_0090,1468,1628,1894,2030,1472,2606,2510,2636,3024,1694,1112,1704
SSA_0091,4280,4764,5358,5993,4809,7963,7389,7781,9357,5045,3577,4959
SSA_0092,5023,4905,5651,6319,5143,8283,6946,7618,9738,4781,3591,4726
SSA_0093,2770,2492,2781,3377,2894,4206,3598,3900,4873,2439,1945,2369
SSA_0094,2107,1360,1497,1501,1555,1674,843,1223,1539,703,737,648
SSA_0095,5398,4123,4241,4786,4450,5398,3760,3964,5860,2403,2313,2234
SSA_0097,1037,930,1003,780,663,1039,772,861,949,450,325,481
SSA_0098,501,472,529,410,399,514,385,462,507,239,173,230
SSA_0099,340,239,245,258,336,319,257,230,289,173,152,146
SSA_0100,3634,3340,3520,3856,3445,4455,4044,4731,6123,2822,2421,2681
SSA_0101,693,631,599,740,675,829,759,806,1157,571,549,561
SSA_0102,1132,975,1005,1211,1102,1410,1293,1427,1882,955,818,884
SSA_0103,1226,996,934,999,973,1073,848,850,1215,561,521,497
SSA_0104,3206,2501,2556,2312,2188,2710,1611,1753,2237,1012,933,1004
SSA_0105,2468,1778,1885,1785,1686,1986,1180,1272,1599,753,739,707
SSA_0106,8961,8949,10077,6280,4244,5461,2936,2950,3864,1964,1663,1869
predicted RNA,232,315,414,214,150,204,119,109,145,73,54,73
SSA_0107,15761,17522,19461,11917,8162,10994,6179,6219,7526,4317,3459,4057
SSA_0108,16329,19728,22342,13723,8916,12750,7356,7334,8467,5099,3936,4781
SSA_0109,6434,7937,9239,5639,3675,5516,3014,2933,3409,2065,1632,2054
SSA_0110,21934,27292,31168,20853,12422,19329,10916,10376,12215,7338,5396,7061
predicted RNA,749,1033,1474,800,506,811,462,419,502,263,197,282
SSA_0111,6091,9042,11719,6945,4021,6457,3938,3679,4264,2382,1700,2371
SSA_0112,7236,10294,12346,7723,4869,7581,4246,3978,4805,2691,2105,2588
SSA_0113,14227,19333,22709,15302,9130,14790,8533,8010,9154,5440,3966,5300
SSA_0114,11846,16692,20639,12907,7574,12440,7583,7049,7873,4455,2978,4313
SSA_0115,2926,4197,4966,3258,2004,3110,1936,1761,1760,1156,913,1156
SSA_0116,6709,9654,12229,7846,4628,7540,4410,4223,4765,2639,1955,2558
SSA_0117,8365,11636,12278,9078,5771,8872,5262,4741,5298,3281,2538,3242
predicted RNA,1629,2761,3878,2325,1322,2328,1368,1304,1691,761,489,811
SSA_0118,6460,9696,12140,7631,4632,7616,4920,4233,5048,2745,2062,2703
SSA_0119,12652,17922,20010,13954,9061,13893,8651,7708,9002,5160,3873,4896
SSA_2391,5838,8351,10152,6679,4140,6769,3851,3603,4554,2294,1608,2185
predicted RNA,993,1181,1367,1098,631,975,527,516,679,367,289,316
SSA_0120,11436,15492,17132,12214,8282,12380,7374,6836,8073,4428,3343,4205
SSA_0121,4317,5296,5590,3950,3233,4349,2790,2285,2798,1660,1372,1523
SSA_0122,14225,18737,22031,15787,9688,15399,9292,8718,10502,5342,4027,5238
predicted RNA,945,1518,2099,1191,789,1302,786,706,877,454,269,411
SSA_0123,9950,12228,14608,10519,6769,10147,6221,6039,7232,3722,2523,3362
SSA_0124,17734,19957,21556,16225,11625,16672,10215,9582,10745,6040,4422,5450
SSA_0125,7289,7837,8462,6698,4871,6636,4111,3915,4535,2275,1864,2187
SSA_0126,8796,11143,12607,9467,6896,10123,6490,6124,7319,3838,2791,3555
SSA_0127,29179,32204,35483,26827,20962,28879,19358,18323,21899,10726,8331,10166
predicted RNA,281,253,225,202,164,205,135,148,153,92,94,82
SSA_0128,3671,4311,4909,4103,2697,4107,2439,2084,2562,1477,1069,1339
SSA_0129,10279,10431,11828,7625,6372,7896,5223,4750,6894,3179,2498,2808
SSA_2392,6759,6097,6700,4955,4243,4861,2781,2718,4015,1813,1645,1640
SSA_0130,23259,21214,23048,18195,14065,16957,9756,9703,13008,5941,5330,5984
SSA_0131,17644,16137,16618,13212,10715,12424,7119,6626,9345,4288,4145,4181
SSA_0132,42683,40301,42783,30534,23666,29804,16496,16196,21727,10093,9005,10017
SSA_0133,20163,18435,18863,14191,10379,13209,7041,6903,9016,4079,3687,4033
SSA_2401,1155,3605,6913,1314,496,1507,1151,598,3835,638,329,341
SSA_2432,14,1,1,2,13,5,2,0,4,1,9,0
SSA_2405,1477,6091,11614,2166,691,4068,3513,1967,8540,1461,507,1524
SSA_2409,32,62,52,39,26,45,362,292,29,34,19,263
SSA_2433,39,18,17,18,25,20,55,52,11,9,11,45
SSA_2434,156,78,42,35,56,66,27,23,24,6,29,10
SSA_2435,277,208,169,94,97,135,60,59,97,42,40,26
SSA_2436,702,431,408,178,185,195,116,122,157,57,54,52
SSA_2437,2212,1155,941,714,790,874,387,371,568,246,320,176
SSA_2438,853,490,425,289,334,389,190,179,259,112,98,90
SSA_2439,1700,994,803,639,713,860,432,435,574,307,242,203
SSA_2440,592,366,271,236,262,298,155,158,187,106,82,76
SSA_2441,417,246,165,153,180,230,92,80,111,69,56,43
SSA_2442,773,504,392,424,439,553,223,203,254,133,114,106
SSA_2443,3051,2251,1816,1402,1409,2112,780,729,1273,513,313,390
SSA_2444,1250,575,338,764,1022,945,235,251,459,214,616,177
SSA_0135,305,283,284,160,113,182,105,113,111,78,53,75
SSA_0136,764,745,842,409,335,418,290,325,360,215,189,194
SSA_0137,969,874,915,461,396,454,267,314,408,216,165,217
SSA_0138,2206,2071,2204,1278,978,1297,717,731,911,510,432,527
SSA_0139,65,67,80,136,114,167,91,111,131,95,67,66
SSA_0140,799,698,699,1375,1297,1835,1134,1172,1504,915,818,816
SSA_0141,75,71,84,184,167,218,119,123,204,117,95,93
SSA_0142,594,459,384,411,527,532,400,487,601,323,268,243
predicted RNA,44,31,35,43,40,49,36,37,51,22,18,19
SSA_0143,2473,1650,1479,1762,2094,2328,1676,1835,2579,1087,988,1020
SSA_0144,1681,1225,1195,1613,1822,1850,1500,1785,2463,1109,1228,1112
SSA_0145,588,417,451,720,772,784,831,1056,1481,636,696,615
SSA_0146,29,32,28,28,31,35,26,23,27,7,10,15
SSA_0148,3395,2589,2795,2598,4681,4877,6349,6636,8641,1373,1031,1241
SSA_0149,54,54,44,50,75,85,79,86,110,26,21,22
SSA_0150,184,145,160,179,172,221,208,240,282,146,131,175
SSA_0151,31,29,31,51,47,65,62,53,80,50,39,41
SSA_0152,308,281,362,421,395,531,491,579,731,402,351,412
SSA_0153,129,122,127,155,127,209,203,195,289,177,134,172
SSA_0154,17,12,9,21,31,32,44,74,94,71,47,61
SSA_0155,7,5,1,4,7,5,27,34,31,19,18,21
SSA_0156,48,30,42,62,69,88,185,246,268,196,143,197
SSA_0157,51,18,39,54,55,73,194,229,296,200,170,203
SSA_0158,44,32,43,76,89,89,239,270,384,247,176,244
SSA_0159,101,66,91,149,155,226,500,527,741,529,393,530
SSA_0160,9,9,10,26,23,41,52,60,90,47,36,34
SSA_0161,27,36,37,85,59,102,184,232,284,164,109,155
SSA_0162,15,19,14,36,34,43,83,91,115,66,61,74
SSA_0163,8,8,9,15,9,19,33,44,63,29,24,31
SSA_0164,29,29,34,72,49,97,170,192,238,136,82,154
SSA_0165,18,20,18,27,39,41,76,80,99,59,44,70
SSA_0166,189,154,151,189,176,182,180,199,252,139,98,118
SSA_0167,349,297,331,413,377,481,612,670,960,454,365,423
SSA_0168,52,22,34,66,91,96,146,177,248,131,120,136
SSA_0169,207,140,130,225,239,226,286,273,401,192,211,183
SSA_0170,739,503,529,899,1075,1093,818,976,1548,748,812,712
SSA_0171,142,97,141,152,198,194,192,244,323,150,174,160
SSA_0172,15,8,13,15,6,7,5,13,10,5,4,9
SSA_0173,196,203,244,202,123,212,138,136,167,71,57,69
SSA_0174,6120,5415,6012,5099,4620,6234,4646,4906,6080,2575,2209,2449
SSA_0134,6148,4545,4685,6253,6052,7053,5945,6555,8698,3676,3161,3600
SSA_0175,6042,4462,4629,6180,5946,6949,5863,6463,8586,3605,3094,3543
SSA_0176,24511,25221,28914,26576,18721,29062,20381,22470,26463,12877,9542,12515
SSA_0177,44017,43982,48101,47423,35889,52316,37693,38717,47794,22947,17944,22244
SSA_0178,1306,937,994,712,683,746,712,807,1009,417,438,421
SSA_0179,1086,953,928,671,559,717,702,753,1012,434,464,428
SSA_0180,129,114,97,70,87,92,92,90,133,57,75,59
SSA_0181,1964,1707,1849,1264,1208,1369,1414,1458,1984,905,843,821
SSA_0182,2065,1742,1732,1247,1082,1294,1263,1335,1924,838,845,809
SSA_0183,64,54,52,95,87,89,160,201,224,81,70,81
SSA_0184,5,3,6,0,1,4,0,1,2,3,2,1
SSA_0185,4,3,8,3,5,3,1,0,1,1,2,0
SSA_0186,2,0,2,1,0,1,0,1,3,0,0,0
SSA_0187,2,5,2,2,1,2,0,1,3,0,0,0
SSA_0188,2,1,0,0,1,0,0,0,0,0,0,0
SSA_0189,3,0,0,1,6,1,1,0,1,0,2,0
SSA_0190,0,1,1,0,0,0,1,1,1,0,1,0
SSA_0191,1065,847,866,1318,1209,1399,821,887,1166,485,460,502
SSA_0192,3831,2663,2733,3672,5444,5423,6453,7428,9634,2505,2039,2267
SSA_0193,992,499,448,490,611,585,386,374,494,276,280,242
SSA_0195,262,171,204,367,352,431,300,329,407,203,156,210
SSA_0197,1947,1576,1746,1728,1739,2404,1870,2004,2346,998,755,966
SSA_0198,2038,1792,2113,2063,1981,2846,2516,2748,3171,1342,957,1396
SSA_0199,746,801,894,799,761,1165,1108,1081,1223,595,405,548
SSA_0200,1793,1503,1587,1644,1568,2123,1945,2077,2494,1142,796,967
SSA_0201,10,6,4,4,4,7,2,1,9,2,1,3
SSA_0202,15,7,3,12,9,9,11,8,6,5,3,3
SSA_0203,22,13,7,6,10,14,9,16,13,5,5,6
SSA_0204,248,187,185,273,243,294,223,270,345,173,125,156
SSA_0205,358,255,278,352,342,393,361,373,497,245,228,215
SSA_2393,60,42,52,30,34,39,24,20,35,12,10,14
SSA_0206,44,20,21,16,24,28,19,14,19,6,10,8
SSA_0207,187,121,108,102,144,137,72,86,115,50,53,53
SSA_0208,6337,5054,5561,6240,5407,6539,4588,5242,7637,3447,3491,3390
SSA_0209,3839,2990,3283,3935,3721,4544,3920,4767,6240,3064,2921,3033
SSA_0210,807,636,684,676,697,833,764,765,961,429,327,379
SSA_0211,965,761,781,970,926,1043,844,884,1208,527,460,494
SSA_0212,2335,1731,1779,2067,2026,2325,2013,2119,2630,1187,1010,1118
SSA_0213,142,93,126,185,188,223,161,180,301,120,126,108
SSA_0214,7,9,15,9,2,6,5,4,3,1,3,2
SSA_0215,851,665,779,1212,1063,1520,1291,1347,1864,814,703,836
SSA_0216,1571,1320,1388,2107,1890,2618,2095,2282,3310,1391,1319,1394
SSA_0217,1098,935,976,1502,1321,1786,1392,1610,2244,960,866,980
SSA_0218,2646,2130,2292,3345,3252,4129,3395,3855,5315,2242,2024,2307
SSA_0219,40,47,53,76,513,548,4430,6537,9120,979,449,759
SSA_0220,47,63,58,108,618,829,5837,9129,13712,1459,723,1215
predicted RNA,3,5,4,7,34,49,322,506,739,87,39,69
SSA_0221,80,137,136,176,1168,1470,9890,16905,25634,3374,1804,2696
SSA_0222,121,143,166,224,1368,1717,11829,20593,32090,4585,2448,3819
predicted RNA,12,18,11,29,78,136,821,1411,2481,378,231,282
SSA_0224,40,54,65,99,572,676,4249,7834,13048,1913,1200,1608
SSA_0225,1063,1116,1349,3418,3156,4255,3470,3420,4422,2856,2083,2273
predicted RNA,88,112,141,380,309,424,364,350,488,261,190,237
SSA_0226,11108,9462,9895,32472,28970,37291,26806,28997,36690,20335,17241,19286
SSA_0227,4271,3193,3154,8653,7436,8992,5308,5490,7898,4353,4339,4142
predicted RNA,646,293,215,501,654,491,374,418,528,202,242,189
SSA_0228,1,2,3,0,1,1,0,0,2,0,0,0
SSA_0229,1,0,0,1,1,0,0,0,0,0,1,0
SSA_0230,2781,1587,1450,2103,3218,2570,2288,2345,3170,1252,1457,1259
SSA_0231,10213,7823,8022,7106,7767,8235,6179,7100,9977,4212,4092,4029
SSA_0232,1146,894,863,801,1000,903,728,728,1093,440,521,474
SSA_0233,6006,4763,4541,3856,4250,4417,3493,3809,5223,2433,2469,2374
SSA_2472,43,36,23,10,16,13,8,10,15,8,3,4
SSA_0234,4379,2288,2289,3110,4568,3873,2829,3023,4307,1958,2277,1741
SSA_0235,7,2,7,6,7,5,5,2,9,7,1,1
SSA_2471,2859,855,519,1010,1472,1058,594,702,957,325,420,285
SSA_0236,646,571,597,772,670,936,632,708,1023,444,363,406
SSA_0238,104,99,109,70,55,95,92,122,89,50,29,55
SSA_0239,69,89,121,59,58,76,102,99,71,47,27,51
SSA_0240,78,96,135,75,65,105,163,148,114,62,38,83
SSA_0241,411,436,536,352,323,433,533,535,460,271,134,268
SSA_0242,609,528,593,439,404,530,541,600,557,288,230,304
SSA_0243,2996,2748,3138,5898,5913,7484,7760,8595,11981,3519,2666,3242
predicted RNA,310,155,102,219,532,480,978,1241,1500,347,247,234
SSA_0244,12,18,18,12,23,24,19,15,21,8,10,15
SSA_0245,13,8,24,9,17,19,31,25,14,5,4,17
SSA_0246,128,149,196,141,94,142,393,298,188,109,53,137
SSA_0247,1250,1338,1621,1294,1103,1600,2701,2515,1970,1269,758,1364
SSA_0248,501,464,608,467,464,553,805,786,749,400,292,483
SSA_0249,630,566,604,617,584,719,931,884,853,422,385,504
SSA_0250,3590,3396,3738,3747,3248,4588,4143,4508,5332,2593,1977,2579
SSA_0251,1021,774,847,1057,880,1142,930,995,1292,572,496,605
SSA_0252,277,208,229,291,332,346,276,294,414,180,161,184
SSA_0253,31,25,21,39,55,57,40,44,60,30,33,25
SSA_0254,81,68,65,99,88,98,44,53,97,33,29,29
SSA_0255,78,37,66,60,71,70,36,45,71,18,25,20
SSA_0256,876,554,573,872,842,1010,776,772,1104,507,515,450
SSA_0257,6137,5683,6546,9075,7417,10066,8327,9217,12017,5763,5149,5658
SSA_0258,561,432,508,703,612,800,637,632,829,434,350,420
SSA_0259,926,772,796,1329,1356,1420,1834,2542,3176,1576,1561,1525
predicted RNA,42,51,43,74,84,99,68,87,115,49,52,43
SSA_0260,22441,19197,19521,32343,32667,37362,27691,30039,43961,17310,17118,16210
SSA_0261,21304,16765,18094,25333,26002,30310,21574,23032,33731,13273,13063,12696
SSA_0262,19464,16001,17275,22171,22238,27427,20460,22148,29701,11904,10466,11220
SSA_0263,2835,2504,2689,3372,3002,3760,3069,3329,4414,1914,1661,1944
SSA_0264,363,258,245,334,1032,1066,2777,3027,3851,627,458,550
SSA_0265,100,108,103,101,118,173,301,292,407,104,98,85
SSA_0266,304,209,216,280,361,410,445,475,686,201,185,188
SSA_0267,307,220,248,308,372,421,573,739,934,253,199,193
SSA_0268,35,35,27,34,57,86,247,294,315,51,34,43
SSA_0269,20,33,24,32,54,86,253,278,319,49,39,44
SSA_0270,131,109,168,198,316,416,1229,1496,1628,319,229,321
SSA_0271,204,176,203,318,386,662,1802,2593,2933,690,385,610
SSA_0272,119,119,128,190,241,358,813,1360,1596,452,261,395
SSA_0273,214,228,264,375,419,695,1551,2570,3026,881,492,825
SSA_0274,121,90,99,133,137,173,117,155,160,94,87,80
SSA_0276,2159,1421,1457,1349,1313,1398,907,1119,1366,603,576,538
SSA_0277,61,43,30,51,51,71,37,39,63,26,29,22
SSA_0278,485,421,442,469,431,528,430,475,565,273,235,272
SSA_0279,686,590,633,647,634,783,590,626,877,379,359,410
SSA_0281,337,246,248,286,325,348,243,302,359,183,175,174
SSA_0282,14,13,8,31,8,29,20,17,18,22,9,16
SSA_0283,8,7,18,18,26,37,18,20,32,13,14,16
SSA_0284,79,48,74,130,106,180,106,108,143,100,66,86
SSA_0285,238,213,250,509,365,569,346,400,484,263,253,247
SSA_0286,57,67,61,125,92,140,88,110,124,68,59,61
SSA_0287,139,107,129,272,257,356,244,243,298,174,137,153
SSA_0288,473,258,249,426,398,417,133,141,205,148,181,146
SSA_0289,11966,9763,10562,10912,9623,12780,8616,9137,12045,5239,4395,5072
SSA_0290,459,341,329,361,443,430,259,309,452,195,233,184
SSA_0291,37,41,46,49,40,52,29,33,39,18,15,19
SSA_0292,54,54,58,63,60,74,42,51,77,33,19,26
SSA_0293,258,202,218,330,348,375,244,286,408,152,180,171
SSA_0294,85,74,77,121,143,133,88,87,133,72,54,55
SSA_0295,767,580,566,858,849,945,570,580,954,378,459,373
SSA_0296,203,118,127,165,211,231,119,142,201,97,106,91
SSA_0297,216,155,181,263,211,289,208,231,337,168,163,142
SSA_0298,54,45,67,90,100,103,59,81,126,52,54,43
SSA_0299,7097,5344,5041,3504,4449,3569,3401,3774,4147,1474,1281,1243
SSA_0300,1142,910,899,872,1732,1543,2750,2946,3344,732,572,710
SSA_0301,1653,1128,1187,1344,2535,2230,3490,3638,4765,1121,1045,1051
SSA_0302,26053,20272,20930,26887,26031,29809,21815,23810,32766,14446,13571,13845
SSA_0303,32901,29926,32772,48671,39442,52985,36199,38144,53070,24340,21469,24105
SSA_0304,2750,1715,1760,3313,3831,3916,1929,2545,3514,1601,1668,1545
SSA_0305,1144,803,760,750,744,786,644,713,946,442,392,393
SSA_0306,3098,2755,2961,2978,2717,3185,2305,2522,3388,1688,1538,1424
SSA_0307,14254,11174,11027,14091,13333,15295,10371,11739,15920,7734,7922,7072
SSA_0308,154,121,131,160,167,168,102,135,214,89,87,80
SSA_0309,158,149,129,191,194,227,151,144,223,100,99,103
SSA_0310,298,230,278,358,332,396,308,324,449,211,186,171
SSA_0311,431,338,381,458,465,550,421,471,603,290,277,270
SSA_0312,18809,14692,15445,17381,15985,19559,14065,16004,22338,8981,8459,8557
SSA_0313,958,739,796,862,904,953,662,763,1145,421,447,416
SSA_0314,499,427,435,872,775,1035,721,749,975,414,364,394
SSA_0315,739,579,540,706,690,895,658,753,959,463,331,384
SSA_0316,1238,1017,1123,1245,1106,1569,1156,1370,1630,787,553,685
SSA_0317,800,657,636,848,732,933,768,864,1067,480,434,501
SSA_0318,1855,1639,1716,1698,1556,2235,1998,2101,2536,1250,900,1253
SSA_0319,1648,1398,1452,1512,1283,1701,1461,1613,1890,954,764,912
SSA_0320,1000,788,750,762,762,928,822,858,1053,558,447,515
SSA_0321,64,51,60,64,60,75,95,85,114,62,42,55
SSA_0322,188,177,165,204,206,249,209,199,274,126,137,144
SSA_0323,593,492,537,463,423,560,359,397,550,204,203,195
SSA_0324,2378,2010,1901,2067,1989,2448,2033,1995,2461,1086,908,1002
SSA_0325,2397,1780,1851,1567,1476,1835,1242,1450,1821,727,672,715
SSA_0326,2178,1452,1525,1672,1874,2032,1438,1450,2247,945,837,872
SSA_0327,677,447,479,584,576,656,386,399,582,218,211,195
SSA_0328,2758,2166,2602,3351,2914,3647,2566,2716,4046,1694,1640,1576
SSA_0329,23435,16650,16596,13383,12547,13956,8002,8715,11556,4502,4147,4105
SSA_0330,520,498,463,458,429,532,299,312,424,168,161,179
SSA_0331,1319,1045,1018,1293,1186,1468,974,1113,1280,710,596,642
SSA_0332,1982,1585,1569,2035,1757,2292,1502,1656,2122,1086,948,1051
SSA_0333,1350,1142,1160,1390,1232,1745,1247,1290,1801,935,758,845
SSA_0334,1809,1692,1781,2023,1703,2478,1773,2024,2712,1236,1038,1240
