,WT_A,WT_B,WT_C,DcsrR_A,DcsrR_B,DcsrR_C
AS_GENE_+_M5005_Spy0494_AS,1,4,1,0,0,1
AS_GENE_+_M5005_Spy0495_AS,36,78,43,10,35,47
AS_GENE_+_M5005_Spy0497_AS,2,4,0,0,2,1
AS_GENE_+_M5005_Spy0498_AS,2,1,1,0,1,1
AS_GENE_+_M5005_Spy0499_AS,1,2,1,0,0,0
AS_GENE_+_M5005_Spy0500_AS,0,10,7,1,0,1
AS_GENE_+_M5005_Spy0503_AS,2,1,3,0,1,1
AS_GENE_+_M5005_Spy0504_AS,4,15,9,3,5,3
AS_GENE_+_M5005_Spy0507_AS,4,4,2,3,3,4
AS_GENE_+_M5005_Spy0510_AS,2,3,1,0,4,6
AS_GENE_+_M5005_Spy0511_AS,1,0,2,0,0,0
AS_GENE_+_M5005_Spy0512_AS,0,0,0,1,0,1
AS_GENE_+_M5005_Spy0513_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0514_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0517_AS,0,3,1,0,0,1
AS_GENE_+_M5005_Spy0518_AS,16,8,7,2,4,8
AS_GENE_+_M5005_Spy0519_AS,1,3,5,1,2,0
AS_GENE_+_M5005_Spy0520_AS,2,1,2,5,1,1
AS_GENE_+_M5005_Spy0521_AS,1,0,1,0,0,1
AS_GENE_+_M5005_Spy0522_AS,5,3,0,1,3,2
AS_GENE_+_M5005_Spy0533_AS,10,13,12,3,12,12
AS_GENE_+_M5005_Spy0546_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0547_AS,1,1,0,1,1,0
AS_GENE_+_M5005_Spy0555_AS,35,37,39,15,35,22
AS_GENE_+_M5005_Spy0557_AS,2,1,2,1,1,0
AS_GENE_+_M5005_Spy0558_AS,0,0,0,0,1,0
AS_GENE_+_M5005_Spy0559_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0560_AS,0,2,2,0,1,0
AS_GENE_+_M5005_Spy0593_AS,1,4,3,0,1,0
AS_GENE_+_M5005_Spy0598_AS,0,0,0,1,0,1
AS_GENE_+_M5005_Spy0616_AS,23,32,28,19,27,34
AS_GENE_+_M5005_Spy0622_AS,2,3,7,2,3,2
AS_GENE_+_M5005_Spy0628_AS,5,12,3,3,3,5
AS_GENE_+_M5005_Spy0629_AS,2,1,1,0,2,5
AS_GENE_+_M5005_Spy0653_AS,0,3,1,0,0,1
AS_GENE_+_M5005_Spy0665_AS,0,1,2,0,0,1
AS_GENE_+_M5005_Spy0666_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0667_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0668_AS,0,1,2,0,1,1
AS_GENE_+_M5005_Spy0678_AS,60,95,64,28,30,22
AS_GENE_+_M5005_Spy0686_AS,3,6,0,2,2,1
AS_GENE_+_M5005_Spy0687_AS,1,0,0,0,1,0
AS_GENE_+_M5005_Spy0694_AS,710,1193,783,267,462,435
AS_GENE_+_M5005_Spy0701_AS,30,47,29,13,27,26
AS_GENE_+_M5005_Spy0710_AS,4,9,9,5,7,4
AS_GENE_+_M5005_Spy0716_AS,1,0,2,0,0,1
AS_GENE_+_M5005_Spy0721_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0740_AS,15,19,7,2,3,11
AS_GENE_+_M5005_Spy0741_AS,0,3,0,0,0,0
AS_GENE_+_M5005_Spy0754_AS,86,142,46,56,72,91
AS_GENE_+_M5005_Spy0756_AS,111,101,76,51,80,46
AS_GENE_+_M5005_Spy0757_AS,45,48,26,6,16,23
AS_GENE_+_M5005_Spy0759_AS,15,18,8,3,8,3
AS_GENE_+_M5005_Spy0760_AS,17,36,11,5,13,6
AS_GENE_+_M5005_Spy0773_AS,63,101,44,40,49,66
AS_GENE_+_M5005_Spy0794_AS,4,7,1,0,1,1
AS_GENE_+_M5005_Spy0812_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0818_AS,0,4,3,1,1,0
AS_GENE_+_M5005_Spy0830_AS,3,4,1,0,0,1
AS_GENE_+_M5005_Spy0831_AS,2,12,4,3,1,3
AS_GENE_+_M5005_Spy0834_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0841_AS,1,0,0,0,0,2
AS_GENE_+_M5005_Spy0842_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy0843_AS,0,0,0,0,0,2
AS_GENE_+_M5005_Spy0844_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy0845_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0846_AS,1,1,5,1,1,1
AS_GENE_+_M5005_Spy0854_AS,35,61,36,32,40,46
AS_GENE_+_M5005_Spy0860_AS,13,9,3,1,4,5
AS_GENE_+_M5005_Spy0861_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy0873_AS,9,21,6,4,21,15
AS_GENE_+_M5005_Spy0879_AS,29,29,8,14,13,6
AS_GENE_+_M5005_Spy0880_AS,16,9,5,1,4,3
AS_GENE_+_M5005_Spy0881_AS,5,4,4,2,4,1
AS_GENE_+_M5005_Spy0886_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0887_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0888_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0898_AS,0,0,2,0,1,0
AS_GENE_+_M5005_Spy0899_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0900_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0910_AS,0,1,0,0,2,0
AS_GENE_+_M5005_Spy0911_AS,2,1,0,0,1,1
AS_GENE_+_M5005_Spy0913_AS,0,0,0,1,2,0
AS_GENE_+_M5005_Spy0915_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0916_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0917_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0918_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0920_AS,10,14,5,2,4,2
AS_GENE_+_M5005_Spy0921_AS,2,4,1,1,0,6
AS_GENE_+_M5005_Spy0922_AS,1,1,0,0,2,0
AS_GENE_+_M5005_Spy0923_AS,0,2,3,1,0,0
AS_GENE_+_M5005_Spy0925_AS,2,2,0,0,1,1
AS_GENE_+_M5005_Spy0926_AS,3,6,5,8,5,3
AS_GENE_+_M5005_Spy0927_AS,1,5,2,4,0,3
AS_GENE_+_M5005_Spy0928_AS,1,1,1,3,0,0
AS_GENE_+_M5005_Spy0929_AS,0,0,1,0,0,1
AS_GENE_+_M5005_Spy0930_AS,1,1,0,0,0,0
AS_GENE_+_M5005_Spy0931_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0932_AS,1,1,1,0,0,0
AS_GENE_+_M5005_Spy0933_AS,1,2,2,1,0,1
AS_GENE_+_M5005_Spy0934_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy0939_AS,2,3,2,1,1,2
AS_GENE_+_M5005_Spy0940_AS,1,2,2,0,2,4
AS_GENE_+_M5005_Spy0941_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0942_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0943_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0944_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0947_AS,1,2,0,3,4,0
AS_GENE_+_M5005_Spy0948_AS,1,3,1,0,0,1
AS_GENE_+_M5005_Spy0949_AS,2,3,1,0,1,1
AS_GENE_+_M5005_Spy0950_AS,1,6,0,0,0,1
AS_GENE_+_M5005_Spy0951_AS,3,3,5,1,1,0
AS_GENE_+_M5005_Spy0952_AS,1,1,1,0,0,2
AS_GENE_+_M5005_Spy0953_AS,2,2,0,0,1,1
AS_GENE_+_M5005_Spy0954_AS,1,0,1,0,0,0
AS_GENE_+_M5005_Spy0955_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy0956_AS,0,2,0,0,1,0
AS_GENE_+_M5005_Spy0957_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy0958_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0959_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0960_AS,0,0,2,0,0,0
AS_GENE_+_M5005_Spy0961_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0962_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy0963_AS,0,0,0,1,0,0
AS_GENE_+_M5005_Spy0964_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0965_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy0966_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0967_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0969_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy0970_AS,0,3,2,1,2,0
AS_GENE_+_M5005_Spy0971_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0972_AS,0,0,0,0,1,0
AS_GENE_+_M5005_Spy0973_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy0974_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0975_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0976_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0977_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0979_AS,11,21,9,5,2,5
AS_GENE_+_M5005_Spy0981_AS,8,9,2,1,2,3
AS_GENE_+_M5005_Spy0982_AS,1,3,4,1,0,1
AS_GENE_+_M5005_Spy0983_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0984_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy0985_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0986_AS,4,2,0,1,0,2
AS_GENE_+_M5005_Spy0987_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0988_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0989_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0990_AS,0,1,0,1,0,0
AS_GENE_+_M5005_Spy0994_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0995_AS,0,0,2,0,0,0
AS_GENE_+_M5005_Spy0997_AS,1,4,0,1,0,0
AS_GENE_+_M5005_Spy0998_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0999_AS,1,3,0,1,1,0
AS_GENE_+_M5005_Spy1000_AS,0,2,2,0,1,0
AS_GENE_+_M5005_Spy1001_AS,2,2,1,0,0,0
AS_GENE_+_M5005_Spy1002_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1003_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1004_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1005_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1006_AS,0,2,0,0,0,0
AS_GENE_+_M5005_Spy1007_AS,0,1,2,0,0,0
AS_GENE_+_M5005_Spy1008_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1009_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1010_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1011_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1012_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1013_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1014_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1015_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1016_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1017_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1018_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1019_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1020_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1021_AS,0,0,0,1,0,0
AS_GENE_+_M5005_Spy1022_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1023_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1024_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1025_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1026_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy1027_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1028_AS,0,2,0,1,0,1
AS_GENE_+_M5005_Spy1029_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1030_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1031_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1032_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1033_AS,0,0,0,0,1,0
AS_GENE_+_M5005_Spy1034_AS,1,0,0,1,0,1
AS_GENE_+_M5005_Spy1035_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1036_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1037_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1038_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1039_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1040_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1041_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1042_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1043_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1045_AS,2,0,0,1,1,1
AS_GENE_+_M5005_Spy1047_AS,6,9,5,0,2,4
AS_GENE_+_M5005_Spy1049_AS,0,0,0,1,0,0
AS_GENE_+_M5005_Spy1055_AS,3,2,4,0,0,1
AS_GENE_+_M5005_Spy1056_AS,4,2,2,0,2,2
AS_GENE_+_M5005_Spy1057_AS,0,1,0,0,0,1
AS_GENE_+_M5005_Spy1062_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1063_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy1064_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1065_AS,3,4,0,2,1,0
AS_GENE_+_M5005_Spy1066_AS,1,2,2,0,1,1
AS_GENE_+_M5005_Spy1067_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy1069_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy1070_AS,0,0,2,0,0,0
AS_GENE_+_M5005_Spy1071_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1072_AS,2,0,1,0,1,0
AS_GENE_+_M5005_Spy1073_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1074_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1075_AS,1,2,0,1,0,0
AS_GENE_+_M5005_Spy1078_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy1079_AS,2,1,2,0,5,1
AS_GENE_+_M5005_Spy1080_AS,0,1,0,1,0,1
AS_GENE_+_M5005_Spy1081_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1082_AS,0,2,0,0,0,0
AS_GENE_+_M5005_Spy1083_AS,0,1,3,0,0,2
AS_GENE_+_M5005_Spy1084_AS,2,1,0,1,1,1
AS_GENE_+_M5005_Spy1085_AS,0,0,0,0,1,0
AS_GENE_+_M5005_Spy1087_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1088_AS,1,1,4,2,0,0
AS_GENE_+_M5005_Spy1089_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy1092_AS,1,1,1,1,1,2
AS_GENE_+_M5005_Spy1094_AS,2,3,0,3,1,1
AS_GENE_+_M5005_Spy1096_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy1097_AS,0,0,1,0,1,0
AS_GENE_+_M5005_Spy1098_AS,0,1,0,1,1,0
AS_GENE_+_M5005_Spy1099_AS,3,1,0,0,0,0
AS_GENE_+_M5005_Spy1100_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy1101_AS,0,0,0,0,1,0
AS_GENE_+_M5005_Spy1102_AS,0,0,1,0,0,1
AS_GENE_+_M5005_Spy1103_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1104_AS,2,2,2,1,2,1
AS_GENE_+_M5005_Spy1105_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1106_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1107_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1108_AS,5,9,4,2,0,2
AS_GENE_+_M5005_Spy1109_AS,4,16,6,2,8,1
AS_GENE_+_M5005_Spy1111_AS,73,105,52,47,77,72
AS_GENE_+_M5005_Spy1112_AS,27,39,17,17,14,21
AS_GENE_+_M5005_Spy1113_AS,5,6,6,3,4,4
AS_GENE_+_M5005_Spy1115_AS,1,0,2,4,2,2
AS_GENE_+_M5005_Spy1116_AS,3,4,0,5,6,7
AS_GENE_+_M5005_Spy1118_AS,2,5,4,2,5,2
AS_GENE_+_M5005_Spy1119_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1120_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1121_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1129_AS,2,5,7,2,2,4
AS_GENE_+_M5005_Spy1130_AS,1,3,5,1,1,2
AS_GENE_+_M5005_Spy1131_AS,0,2,1,0,0,0
AS_GENE_+_M5005_Spy1132_AS,0,2,0,0,0,0
AS_GENE_+_M5005_Spy1133_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy1134_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1135_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1136_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1137_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy1138_AS,1,0,1,0,0,0
AS_GENE_+_M5005_Spy1139_AS,0,1,0,1,0,0
AS_GENE_+_M5005_Spy1142_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1143_AS,2,11,5,2,9,5
AS_GENE_+_M5005_Spy1144_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1145_AS,0,1,0,0,1,0
AS_GENE_+_M5005_Spy1146_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1147_AS,1,4,0,0,1,0
AS_GENE_+_M5005_Spy1148_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1149_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1152_AS,0,2,0,0,0,0
AS_GENE_+_M5005_Spy1153_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1154_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1155_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy1156_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1157_AS,0,0,0,0,1,0
AS_GENE_+_M5005_Spy1158_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1159_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1160_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1161_AS,1,2,0,0,1,1
AS_GENE_+_M5005_Spy1162_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1163_AS,2,2,0,0,2,1
AS_GENE_+_M5005_Spy1164_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1166_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1167_AS,1,5,6,1,3,3
AS_GENE_+_M5005_Spy1168_AS,0,0,2,3,1,2
AS_GENE_+_M5005_Spy1171_AS,1,0,0,4,1,0
AS_GENE_+_M5005_Spy1172_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1173_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1174_AS,1,1,0,0,0,0
AS_GENE_+_M5005_Spy1175_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1176_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1177_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy1178_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1179_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1180_AS,0,2,1,0,1,0
AS_GENE_+_M5005_Spy1181_AS,0,2,0,0,0,0
AS_GENE_+_M5005_Spy1182_AS,1,0,0,0,0,0
AS_GENE_+_M5005_Spy1183_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1184_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1185_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy1186_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy1187_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1188_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1189_AS,0,2,0,1,0,0
AS_GENE_+_M5005_Spy1190_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1191_AS,0,0,0,1,0,0
AS_GENE_+_M5005_Spy1192_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1193_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1194_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy1195_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy1196_AS,0,0,0,0,0,0
