IDs,CvD1,CvD2,CvD3,WR1,WR2,WR3
ABJ53671.1,1,0,1,3,4,2
ABJ53672.1,9,14,13,12,5,6
ABJ53673.1,31,37,33,51,40,34
ABJ53674.1,8,14,16,25,26,22
ABJ53675.1,1,1,1,1,2,1
ABJ53676.1,1,3,2,3,1,3
ABJ53677.1,0,2,0,0,2,0
ABJ53678.1,3,8,7,6,9,3
ABJ53679.1,3,9,6,5,12,5
ABJ53680.1,3,9,5,5,6,2
ABJ53681.1,2,8,12,9,3,5
ABJ53682.1,0,0,2,0,2,0
ABJ53683.1,0,6,3,1,4,3
ABJ53684.1,0,1,3,2,2,2
ABJ53685.1,7,7,11,17,20,14
ABJ53686.1,0,1,0,1,0,0
ABJ53687.1,6,12,3,13,11,7
ABJ53688.1,3,5,5,2,0,0
ABJ53689.1,3,5,2,4,1,0
ABJ53690.1,2,5,0,3,1,1
ABJ53691.1,18,28,12,31,25,17
ABJ53692.1,45,49,46,23,39,29
ABJ53693.1,1,0,0,1,0,0
ABJ53694.1,7,8,8,1,0,3
ABJ53695.1,20,17,23,29,21,12
ABJ53696.1,1,1,0,0,1,0
ABJ53697.1,2,5,5,7,6,11
ABJ53698.1,2,9,12,13,9,12
ABJ53699.1,3,7,4,4,1,3
ABJ53700.1,1,2,4,1,2,2
ABJ53701.1,41,44,39,39,43,37
ABJ53702.1,1,7,9,9,3,4
ABJ53703.1,1,4,1,2,1,2
ABJ53704.1,5,4,3,5,8,5
ABJ53705.1,2,2,3,1,3,0
ABJ53706.1,7,12,5,12,10,6
ABJ53707.1,8,7,2,7,5,2
ABJ53708.1,4,4,5,5,6,3
ABJ53709.1,5,6,7,6,11,9
ABJ53710.1,4,0,2,2,0,2
ABJ53711.1,4,4,5,1,0,1
ABJ53712.1,28,35,32,34,34,29
ABJ53713.1,6,7,12,8,6,3
ABJ53714.1,4,2,3,5,2,1
ABJ53715.1,17,16,19,18,15,21
ABJ53716.1,35,31,30,15,22,21
ABJ53717.1,0,0,2,2,6,2
ABJ53719.1,65,85,77,41,63,47
ABJ53720.1,15,13,8,28,21,16
ABJ53721.1,4,4,1,2,8,5
ABJ53722.1,2,3,1,4,7,4
ABJ53723.1,15,46,33,46,22,22
ABJ53724.1,211,226,193,291,275,245
ABJ53725.1,2,3,6,3,3,1
ABJ53726.1,35,45,35,13,21,18
ABJ53727.1,15,18,22,15,21,15
ABJ53728.1,2,3,3,3,6,3
ABJ53729.1,92,118,135,155,186,150
ABJ53730.1,5,6,14,17,14,11
ABJ53731.1,201,188,186,253,243,233
ABJ53732.1,6,7,7,13,10,9
ABJ53733.1,5,5,5,3,11,4
ABJ53734.1,12,13,13,19,23,13
ABJ53735.1,2,1,0,1,1,1
ABJ53736.1,4,11,9,5,13,7
ABJ53737.1,3,11,6,5,5,5
ABJ53738.1,5,1,4,1,3,3
ABJ53739.1,3,1,1,0,1,1
ABJ53740.1,9,12,7,9,5,8
ABJ53741.1,4,3,5,0,4,1
ABJ53742.1,3,4,3,3,3,4
ABJ53743.1,5,7,5,7,9,8
ABJ53744.1,2,7,6,1,2,4
ABJ53745.1,0,0,2,1,3,0
ABJ53746.1,3,4,1,4,3,1
ABJ53747.1,5,4,7,6,3,7
ABJ53748.1,19,11,17,24,18,11
ABJ53749.1,6,10,10,9,9,9
ABJ53750.1,13,32,25,26,18,22
ABJ53751.1,6,6,7,4,9,4
ABJ53752.1,5,12,10,7,5,7
ABJ53753.1,2,6,6,0,2,2
ABJ53754.1,1,1,3,2,1,1
ABJ53755.1,5,7,6,6,6,2
ABJ53756.1,4,4,9,3,3,3
ABJ53757.1,5,5,1,8,2,1
ABJ53758.1,4,4,1,4,5,0
ABJ53759.1,3,2,4,7,7,2
ABJ53760.1,0,0,1,1,0,0
ABJ53761.1,27,29,36,33,42,21
ABJ53762.1,3,10,4,6,3,7
ABJ53763.1,23,20,26,12,25,13
ABJ53764.1,33,56,60,40,49,31
ABJ53765.1,27,32,40,47,37,51
ABJ53766.1,53,48,35,56,50,37
ABJ53767.1,6,9,6,4,7,4
ABJ53768.1,7,13,19,11,15,8
ABJ53769.1,0,0,1,1,4,2
ABJ53770.1,103,124,136,123,146,133
ABJ53771.1,2,0,0,1,1,3
ABJ53772.1,1,2,0,0,0,0
ABJ53773.1,3,6,2,0,4,4
ABJ53774.1,203,242,202,273,308,226
ABJ53775.1,7,8,5,7,10,3
ABJ53776.1,5,8,6,8,3,5
ABJ53777.1,2,2,5,8,6,2
ABJ53778.1,1,1,0,1,0,0
ABJ53779.1,0,2,2,0,1,1
ABJ53780.1,3,5,6,5,3,6
ABJ53781.1,3,2,4,3,1,1
ABJ53782.1,2,2,3,1,3,0
ABJ53783.1,3,6,2,3,6,0
ABJ53784.1,7,13,12,8,12,12
ABJ53785.1,1,2,2,0,1,4
ABJ53786.1,12,39,33,16,13,16
ABJ53787.1,4,5,3,5,1,5
ABJ53788.1,10,2,7,7,3,5
ABJ53789.1,1,3,2,5,2,3
ABJ53790.1,0,1,0,0,0,0
ABJ53791.1,0,8,5,8,4,4
ABJ53792.1,1,5,2,6,3,5
ABJ53793.1,5,6,10,18,10,12
ABJ53794.1,5,4,5,1,4,5
ABJ53795.1,3,6,0,6,3,5
ABJ53796.1,15,18,16,10,11,21
ABJ53797.1,2,0,0,0,1,1
ABJ53798.1,0,1,2,1,1,2
ABJ53799.1,0,0,1,0,0,0
ABJ53800.1,109,119,106,201,194,166
ABJ53801.1,4,1,7,11,16,9
ABJ53802.1,6,2,7,16,19,6
ABJ53803.1,1,3,4,1,3,3
ABJ53804.1,0,0,0,0,0,0
ABJ53805.1,4,1,0,2,4,4
ABJ53806.1,1,5,4,4,7,5
ABJ53807.1,17,29,30,22,29,33
ABJ53808.1,1,1,3,0,0,2
ABJ53809.1,4,4,10,4,4,6
ABJ53810.1,7,11,19,21,13,18
ABJ53811.1,1,0,5,8,7,8
ABJ53812.1,0,0,0,0,2,0
ABJ53813.1,4,2,1,2,5,2
ABJ53814.1,4,4,3,5,2,3
ABJ53815.1,22,35,35,26,28,27
ABJ53816.1,0,1,2,2,0,1
ABJ53817.1,5,5,3,7,7,5
ABJ53818.1,115,322,197,143,147,130
ABJ53819.1,38,64,49,66,68,60
ABJ53820.1,2,8,7,2,3,3
ABJ53821.1,26,23,29,46,50,36
ABJ53822.1,2,2,13,1,2,2
ABJ53823.1,1,1,1,1,0,1
ABJ53824.1,0,0,0,0,0,0
ABJ53825.1,9,16,24,20,30,16
ABJ53826.1,2,3,2,6,1,4
ABJ53827.1,7,5,12,5,9,4
ABJ53828.1,47,56,47,45,46,40
ABJ53829.1,2,2,5,1,1,1
ABJ53830.1,3,1,0,1,2,0
ABJ53831.1,0,2,2,0,0,3
ABJ53832.1,14,10,9,9,10,8
ABJ53833.1,49,70,82,83,84,83
ABJ53834.1,2,3,0,1,0,1
ABJ53835.1,1,8,7,1,2,2
ABJ53836.1,1,3,3,7,4,3
ABJ53837.1,2,1,1,4,4,0
ABJ53838.1,3,1,0,2,3,3
ABJ53839.1,1,6,5,2,2,2
ABJ53840.1,7,10,11,15,16,10
ABJ53841.1,6,4,1,6,2,2
ABJ53842.1,5,7,5,5,2,3
ABJ53843.1,3,13,10,11,4,8
ABJ53844.1,48,47,52,23,31,26
ABJ53845.1,4,2,1,4,4,0
ABJ53846.1,0,2,2,4,7,1
ABJ53847.1,3,2,0,2,2,0
ABJ53848.1,0,1,0,0,0,0
ABJ53849.1,12,14,16,11,6,13
ABJ53850.1,1,2,1,0,5,1
ABJ53851.1,7,16,10,8,8,11
ABJ53852.1,1,3,5,2,0,0
ABJ53853.1,1,1,1,0,0,4
ABJ53854.1,0,0,0,0,0,0
ABJ53855.1,2,3,1,4,4,1
ABJ53856.1,2,4,2,1,2,4
ABJ53857.1,4,2,3,3,4,6
ABJ53858.1,3,7,10,15,12,11
ABJ53859.1,3,4,2,1,1,0
ABJ53860.1,0,3,0,2,1,1
ABJ53861.1,2,2,3,2,1,1
ABJ53862.1,8,7,8,1,5,7
ABJ53863.1,49,64,64,43,34,27
ABJ53864.1,0,2,1,2,2,0
ABJ53865.1,35,39,53,56,46,40
ABJ53866.1,0,0,2,2,4,2
ABJ53867.1,2,2,3,6,0,2
ABJ53868.1,2,7,5,10,10,8
ABJ53869.1,1,1,5,3,4,1
ABJ53870.1,7,9,4,5,3,9
ABJ53871.1,29,34,26,36,32,21
ABJ53872.1,2,6,4,2,0,1
ABJ53873.1,17,23,15,17,28,16
ABJ53874.1,6,12,9,5,9,9
ABJ53875.1,3,4,8,12,6,2
ABJ53876.1,2,2,0,1,2,1
ABJ53877.1,55,84,66,69,61,49
ABJ53878.1,1,2,0,2,0,3
ABJ53879.1,0,0,0,1,1,0
ABJ53880.1,35,51,46,99,88,85
ABJ53881.1,4,4,1,1,4,0
ABJ53882.1,4,1,0,0,1,1
ABJ53883.1,4,6,16,14,13,9
ABJ53884.1,2,3,1,1,2,0
ABJ53885.1,0,0,0,0,0,1
ABJ53886.1,7,9,12,7,10,10
ABJ53887.1,17,23,18,22,21,11
ABJ53888.1,1,3,2,2,2,2
ABJ53889.1,0,1,3,1,1,0
ABJ53890.1,6,10,4,3,3,4
ABJ53891.1,0,0,1,1,0,1
ABJ53892.1,1,2,2,2,3,2
ABJ53893.1,7,9,7,4,4,5
ABJ53894.1,18,15,20,18,13,10
ABJ53895.1,3,7,7,6,5,3
ABJ53896.1,2,7,11,3,7,2
ABJ53897.1,0,0,0,0,0,0
ABJ53898.1,19,30,29,20,16,14
ABJ53899.1,2,4,4,3,1,4
ABJ53900.1,3,3,7,6,6,1
ABJ53901.1,2,2,0,0,1,1
ABJ53902.1,3,4,1,3,1,2
ABJ53903.1,0,3,2,1,2,2
ABJ53904.1,75,126,117,91,95,76
ABJ53905.1,2,3,4,7,6,3
ABJ53906.1,10,20,16,24,9,13
ABJ53907.1,4,1,5,1,4,1
ABJ53908.1,0,0,1,1,1,0
ABJ53909.1,6,19,19,12,13,11
ABJ53910.1,0,0,0,0,0,0
ABJ53911.1,8,10,14,14,13,5
ABJ53912.1,1,3,0,7,3,0
ABJ53913.1,2,6,8,6,3,6
ABJ53914.1,6,1,4,1,2,3
ABJ53915.1,6,9,7,9,6,5
ABJ53916.1,521,664,659,771,696,634
ABJ53917.1,130,159,153,147,111,102
ABJ53918.1,1,0,0,0,3,2
ABJ53919.1,56,56,52,104,94,84
ABJ53920.1,30,46,38,38,37,27
ABJ53921.1,1,1,3,1,3,4
ABJ53922.1,22,14,19,29,19,24
ABJ53923.1,1,6,9,12,14,9
ABJ53924.1,36,55,44,49,65,49
ABJ53925.1,3,8,5,2,7,2
ABJ53926.1,0,0,0,1,0,0
ABJ53927.1,3,6,5,4,7,8
ABJ53928.1,26,37,43,26,30,25
ABJ53929.1,1,0,0,0,0,0
ABJ53930.1,2,2,3,2,2,2
ABJ53931.1,1,3,3,6,3,2
ABJ53932.1,12,21,23,20,24,9
ABJ53933.1,63,128,113,85,80,88
ABJ53934.1,2,19,8,12,16,9
ABJ53935.1,3,1,3,2,4,2
ABJ53936.1,17,26,31,31,31,18
ABJ53937.1,13,18,14,6,12,11
ABJ53938.1,1,0,1,0,0,0
ABJ53939.1,2,2,3,9,6,1
ABJ53940.1,1,8,4,2,5,6
ABJ53941.1,1,2,5,5,4,7
ABJ53942.1,98,106,99,78,86,73
ABJ53943.1,18,27,23,21,14,21
ABJ53944.1,0,1,0,0,0,0
ABJ53945.1,14,9,10,17,9,12
ABJ53946.1,1,5,1,3,2,3
ABJ53947.1,4,9,14,11,15,9
ABJ53948.1,2,4,5,2,4,1
ABJ53949.1,1,3,5,7,7,2
ABJ53950.1,12,6,14,17,25,6
ABJ53951.1,3,7,8,12,6,8
ABJ53952.1,0,1,1,1,0,0
ABJ53953.1,1,0,1,1,2,1
ABJ53954.1,13,16,10,13,12,10
ABJ53955.1,0,0,0,0,0,1
ABJ53956.1,11,17,10,9,6,6
ABJ53957.1,8,7,13,5,7,6
ABJ53958.1,0,0,1,1,1,0
ABJ53959.1,16,13,1,15,9,13
ABJ53960.1,20,52,31,25,29,38
ABJ53961.1,1,2,2,1,0,1
ABJ53962.1,120,195,171,109,119,145
ABJ53963.1,1,0,3,0,1,0
ABJ53964.1,1,0,0,1,0,0
ABJ53965.1,4,11,6,5,5,4
ABJ53966.1,2,10,6,11,11,7
ABJ53967.1,3,0,0,1,4,0
ABJ53968.1,0,1,0,1,1,0
ABJ53969.1,0,3,0,0,0,0
ABJ53970.1,75,70,83,70,94,59
ABJ53971.1,50,52,31,42,64,37
ABJ53972.1,0,0,1,0,0,0
ABJ53973.1,0,13,5,4,3,3
ABJ53974.1,3,5,8,6,6,6
ABJ53975.1,6,7,7,4,2,8
ABJ53976.1,8,12,6,5,8,7
ABJ53977.1,7,4,4,7,12,4
ABJ53978.1,1,0,1,1,1,1
ABJ53979.1,10,10,6,5,6,8
ABJ53980.1,1,4,0,0,2,1
ABJ53981.1,37,46,38,47,38,32
ABJ53982.1,69,100,84,122,142,117
ABJ53983.1,3,6,2,11,8,9
ABJ53984.1,11,29,14,21,12,15
ABJ53985.1,1,4,2,4,2,2
ABJ53986.1,5,3,0,2,4,3
ABJ53987.1,3,6,2,3,6,1
ABJ53988.1,1,1,2,4,3,4
ABJ53989.1,0,0,0,1,0,0
ABJ53990.1,0,2,0,1,1,1
ABJ53991.1,10,4,5,1,2,5
ABJ53992.1,0,3,1,3,3,0
ABJ53993.1,2,2,4,2,0,2
ABJ53994.1,0,1,2,0,2,1
ABJ53995.1,83,102,89,120,126,105
ABJ53996.1,6,3,5,4,9,8
ABJ53997.1,2,2,2,1,0,5
ABJ53998.1,4,4,3,4,7,9
ABJ53999.1,2,4,3,4,2,4
ABJ54000.1,4,21,7,11,18,4
ABJ54001.1,3,8,9,14,7,6
ABJ54002.1,6,4,5,5,7,6
ABJ54003.1,2,10,5,4,2,1
ABJ54004.1,2,6,4,0,1,0
ABJ54005.1,3,11,4,5,7,7
ABJ54006.1,5,11,1,6,3,1
ABJ54007.1,4,6,3,2,0,2
ABJ54008.1,3,9,6,8,15,4
ABJ54009.1,3,9,9,4,6,5
ABJ54010.1,49,55,49,59,69,51
ABJ54011.1,24,19,34,24,22,30
ABJ54012.1,3,7,5,9,11,7
ABJ54013.1,11,7,7,12,11,8
ABJ54014.1,12,8,7,6,7,8
ABJ54015.1,3,3,6,2,5,2
ABJ54016.1,2,0,1,2,2,0
ABJ54017.1,73,98,94,107,120,91
ABJ54018.1,0,0,1,1,1,0
ABJ54019.1,0,0,0,1,0,0
ABJ54020.1,7,17,18,22,21,15
ABJ54021.1,14,5,8,16,6,7
ABJ54022.1,1,0,0,0,0,0
ABJ54023.1,299,408,362,481,510,419
ABJ54024.1,1,0,2,2,0,1
ABJ54025.1,0,2,4,2,4,5
ABJ54026.1,0,0,0,1,1,1
ABJ54027.1,3,4,1,2,1,2
ABJ54028.1,13,22,17,20,29,11
ABJ54029.1,1,2,3,3,7,3
ABJ54030.1,21,33,24,16,20,12
ABJ54031.1,2,1,1,1,3,3
ABJ54032.1,1,3,2,0,1,1
ABJ54033.1,0,0,0,0,0,2
ABJ54034.1,0,2,1,0,0,1
ABJ54035.1,4,3,1,2,5,1
ABJ54036.1,3,1,1,1,2,1
ABJ54037.1,5,6,7,3,5,7
ABJ54038.1,0,0,1,0,0,0
ABJ54039.1,0,1,0,0,0,0
ABJ54040.1,1,2,0,2,2,0
ABJ54041.1,2,3,2,5,4,2
ABJ54042.1,2,1,1,1,1,1
ABJ54043.1,0,7,1,4,5,1
ABJ54044.1,4,7,3,3,6,1
ABJ54045.1,1,1,2,6,3,2
ABJ54046.1,112,134,112,126,130,117
ABJ54047.1,2,5,5,3,11,0
ABJ54048.1,28,26,36,49,54,42
ABJ54049.1,3,3,1,0,2,1
ABJ54050.1,5,2,6,4,6,1
ABJ54051.1,0,4,3,1,5,1
ABJ54052.1,5,5,2,7,3,1
ABJ54053.1,8,6,8,4,3,6
ABJ54054.1,21,52,47,14,21,30
ABJ54055.1,1,3,0,1,4,1
ABJ54056.1,0,2,0,0,0,0
ABJ54057.1,22,57,45,37,55,50
ABJ54058.1,31,26,19,10,24,18
ABJ54059.1,41,42,56,37,34,24
ABJ54060.1,6,15,9,12,9,11
ABJ54061.1,0,0,0,1,4,2
ABJ54062.1,8,9,8,7,5,7
ABJ54063.1,1,2,2,3,2,2
ABJ54064.1,8,8,10,5,5,8
ABJ54065.1,3,1,1,1,0,0
ABJ54066.1,88,103,85,134,138,128
ABJ54067.1,6,6,4,3,2,0
ABJ54068.1,2,2,7,2,1,7
ABJ54069.1,37,31,30,43,38,30
ABJ54070.1,22,31,28,26,30,23
ABJ54071.1,6,9,11,5,7,3
ABJ54072.1,1,0,1,5,2,2
ABJ54073.1,110,133,143,159,148,161
ABJ54074.1,36,52,44,58,59,58
ABJ54075.1,11,18,8,12,16,11
ABJ54076.1,93,145,138,116,110,95
ABJ54077.1,2,3,4,3,9,4
ABJ54078.1,55,81,68,160,152,101
ABJ54079.1,1,2,4,3,3,1
ABJ54080.1,6,12,10,8,9,7
ABJ54081.1,0,0,2,5,3,5
ABJ54082.1,2,1,4,4,0,1
ABJ54083.1,4,1,4,4,5,3
ABJ54084.1,2,3,7,9,11,0
ABJ54085.1,1,1,3,1,0,1
ABJ54086.1,1,11,8,16,10,19
ABJ54087.1,2,0,0,2,2,2
ABJ54088.1,10,9,16,21,25,12
ABJ54089.1,30,34,29,45,50,26
ABJ54090.1,70,74,67,184,149,128
ABJ54091.1,8,8,5,4,6,4
ABJ54092.1,403,543,597,591,628,490
ABJ54093.1,0,0,0,0,0,0
ABJ54094.1,182,247,196,230,230,205
ABJ54095.1,2,1,0,0,0,2
ABJ54096.1,5,12,9,12,8,6
ABJ54097.1,4,4,3,2,1,0
ABJ54098.1,2,1,1,0,0,1
ABJ54099.1,204,255,243,332,364,293
ABJ54100.1,0,0,1,0,0,0
ABJ54101.1,5,7,0,3,3,3
ABJ54102.1,1,3,3,0,2,2
ABJ54103.1,3,7,2,1,2,1
ABJ54104.1,26,35,34,57,56,47
ABJ54105.1,2,8,0,5,2,4
ABJ54106.1,0,5,2,2,3,2
ABJ54107.1,23,22,19,30,36,24
ABJ54108.1,51,61,69,146,127,118
ABJ54109.1,11,15,5,8,12,7
ABJ54110.1,4,2,5,2,0,1
ABJ54111.1,43,59,41,41,55,29
ABJ54112.1,5,7,4,15,8,10
ABJ54113.1,0,0,0,0,0,0
ABJ54114.1,44,50,68,69,70,68
ABJ54115.1,0,1,2,2,5,2
ABJ54116.1,2,7,7,5,6,1
ABJ54117.1,1,1,1,0,0,1
ABJ54118.1,23,26,18,18,20,15
ABJ54119.1,0,0,0,0,0,0
ABJ54120.1,233,329,289,297,279,240
ABJ54121.1,10,12,9,15,16,12
ABJ54122.1,1,0,1,2,0,2
ABJ54123.1,25,26,24,12,20,15
ABJ54124.1,2,1,1,1,2,1
ABJ54125.1,6,8,7,12,2,5
ABJ54126.1,0,8,2,8,6,5
ABJ54127.1,1,3,2,1,0,4
ABJ54128.1,0,0,0,0,0,0
ABJ54129.1,0,0,0,1,2,0
ABJ54130.1,25,26,25,20,14,21
ABJ54131.1,0,0,0,1,0,0
ABJ54132.1,31,56,56,55,67,47
ABJ54133.1,0,2,1,3,1,0
ABJ54134.1,11,16,13,12,12,16
ABJ54135.1,0,0,0,1,0,1
ABJ54136.1,33,32,29,29,26,14
ABJ54137.1,4,0,2,4,3,1
ABJ54138.1,2,1,1,0,1,0
ABJ54139.1,1,1,4,1,1,0
ABJ54140.1,4,7,5,4,3,3
ABJ54141.1,4,9,3,1,7,2
ABJ54142.1,5,6,4,6,5,8
ABJ54143.1,3,8,5,1,5,5
ABJ54144.1,1,4,3,4,4,0
ABJ54145.1,6,5,6,11,8,5
ABJ54146.1,0,0,1,0,0,0
ABJ54147.1,1,4,8,7,1,6
ABJ54148.1,2,2,3,1,3,2
ABJ54149.1,4,21,21,33,31,17
ABJ54150.1,5,1,1,3,5,2
ABJ54151.1,2,6,18,12,15,8
ABJ54152.1,0,1,1,1,0,0
ABJ54153.1,3,4,9,8,5,4
ABJ54154.1,1,4,3,4,4,5
ABJ54155.1,1,0,1,0,0,1
ABJ54156.1,6,25,14,17,21,14
ABJ54157.1,1,0,2,2,3,1
ABJ54158.1,11,16,17,16,14,17
ABJ54159.1,6,7,9,9,18,23
ABJ54160.1,0,4,4,1,2,1
ABJ54161.1,136,169,133,151,168,128
ABJ54162.1,0,0,1,0,0,0
ABJ54163.1,37,69,47,32,36,22
ABJ54164.1,30,45,31,27,24,22
ABJ54165.1,0,0,2,0,0,1
ABJ54166.1,2,6,5,4,4,2
ABJ54167.1,2,5,2,6,5,4
ABJ54168.1,4,6,2,2,3,3
ABJ54169.1,0,3,1,1,0,2
ABJ54170.1,4,11,11,4,10,3
ABJ54171.1,0,0,0,1,0,1
ABJ54172.1,16,27,24,16,23,18
ABJ54173.1,1,3,1,1,3,1
ABJ54174.1,2,4,10,5,5,7
ABJ54175.1,125,167,161,157,192,132
ABJ54176.1,169,300,235,167,150,139
ABJ54177.1,43,53,36,52,61,32
ABJ54178.1,9,9,10,10,15,9
ABJ54179.1,8,28,31,9,15,11
ABJ54180.1,11,5,9,6,6,2
ABJ54181.1,5,4,10,12,8,5
ABJ54182.1,4,8,5,11,10,8
ABJ54183.1,16,11,9,14,21,7
ABJ54184.1,0,0,0,0,0,0
ABJ54185.1,0,1,2,2,0,0
ABJ54186.1,1,7,2,1,2,0
ABJ54187.1,8,12,4,4,6,6
ABJ54188.1,4,11,7,5,4,5
ABJ54189.1,0,3,2,0,3,0
ABJ54190.1,285,305,272,482,463,383
ABJ54191.1,0,8,5,2,8,2
ABJ54192.1,6,5,2,6,11,12
ABJ54193.1,1,5,6,9,13,12
ABJ54194.1,2,4,5,0,2,3
ABJ54195.1,48,51,43,45,61,40
ABJ54196.1,370,392,439,380,408,370
ABJ54197.1,5,6,5,3,4,2
ABJ54198.1,4,7,6,4,2,8
ABJ54199.1,0,1,3,0,1,0
ABJ54200.1,23,19,23,39,32,20
ABJ54201.1,6,15,9,8,7,10
ABJ54202.1,29,36,27,29,24,18
ABJ54203.1,0,2,1,1,2,1
ABJ54204.1,1,4,0,0,1,2
ABJ54205.1,5,3,1,3,3,4
ABJ54206.1,4,4,2,0,2,2
ABJ54207.1,1,0,0,1,1,0
ABJ54208.1,5,9,5,5,8,6
ABJ54209.1,1,1,0,2,3,0
ABJ54210.1,15,10,19,25,30,18
ABJ54211.1,0,1,4,2,1,5
ABJ54212.1,11,7,4,9,8,7
ABJ54213.1,41,47,38,68,62,52
ABJ54214.1,1,0,0,1,0,1
ABJ54215.1,4,5,5,4,8,1
ABJ54216.1,41,47,41,77,73,66
ABJ54217.1,0,1,0,3,1,3
ABJ54218.1,12,9,16,25,16,7
ABJ54219.1,0,6,2,2,1,4
ABJ54220.1,1,4,0,2,3,0
ABJ54221.1,0,1,2,1,4,1
ABJ54222.1,0,1,0,0,0,0
ABJ54223.1,4,3,3,12,6,6
ABJ54224.1,3,10,18,15,12,8
ABJ54225.1,2,2,3,3,2,2
ABJ54226.1,1,0,1,1,1,0
ABJ54227.1,75,80,85,155,140,135
ABJ54228.1,1,3,0,0,3,2
ABJ54229.1,1,4,3,4,4,6
ABJ54230.1,0,3,0,0,0,0
ABJ54231.1,38,47,38,33,29,34
ABJ54232.1,1,4,6,4,9,1
ABJ54233.1,2,6,9,14,7,4
ABJ54234.1,0,4,3,5,2,0
ABJ54235.1,72,89,73,83,98,91
ABJ54236.1,0,0,0,2,0,0
ABJ54237.1,7,5,5,7,12,5
ABJ54238.1,15,14,5,15,12,11
ABJ54239.1,20,22,19,20,22,13
ABJ54240.1,2,6,1,3,2,1
ABJ54241.1,6,5,6,9,10,6
ABJ54242.1,12,17,10,22,18,11
ABJ54243.1,8,8,7,10,13,4
ABJ54244.1,6,2,4,7,3,8
ABJ54245.1,16,18,24,23,17,23
ABJ54246.1,12,13,8,13,17,8
ABJ54247.1,13,15,19,26,15,19
ABJ54248.1,45,77,88,71,78,77
ABJ54249.1,9,10,8,21,13,14
ABJ54250.1,0,2,3,1,0,2
ABJ54251.1,0,0,0,0,0,0
ABJ54252.1,1,0,0,0,0,0
ABJ54253.1,15,13,22,40,40,28
ABJ54254.1,15,22,25,16,18,7
ABJ54255.1,0,0,1,1,1,0
ABJ54256.1,6,5,1,5,7,0
ABJ54257.1,23,42,38,39,40,27
ABJ54258.1,12,4,6,14,19,12
ABJ54259.1,3,8,5,6,7,3
ABJ54260.1,8,8,7,9,12,12
ABJ54261.1,39,49,72,85,103,77
ABJ54262.1,19,24,26,25,26,17
ABJ54263.1,0,0,0,1,0,0
ABJ54264.1,86,79,65,76,87,69
ABJ54265.1,10,15,16,31,31,35
ABJ54266.1,0,0,1,0,2,0
ABJ54267.1,27,26,31,26,24,17
ABJ54268.1,8,12,12,10,12,11
