,readcount_cph1-efg1_0min_1,readcount_cph1-efg1_0min_3,readcount_cph1-efg1_0min_4,readcount_cph1-efg1_75min_1,readcount_cph1-efg1_75min_3,readcount_cph1-efg1_75min_4,readcount_Evo_0min_1,readcount_Evo_0min_3,readcount_Evo_0min_4,readcount_Evo_75min_1,readcount_Evo_75min_3,readcount_Evo_75min_4
ITS1,0,0,0,0,0,0,0,0,0,0,0,0
ITS2,693,175,163,129,106,98,372,929,95,103,68,111
LSU-C2809,35,20,17,11,16,18,19,91,14,14,20,25
LSU-G1431,13,6,4,8,11,9,5,24,7,6,4,20
NOVEL-Ca21chr1-001,523,331,371,626,475,624,211,981,181,359,458,788
NOVEL-Ca21chr1-002,1439,956,1141,1786,1826,2152,559,2376,738,1115,1488,2320
NOVEL-Ca21chr1-003,6764,2574,3199,2187,1973,2193,3879,10148,2139,2139,1968,3536
NOVEL-Ca21chr1-004,1750,845,904,1190,951,995,427,1426,283,492,449,858
NOVEL-Ca21chr1-005,163,66,35,11,13,17,67,142,32,18,11,29
NOVEL-Ca21chr1-007,13,0,5,3,8,8,8,34,4,26,28,40
NOVEL-Ca21chr1-008,2,5,0,5,4,6,2,9,1,4,4,13
NOVEL-Ca21chr1-009,7,3,5,2,5,5,8,22,5,7,3,6
NOVEL-Ca21chr1-010,1828,447,568,389,543,305,1348,2874,528,507,470,863
NOVEL-Ca21chr1-011,495,147,120,75,107,57,374,610,131,115,84,157
NOVEL-Ca21chr1-012,141,42,38,41,73,36,65,173,41,43,47,88
NOVEL-Ca21chr1-013,102,44,32,46,44,47,78,236,49,60,54,95
NOVEL-Ca21chr1-014,210,72,71,113,97,71,196,607,79,180,155,238
NOVEL-Ca21chr1-015,216,61,69,44,68,26,160,336,59,69,57,109
NOVEL-Ca21chr1-016,4425,2315,1477,1470,1242,1408,2967,10105,1672,1636,1499,2680
NOVEL-Ca21chr1-017,12,1,1,8,1,0,13,17,4,7,1,0
NOVEL-Ca21chr1-018,1008,601,499,495,496,494,668,2417,672,519,563,1110
NOVEL-Ca21chr1-019,60,24,22,25,14,21,20,70,14,9,11,20
NOVEL-Ca21chr1-020,690,219,130,124,150,104,459,1097,188,146,154,218
NOVEL-Ca21chr1-021,58,27,24,20,21,14,51,169,25,28,24,36
NOVEL-Ca21chr1-022,55,11,17,22,22,10,18,44,9,10,16,26
NOVEL-Ca21chr1-023,177,72,58,64,62,44,88,345,49,23,28,86
NOVEL-Ca21chr1-024,4,2,0,6,1,3,0,13,2,3,6,8
NOVEL-Ca21chr1-025,28,10,12,10,19,10,24,53,12,10,14,25
NOVEL-Ca21chr1-026,15,3,2,7,4,6,18,23,5,34,16,19
NOVEL-Ca21chr1-027,181,51,44,33,43,33,102,202,40,35,32,74
NOVEL-Ca21chr1-028,32,30,46,105,87,99,35,145,64,82,89,201
NOVEL-Ca21chr1-029,280,128,146,150,141,138,211,545,103,203,172,288
NOVEL-Ca21chr1-030,5002,2941,3535,1917,1614,1855,4062,15200,3545,2382,2294,3789
NOVEL-Ca21chr1-031,186,60,29,39,24,32,171,302,39,44,62,91
NOVEL-Ca21chr1-032,167,64,39,32,46,42,104,249,43,66,72,114
NOVEL-Ca21chr1-033,78,50,33,45,33,34,55,192,38,33,49,79
NOVEL-Ca21chr1-034,804,355,226,282,228,247,725,2133,348,423,377,719
NOVEL-Ca21chr1-035,52,30,37,132,123,126,26,127,51,105,127,234
NOVEL-Ca21chr1-036,276,113,85,182,152,149,243,635,101,197,136,299
NOVEL-Ca21chr1-037,212,99,127,261,205,205,188,607,150,284,253,490
NOVEL-Ca21chr1-038,79,31,25,55,81,50,53,193,46,115,103,231
NOVEL-Ca21chr1-040,27,8,9,9,3,7,28,51,9,7,1,3
NOVEL-Ca21chr1-041,5,1,3,1,0,1,12,28,4,1,3,2
NOVEL-Ca21chr1-042,150,71,34,37,51,23,166,1044,84,37,30,62
NOVEL-Ca21chr1-043,1250,411,431,263,468,198,969,2535,563,532,508,895
NOVEL-Ca21chr1-044,2000,1060,553,371,417,252,2032,6424,1113,919,793,1491
NOVEL-Ca21chr1-045,93,55,55,63,58,49,53,196,60,55,78,112
NOVEL-Ca21chr1-046,136,35,24,10,9,7,119,181,23,15,12,25
NOVEL-Ca21chr1-047,327,175,88,127,80,106,259,713,128,125,86,178
NOVEL-Ca21chr1-048,38,25,7,12,9,4,60,331,22,63,43,77
NOVEL-Ca21chr1-049,274,107,107,31,44,33,244,612,110,16,20,19
NOVEL-Ca21chr1-050,55,20,22,4,3,0,26,75,23,2,0,1
NOVEL-Ca21chr1-051,23,16,9,27,36,23,28,99,22,30,35,54
NOVEL-Ca21chr1-052,145,71,77,74,88,85,179,453,114,127,85,237
NOVEL-Ca21chr1-053,22689,13299,7819,8052,6150,7928,17317,57126,11072,8881,8815,17184
NOVEL-Ca21chr1-054,270,33,35,23,63,6,111,78,24,29,31,20
NOVEL-Ca21chr1-055,9,8,2,3,1,0,3,14,1,29,28,42
NOVEL-Ca21chr1-056,6,2,0,1,1,3,2,11,0,19,10,21
NOVEL-Ca21chr1-057,3,1,0,1,0,1,0,1,1,12,6,10
NOVEL-Ca21chr1-058,5,0,2,5,2,3,3,12,1,48,26,53
NOVEL-Ca21chr1-059,10,3,0,1,5,3,4,7,2,3,1,3
NOVEL-Ca21chr1-060,84,43,24,48,30,44,42,199,17,22,37,66
NOVEL-Ca21chr1-061,44,22,19,35,33,23,51,144,28,38,29,52
NOVEL-Ca21chr1-062,165,69,44,73,62,57,129,302,54,98,91,186
NOVEL-Ca21chr1-063,23,5,4,9,5,7,14,41,8,14,10,12
NOVEL-Ca21chr1-064,183,103,38,47,45,26,99,338,40,48,40,85
NOVEL-Ca21chr1-065,104,55,37,64,34,35,84,193,30,48,36,60
NOVEL-Ca21chr1-066,284,161,115,163,101,144,184,730,145,145,151,334
NOVEL-Ca21chr1-067,353,230,151,188,177,173,398,1326,246,318,304,578
NOVEL-Ca21chr1-068,99,57,89,151,114,99,48,197,141,178,146,180
NOVEL-Ca21chr1-069,1819,1266,1081,1467,1219,1461,1297,5524,1189,1395,1506,2610
NOVEL-Ca21chr1-070,110,61,66,59,46,52,79,343,50,46,60,94
NOVEL-Ca21chr1-071,331,155,236,146,164,157,235,717,153,144,134,241
NOVEL-Ca21chr1-072,56,26,19,27,32,30,61,152,55,22,24,42
NOVEL-Ca21chr1-073,2502,958,494,785,538,627,1791,4245,602,557,539,872
NOVEL-Ca21chr1-074,104,25,18,24,20,11,111,226,27,31,20,37
NOVEL-Ca21chr1-075,487,235,157,139,143,109,270,829,156,131,125,254
NOVEL-Ca21chr1-076,48,35,27,50,30,35,31,148,31,27,35,61
NOVEL-Ca21chr1-077,19,5,10,7,5,6,12,61,15,3,5,8
NOVEL-Ca21chr1-078,142,60,44,183,113,165,123,400,86,143,153,256
NOVEL-Ca21chr1-079,51,23,16,26,16,15,34,107,14,45,37,95
NOVEL-Ca21chr1-080,207,96,109,110,74,110,199,631,141,116,137,261
NOVEL-Ca21chr1-081,51,29,13,30,22,15,42,91,16,24,23,37
NOVEL-Ca21chr1-082,48,23,9,11,5,8,41,88,11,12,7,10
NOVEL-Ca21chr1-083,64,22,15,12,29,9,47,120,21,23,33,55
NOVEL-Ca21chr1-084,38,28,26,9,25,12,21,82,12,10,21,28
NOVEL-Ca21chr1-085,33,25,18,63,76,35,71,192,38,134,137,214
NOVEL-Ca21chr1-086,4,1,1,2,15,2,3,8,3,8,10,19
NOVEL-Ca21chr1-087,102,34,30,42,110,68,65,153,44,82,86,144
NOVEL-Ca21chr1-088,167,69,46,38,49,33,80,251,59,36,41,94
NOVEL-Ca21chr1-089,283,109,21,15,19,11,91,230,12,14,12,16
NOVEL-Ca21chr1-090,523,200,203,294,268,248,596,1743,331,423,348,752
NOVEL-Ca21chr1-091,164,85,75,93,100,81,197,628,133,143,129,324
NOVEL-Ca21chr1-092,113,68,37,26,35,22,36,162,35,23,45,60
NOVEL-Ca21chr1-093,36,28,18,21,19,33,33,102,28,20,18,40
NOVEL-Ca21chr1-094,36,21,20,10,8,7,50,67,20,5,8,16
NOVEL-Ca21chr1-095,54,11,7,9,9,1,63,56,2,4,4,19
NOVEL-Ca21chr1-096,31,4,1,2,0,4,26,12,1,9,9,7
NOVEL-Ca21chr1-097,10,5,11,31,19,17,12,39,18,28,25,38
NOVEL-Ca21chr1-098,19,6,5,5,5,9,9,30,5,24,23,40
NOVEL-Ca21chr1-099,2,1,3,10,6,6,5,11,3,5,3,12
NOVEL-Ca21chr1-101,85,43,36,25,15,30,63,192,44,19,21,41
NOVEL-Ca21chr1-102,89,37,38,54,53,45,62,170,50,61,53,148
NOVEL-Ca21chr1-103,130,101,65,71,69,67,85,398,119,100,94,163
NOVEL-Ca21chr1-104,61,40,24,27,34,25,24,132,33,36,23,64
NOVEL-Ca21chr1-105,51,19,12,9,9,6,20,52,14,12,6,8
NOVEL-Ca21chr1-106,235,71,50,25,22,13,173,333,39,30,29,39
NOVEL-Ca21chr1-107,216,81,82,141,92,107,187,600,105,148,154,280
NOVEL-Ca21chr1-108,2474,1222,781,447,382,377,1988,5629,949,572,481,834
NOVEL-Ca21chr1-109,998,591,582,596,655,602,789,3017,616,645,725,1337
NOVEL-Ca21chr1-110,16,11,5,3,6,6,19,59,25,6,11,19
NOVEL-Ca21chr1-111,137,43,48,19,15,15,81,153,30,30,23,35
NOVEL-Ca21chr1-112,136,67,52,91,86,69,147,455,86,55,67,158
NOVEL-Ca21chr1-114,45,23,15,21,30,22,37,94,22,58,64,114
NOVEL-Ca21chr1-115,91,43,61,152,106,59,125,246,93,196,141,163
NOVEL-Ca21chr1-116,72,26,27,45,32,39,34,148,33,23,25,51
NOVEL-Ca21chr1-118,251,107,99,58,53,37,127,412,94,55,44,92
NOVEL-Ca21chr1-119,164,98,87,57,40,45,124,509,54,53,36,86
NOVEL-Ca21chr1-120,54,32,21,13,12,15,40,147,19,25,25,61
NOVEL-Ca21chr1-121,1063,633,458,400,448,360,525,2330,540,425,450,659
NOVEL-Ca21chr1-122,325,322,173,208,139,183,210,1193,252,201,176,317
NOVEL-Ca21chr1-124,74,31,24,26,25,15,61,159,34,42,32,68
NOVEL-Ca21chr1-125,19,9,6,3,6,2,14,24,13,7,6,9
NOVEL-Ca21chr1-126,208,72,68,61,113,30,110,257,38,71,54,57
NOVEL-Ca21chr1-127,21,9,18,11,15,14,20,40,10,18,10,31
NOVEL-Ca21chr1-128,12,5,10,2,8,8,5,35,8,3,8,16
NOVEL-Ca21chr1-129,6,10,6,9,9,4,15,30,6,16,21,18
NOVEL-Ca21chr1-130,17,15,10,20,17,14,46,63,21,53,42,71
NOVEL-Ca21chr1-131,279,142,104,212,133,185,215,598,131,153,144,306
NOVEL-Ca21chr1-132,63,24,19,55,46,48,53,194,41,57,52,114
NOVEL-Ca21chr1-133,156,64,51,175,200,203,209,473,88,374,277,614
NOVEL-Ca21chr1-134,5,5,0,10,15,9,3,29,8,12,8,26
NOVEL-Ca21chr1-135,224,73,73,70,77,45,208,428,72,68,70,105
NOVEL-Ca21chr2-001,2633,1080,1259,937,830,892,1957,4743,1016,1029,1024,1539
NOVEL-Ca21chr2-002,14,2,2,6,8,1,1,5,0,2,6,11
NOVEL-Ca21chr2-003,106,54,55,49,50,54,54,225,31,53,47,99
NOVEL-Ca21chr2-004,1630,595,502,465,571,413,770,2133,363,439,451,923
NOVEL-Ca21chr2-005,229,133,86,66,62,73,169,577,92,59,74,140
NOVEL-Ca21chr2-006,14784,5277,3607,1491,1145,1119,15432,21437,5670,1223,1269,2028
NOVEL-Ca21chr2-007,173,53,17,25,8,9,132,270,25,19,25,18
NOVEL-Ca21chr2-008,824,297,244,206,220,170,635,1247,254,245,181,396
NOVEL-Ca21chr2-009,289,113,148,87,69,61,165,498,153,101,75,171
NOVEL-Ca21chr2-010,653,395,213,106,128,85,329,1147,176,159,148,226
NOVEL-Ca21chr2-011,436,268,256,272,252,268,359,1052,269,262,303,578
NOVEL-Ca21chr2-012,503,307,203,189,156,177,416,1372,293,151,165,317
NOVEL-Ca21chr2-013,721,389,303,253,205,210,442,1537,284,230,259,412
NOVEL-Ca21chr2-014,211,82,91,59,50,31,181,380,104,70,43,94
NOVEL-Ca21chr2-015,55,39,41,14,18,22,69,287,42,20,43,58
NOVEL-Ca21chr2-016,26,19,16,15,19,21,14,80,13,21,23,33
NOVEL-Ca21chr2-017,114,50,78,26,24,29,69,190,45,38,30,76
NOVEL-Ca21chr2-018,14,6,10,7,7,18,15,42,17,12,13,23
NOVEL-Ca21chr2-019,23,29,15,9,9,11,13,72,13,6,13,13
NOVEL-Ca21chr2-020,25,8,7,14,9,8,14,45,9,13,12,19
NOVEL-Ca21chr2-021,125,66,36,50,58,34,97,196,31,53,49,125
NOVEL-Ca21chr2-022,30,8,12,7,5,9,13,31,15,4,6,7
NOVEL-Ca21chr2-023,63,28,19,33,34,34,26,99,26,44,39,85
NOVEL-Ca21chr2-024,26,8,7,4,3,4,24,43,10,14,7,18
NOVEL-Ca21chr2-025,23,6,12,5,12,6,19,43,15,28,7,13
NOVEL-Ca21chr2-026,28,16,14,21,31,16,17,90,23,42,36,62
NOVEL-Ca21chr2-027,85,55,53,83,105,82,36,147,29,97,82,140
NOVEL-Ca21chr2-028,20,23,9,28,22,18,33,129,18,30,21,50
NOVEL-Ca21chr2-029,205,184,131,109,113,94,171,895,221,115,121,225
NOVEL-Ca21chr2-030,150,61,44,45,42,34,167,385,69,43,44,83
NOVEL-Ca21chr2-031,424,166,122,178,166,132,357,897,163,167,212,285
NOVEL-Ca21chr2-032,6406,3265,2350,1922,1605,1757,6562,18352,3254,2114,1981,3875
NOVEL-Ca21chr2-033,11520,6394,4299,3585,2818,3549,10245,31322,6005,3597,3781,6900
NOVEL-Ca21chr2-035,8,7,5,4,12,5,6,14,8,8,8,9
NOVEL-Ca21chr2-036,67,38,41,30,39,43,55,199,42,40,34,75
NOVEL-Ca21chr2-037,212,104,145,221,150,153,163,383,159,252,180,367
NOVEL-Ca21chr2-038,1037,504,380,625,544,576,1003,2648,462,693,655,999
NOVEL-Ca21chr2-039,313,110,52,85,78,66,303,656,69,191,141,219
NOVEL-Ca21chr2-040,827,425,293,400,355,310,837,2396,399,551,544,807
NOVEL-Ca21chr2-041,9283,4779,1979,704,336,646,9880,35410,3328,1412,818,1320
NOVEL-Ca21chr2-042,15,10,9,6,5,4,14,51,9,7,7,8
NOVEL-Ca21chr2-043,36,19,12,22,16,16,32,102,14,13,11,31
NOVEL-Ca21chr2-044,21,15,19,12,13,20,15,88,20,14,26,34
NOVEL-Ca21chr2-045,319,133,117,216,155,201,187,716,146,231,242,415
NOVEL-Ca21chr2-046,116,73,89,6,6,5,109,543,117,10,25,27
NOVEL-Ca21chr2-047,34,14,17,17,33,13,22,56,5,19,27,47
NOVEL-Ca21chr2-048,43,20,11,15,24,22,34,70,21,27,37,69
NOVEL-Ca21chr2-049,319,280,145,374,261,321,204,1054,171,332,323,501
NOVEL-Ca21chr2-050,2675,477,354,355,383,247,5854,7708,1720,829,723,850
NOVEL-Ca21chr2-051,15,9,5,3,6,5,20,30,9,7,6,16
NOVEL-Ca21chr2-052,357,156,119,96,151,111,382,619,142,116,163,280
NOVEL-Ca21chr2-053,3249,1898,1247,1190,1019,1012,3148,10499,2025,1431,1355,2682
NOVEL-Ca21chr2-054,2581,1658,1048,730,756,736,2122,8351,1678,1221,1374,2469
NOVEL-Ca21chr2-055,143,53,39,61,84,57,68,142,22,47,53,109
NOVEL-Ca21chr2-056,247,149,114,71,87,73,195,641,117,111,123,197
NOVEL-Ca21chr2-057,22,3,8,19,16,19,16,25,3,20,23,25
NOVEL-Ca21chr2-058,497,92,32,108,36,35,884,714,217,275,159,215
NOVEL-Ca21chr2-059,15,12,10,6,7,6,21,57,11,4,11,17
NOVEL-Ca21chr2-060,180,70,64,97,106,83,129,431,113,153,153,246
NOVEL-Ca21chr2-061,595,368,261,164,162,174,391,1354,300,248,293,456
NOVEL-Ca21chr2-062,279,113,70,76,92,53,116,290,64,63,56,92
NOVEL-Ca21chr2-063,17,4,3,3,1,5,41,75,14,7,4,9
NOVEL-Ca21chr2-064,29,9,10,6,16,2,15,37,3,12,9,17
NOVEL-Ca21chr2-065,151,82,63,108,78,88,183,656,114,133,130,252
NOVEL-Ca21chr2-066,25,8,6,16,7,15,34,113,22,12,18,31
NOVEL-Ca21chr2-067,145,46,24,34,33,34,72,195,35,30,35,79
NOVEL-Ca21chr2-068,191,109,66,72,75,72,152,462,85,108,103,144
NOVEL-Ca21chr2-069,115,39,23,11,4,4,151,288,44,3,4,4
NOVEL-Ca21chr2-070,109,47,54,11,8,4,123,410,80,0,6,4
NOVEL-Ca21chr2-071,155,51,29,12,7,12,97,291,40,6,6,13
NOVEL-Ca21chr2-072,758,195,113,53,61,39,511,1026,159,53,32,74
NOVEL-Ca21chr2-073,95,61,45,106,134,119,64,289,51,136,180,287
NOVEL-Ca21chr2-074,17,10,8,6,3,3,15,22,6,3,4,9
NOVEL-Ca21chr2-075,892,516,360,205,212,205,804,3346,645,356,426,732
NOVEL-Ca21chr2-076,7,4,9,8,11,5,13,56,20,13,13,25
NOVEL-Ca21chr2-077,27,12,5,6,10,3,21,42,6,5,4,10
NOVEL-Ca21chr2-078,264,68,54,33,47,33,224,545,84,69,58,96
NOVEL-Ca21chr2-079,140,66,57,83,45,80,119,350,70,50,62,112
NOVEL-Ca21chr2-080,144,70,84,175,194,141,164,429,104,226,269,405
NOVEL-Ca21chr2-081,41,11,33,21,20,20,30,113,35,15,16,29
NOVEL-Ca21chr2-082,39,18,12,14,23,14,42,104,15,13,14,32
NOVEL-Ca21chr2-083,14,7,11,4,2,3,9,66,33,7,3,4
NOVEL-Ca21chr2-084,26,17,12,21,17,12,34,108,34,24,20,32
NOVEL-Ca21chr2-085,259,104,129,116,92,84,189,548,135,144,130,216
NOVEL-Ca21chr2-086,458,126,136,129,140,83,305,705,134,119,98,171
NOVEL-Ca21chr2-087,44,19,16,9,10,9,21,74,15,13,10,12
NOVEL-Ca21chr2-088,1594,767,644,416,348,380,1329,4610,860,429,480,854
NOVEL-Ca21chr2-089,3208,1559,1083,825,833,757,2484,8610,1313,1194,1292,2040
NOVEL-Ca21chr2-090,96,36,29,13,7,19,89,302,45,29,21,42
NOVEL-Ca21chr2-091,204,105,71,64,66,67,182,445,85,63,40,96
NOVEL-Ca21chr2-092,60,28,23,48,37,41,75,173,33,58,51,87
NOVEL-Ca21chr2-093,220,116,101,132,123,99,184,563,122,191,207,323
NOVEL-Ca21chr2-094,126,63,58,117,140,110,67,251,37,98,82,190
NOVEL-Ca21chr2-095,111,85,76,55,50,54,107,386,105,74,79,158
NOVEL-Ca21chr2-096,261,128,117,105,96,86,197,697,119,122,124,217
NOVEL-Ca21chr2-097,94,30,39,51,69,66,44,129,33,79,59,123
NOVEL-Ca21chr3-001,3047,1645,1628,2180,2173,2591,1360,4077,784,1714,1817,3109
NOVEL-Ca21chr3-002,1345,905,1159,1842,1377,1894,797,3111,655,1126,1353,2203
NOVEL-Ca21chr3-003,23,6,5,5,2,2,10,39,7,6,10,15
NOVEL-Ca21chr3-004,46,34,20,4,8,7,19,104,19,10,6,18
NOVEL-Ca21chr3-005,363,148,132,130,147,103,259,538,117,122,103,223
NOVEL-Ca21chr3-006,41,21,22,30,23,19,41,115,21,29,29,59
NOVEL-Ca21chr3-007,0,1,1,0,1,1,2,7,1,4,6,5
NOVEL-Ca21chr3-008,334,139,49,14,27,17,159,389,72,28,37,37
NOVEL-Ca21chr3-009,52,32,14,12,11,14,39,95,27,24,22,34
NOVEL-Ca21chr3-010,179,114,113,56,59,85,140,571,139,92,86,156
NOVEL-Ca21chr3-011,133,67,43,73,73,96,113,313,43,88,95,223
NOVEL-Ca21chr3-012,17,6,1,6,2,0,152,36,7,9,5,6
NOVEL-Ca21chr3-014,55823,32403,30100,23847,21535,21325,37614,141224,41148,24220,23345,42649
NOVEL-Ca21chr3-015,32,19,19,30,28,25,33,106,33,33,36,84
NOVEL-Ca21chr3-016,5,1,3,12,5,3,5,18,3,55,62,78
NOVEL-Ca21chr3-017,188,81,49,69,69,52,171,429,86,72,61,123
NOVEL-Ca21chr3-018,5,4,9,5,6,2,9,15,4,5,6,11
NOVEL-Ca21chr3-019,190,89,101,85,64,97,123,292,101,100,75,214
NOVEL-Ca21chr3-020,52,37,34,19,28,18,58,181,51,32,30,43
NOVEL-Ca21chr3-021,17,18,20,11,5,19,15,121,32,10,12,25
NOVEL-Ca21chr3-022,292,104,29,43,51,19,166,357,38,34,36,39
NOVEL-Ca21chr3-023,13,4,5,7,11,9,25,28,6,29,28,37
NOVEL-Ca21chr3-024,60,17,8,11,15,9,32,46,6,14,12,35
NOVEL-Ca21chr3-025,40,8,4,14,16,14,22,53,15,23,19,38
NOVEL-Ca21chr3-027,44,16,25,45,47,47,39,135,35,51,57,91
NOVEL-Ca21chr3-028,45,9,19,19,22,8,39,72,19,20,10,34
NOVEL-Ca21chr3-029,138,37,29,12,9,9,111,329,31,22,10,17
NOVEL-Ca21chr3-030,655,241,175,12,9,5,527,1559,324,8,12,22
NOVEL-Ca21chr3-031,2370,1391,825,584,497,555,2030,7248,1297,681,731,1229
NOVEL-Ca21chr3-032,31,8,10,44,46,42,16,58,11,20,27,82
NOVEL-Ca21chr3-033,112,58,66,61,67,48,89,331,87,63,64,144
NOVEL-Ca21chr3-034,148,86,59,45,55,33,98,255,55,66,53,102
NOVEL-Ca21chr3-035,130,86,80,137,87,103,60,217,57,74,60,123
NOVEL-Ca21chr3-036,25,19,26,20,24,18,35,80,23,21,17,36
NOVEL-Ca21chr3-037,99,61,44,60,62,66,98,331,80,72,72,137
NOVEL-Ca21chr3-038,43,19,27,25,45,33,46,171,34,42,50,80
NOVEL-Ca21chr3-039,157,32,28,22,36,14,258,194,37,25,32,43
NOVEL-Ca21chr3-040,52,12,10,5,7,5,58,70,11,12,10,16
NOVEL-Ca21chr3-041,67,30,26,23,57,22,74,152,38,58,55,121
NOVEL-Ca21chr3-042,26,13,22,18,14,10,47,137,38,13,19,33
NOVEL-Ca21chr3-043,75,30,22,31,35,24,50,157,20,42,40,71
NOVEL-Ca21chr3-044,15,12,11,10,8,11,30,122,20,18,18,32
NOVEL-Ca21chr3-045,4770,2855,3000,2975,2942,3152,3099,12426,3291,3166,3252,6539
NOVEL-Ca21chr3-046,147,91,68,105,81,79,112,314,66,93,95,121
NOVEL-Ca21chr3-047,35,13,6,32,41,25,31,82,8,44,34,58
NOVEL-Ca21chr3-048,25,14,11,11,12,9,25,98,6,24,16,33
NOVEL-Ca21chr3-049,19,13,3,21,24,19,19,103,21,30,47,112
NOVEL-Ca21chr3-050,8,0,5,5,3,2,3,14,2,5,5,5
NOVEL-Ca21chr3-051,83,27,15,11,14,8,78,163,19,11,11,15
NOVEL-Ca21chr3-052,5,3,1,3,6,3,10,69,12,22,12,36
NOVEL-Ca21chr3-053,37,19,42,52,39,37,66,246,107,72,47,89
NOVEL-Ca21chr3-054,34,11,10,6,8,5,23,70,8,5,8,18
NOVEL-Ca21chr3-055,187,81,52,36,60,46,127,351,60,88,53,151
NOVEL-Ca21chr3-056,6,1,3,2,6,2,14,26,10,5,6,11
NOVEL-Ca21chr3-057,3924,2075,1219,1044,850,947,3345,12233,1677,1198,1196,2215
NOVEL-Ca21chr3-058,36,12,12,11,11,8,25,43,15,7,2,18
NOVEL-Ca21chr3-059,129,52,86,144,129,105,107,237,111,160,137,230
NOVEL-Ca21chr3-060,85,44,19,19,17,14,111,247,56,32,33,53
NOVEL-Ca21chr3-061,247,88,82,105,107,107,109,258,58,125,127,208
NOVEL-Ca21chr3-062,220,94,66,109,131,101,123,348,40,138,157,258
NOVEL-Ca21chr3-063,28,5,7,5,9,9,31,54,14,16,9,29
NOVEL-Ca21chr3-064,41,5,12,12,19,8,80,97,15,42,27,68
NOVEL-Ca21chr3-065,1723,611,822,676,471,577,1225,3024,683,635,637,932
