Tags.matched.to.6653.Candida.albicans.ORF19.genome.features...elements,C..albicans.only,C..albicans...S..gordonii,C..albicans...growth.medium..YPT.Glc.,C..albicans.only.1,C..albicans...S..gordonii.1,C..albicans...growth.medium..YPT.Glc..1,C..albicans.only.2,C..albicans...S..gordonii.2,C..albicans...growth.medium..YPT.Glc..2
ID_Ca3-6_Name_Ca3-6_Note_Ca3_region_on_Chromosome_6_B_Ca3_is_a_large_dispersed_repeat_sequence_utilized_as_species-specific_and_strain-specific_RFLP_probe_Alias_CA3,597,329,648,585,280,1117,784,377,1078
ID_Ca3-7a_Name_Ca3-7a_Note_Ca3_region_on_Chromosome_7_B_Ca3_is_a_large_dispersed_repeat_sequence_utilized_as_species-specific_and_strain-specific_RFLP_probe_Alias_CA3,419,201,482,360,167,689,456,206,670
ID_Ca3-7b_Name_Ca3-7b_Note_Ca3_region_on_Chromosome_7_B_Ca3_is_a_large_dispersed_repeat_sequence_utilized_as_species-specific_and_strain-specific_RFLP_probe_Alias_CA3,903,353,1014,704,291,1313,994,452,1383
ID_Ca3-R_Name_Ca3-R_Note_Ca3_region_on_Chromosome_R_B_Ca3_is_a_large_dispersed_repeat_sequence_utilized_as_species-specific_and_strain-specific_RFLP_probe_Alias_CA3,475,198,443,286,90,579,378,196,477
ID_CaalfMp01_Name_CaalfMp01_Gene_COX2_Note_Subunit_II_of_cytochrome_c_oxidase_2C_which_is_the_terminal_member_of_the_mitochondrial_inner_membrane_electron_transport_chain_B_one_of_three_mitochondrially-encoded_subunits_orf_classification_Uncharacterized,36538,14625,21181,9435,3073,18619,14117,6101,10916
ID_CaalfMp02_Name_CaalfMp02_Gene_NAD6_Note_Subunit_6_of_NADH_Aubiquinone_oxidoreductase__NADH_Aubiquinone_dehydrogenase__2C_a_multisubunit_enzyme_complex__complex_I__of_the_mitochondrial_inner_membrane_that_catalyzes_the_first_step_in_mitochondrial_respiration_orf_classification_Uncharacterized,9660,3414,5182,3482,832,5234,4622,1940,3626
ID_CaalfMp03_Name_CaalfMp03_Gene_NAD1_Note_Subunit_6_of_NADH_Aubiquinone_oxidoreductase__NADH_Aubiquinone_dehydrogenase__2C_a_multisubunit_enzyme_complex__complex_I__of_the_mitochondrial_inner_membrane_that_catalyzes_the_first_step_in_mitochondrial_respiration_orf_classification_Uncharacterized,25553,8081,13250,6794,1541,11115,9930,4131,7524
ID_CaalfMp04_Name_CaalfMp04_Gene_COX3A_Note_Subunit_III_of_cytochrome_c_oxidase_2C_which_is_the_terminal_member_of_the_mitochondrial_inner_membrane_electron_transport_chain_B_identical_to_Cox3Bp_B_one_of_three_mitochondrially-encoded_subunits_orf_classification_Uncharacterized,36324,13189,18899,8825,3225,16246,9874,5122,10440
ID_CaalfMp05_Name_CaalfMp05_Gene_ATP9_Note_Subunit_9_of_the_F0_sector_of_mitochondrial_F1F0_ATP_synthase_2C_which_is_a_large_2C_evolutionarily_conserved_enzyme_complex_required_for_ATP_synthesis_orf_classification_Uncharacterized,53342,20498,28945,2587,380,8622,6590,1205,5420
ID_CaalfMp06_Name_CaalfMp06_Gene_ATP6_Note_Subunit_6_of_the_F0_sector_of_mitochondrial_F1F0_ATP_synthase_2C_which_is_a_large_2C_evolutionarily_conserved_enzyme_complex_required_for_ATP_synthesis_orf_classification_Uncharacterized,27373,10808,16156,2370,834,5863,5012,1911,3458
ID_CaalfMp07_Name_CaalfMp07_Gene_ATP8_Note_Subunit_8_of_the_F0_sector_of_mitochondrial_F1F0_ATP_synthase_2C_which_is_a_large_2C_evolutionarily_conserved_enzyme_complex_required_for_ATP_synthesis_orf_classification_Uncharacterized,4383,2020,2596,764,211,1527,1273,516,1096
ID_CaalfMp08_1_Name_CaalfMp08_1_Note_Putative_endonuclease_encoded_by_the_first_exon_and_part_of_the_first_intron_of_the_mitochondrial_COX1_gene_B_C-terminus_contains_a_LAGLIDADG_domain_found_in_intron-encoded_endonucleases_B_conserved_in_fungal_mitochondria_orf_classification_Uncharacterized,20420,7108,11789,5846,1339,9726,10469,3279,6047
ID_CaalfMp08_2_Name_CaalfMp08_2_Note_Putative_endonuclease_encoded_by_the_first_two_exons_and_part_of_the_second_intron_of_the_mitochondrial_COX1_gene_B_C-terminus_contains_a_LAGLIDADG_domain_found_in_intron-encoded_endonucleases_B_conserved_in_fungal_mitochondria_orf_classification_Uncharacterized,57539,19649,32826,16533,4584,26177,24916,9374,16597
ID_CaalfMp08_3_Name_CaalfMp08_3_Note_Putative_endonuclease_encoded_by_the_first_three_exons_and_part_of_the_third_intron_of_the_mitochondrial_COX1_gene_B_C-terminus_contains_a_LAGLIDADG_domain_found_in_intron-encoded_endonucleases_B_conserved_in_fungal_mitochondria_orf_classification_Uncharacterized,79593,25293,43381,25477,6695,35366,34591,13488,23914
ID_CaalfMp08_4_Name_CaalfMp08_4_Note_Putative_endonuclease_encoded_by_the_first_four_exons_and_part_of_the_fourth_intron_of_the_mitochondrial_COX1_gene_B_C-terminus_contains_a_LAGLIDADG_domain_found_in_intron-encoded_endonucleases_B_conserved_in_fungal_mitochondria_orf_classification_Uncharacterized,95122,30798,52734,28718,7965,42506,40831,16085,28212
ID_CaalfMp08_Name_CaalfMp08_Gene_COX1_Note_Subunit_I_of_cytochrome_c_oxidase_2C_which_is_the_terminal_member_of_the_mitochondrial__mt__inner_membrane_electron_transport_chain_B_one_of_three_mt-encoded_subunits_B_alternatively_spliced_transcripts_encode_4_putative_splicing_endonucleases_orf_classification_Uncharacterized,138554,45682,77027,40628,11293,65592,60744,23237,43093
ID_CaalfMp09_Name_CaalfMp09_Gene_NAD2_Note_Subunit_2_of_NADH_Aubiquinone_oxidoreductase__NADH_Aubiquinone_dehydrogenase__2C_a_multisubunit_enzyme_complex__complex_I__of_the_mitochondrial_inner_membrane_that_catalyzes_the_first_step_in_mitochondrial_respiration_orf_classification_Uncharacterized,43133,11100,18631,13508,3314,18472,17989,6590,12971
ID_CaalfMp10_Name_CaalfMp10_Gene_NAD3_Note_Subunit_3_of_NADH_Aubiquinone_oxidoreductase__NADH_Aubiquinone_dehydrogenase__2C_a_multisubunit_enzyme_complex__complex_I__of_the_mitochondrial_inner_membrane_that_catalyzes_the_first_step_in_mitochondrial_respiration_orf_classification_Uncharacterized,25127,7098,11338,6282,1192,9222,10698,2898,6285
ID_CaalfMp11_1_Name_CaalfMp11_1_Note_Putative_endonuclease_encoded_by_the_first_exon_and_part_of_the_first_intron_of_the_mitochondrial_COB_gene_B_C-terminus_contains_a_GIY-YIG_domain_found_in_intron-encoded_endonucleases_B_conserved_in_fungal_mitochondria_orf_classification_Uncharacterized,41117,14713,24710,13320,2927,20809,20726,6484,13294
ID_CaalfMp11_Name_CaalfMp11_Gene_COB_Note_Cytochrome_b_2C_mitochondrially_encoded_subunit_of_the_ubiquinol-cytochrome_c_reductase_complex__complex_III__that_catalyzes_a_step_in_the_respiratory_chain_of_the_mitochondrial_inner_membrane_orf_classification_Uncharacterized,112384,36173,60404,27604,6964,48608,47783,17004,28971
ID_CaalfMp12_Name_CaalfMp12_Gene_NAD4L_Note_Subunit_4L_of_NADH_Aubiquinone_oxidoreductase__NADH_Aubiquinone_dehydrogenase__2C_a_multisubunit_enzyme_complex__complex_I__of_the_mitochondrial_inner_membrane_that_catalyzes_the_first_step_in_mitochondrial_respiration_orf_classification_Uncharacterized,4274,1326,1961,774,184,1052,905,458,748
ID_CaalfMp13_Name_CaalfMp13_Gene_NAD5_Note_Subunit_5_of_NADH_Aubiquinone_oxidoreductase__NADH_Aubiquinone_dehydrogenase__2C_a_multisubunit_enzyme_complex__complex_I__of_the_mitochondrial_inner_membrane_that_catalyzes_the_first_step_in_mitochondrial_respiration_orf_classification_Uncharacterized,25117,8593,14066,4499,1323,8795,6852,2973,4940
ID_CaalfMp14_Name_CaalfMp14_Gene_NAD4_Note_Subunit_4_of_NADH_Aubiquinone_oxidoreductase__NADH_Aubiquinone_dehydrogenase__2C_a_multisubunit_enzyme_complex__complex_I__of_the_mitochondrial_inner_membrane_that_catalyzes_the_first_step_in_mitochondrial_respiration_orf_classification_Uncharacterized,22023,8644,14738,5956,1601,12334,10170,3066,7222
ID_CaalfMp15_Name_CaalfMp15_Gene_COX3B_Note_Subunit_III_of_cytochrome_c_oxidase_2C_which_is_the_terminal_member_of_the_mitochondrial_inner_membrane_electron_transport_chain_B_identical_to_Cox3Ap_B_one_of_three_mitochondrially-encoded_subunits_orf_classification_Uncharacterized,36636,13271,19062,8954,3303,16488,10042,5215,10584
ID_CaalfMr16_Name_CaalfMr16_Gene_RRNL_Note_Mitochondrial_ribosomal_RNA_of_the_large_ribosomal_subunit_orf_classification_Uncharacterized_Alias_mtLsurRNA,144023,98936,127942,88676,66101,80071,125962,186537,109766
ID_CaalfMr17_Name_CaalfMr17_Gene_RRNS_Note_Mitochondrial_ribosomal_RNA_of_the_small_ribosomal_subunit_orf_classification_Uncharacterized,578268,381277,418348,264691,172370,294908,431316,346368,384842
ID_CaalfMt18_Name_CaalfMt18_Gene_tA_UGC_3mt_Note_Mitochondrial_alanine_tRNA_2C_predicted_by_tRNAscan-SE_B_UGC_anticodon_orf_classification_Uncharacterized_Alias_TRNA_tA_TGC_3mt,407,163,424,302,86,651,317,163,383
ID_CaalfMt19_Name_CaalfMt19_Gene_tN_GUU_5mt_Note_Mitochondrial_asparagine_tRNA_2C_predicted_by_tRNAscan-SE_B_GUU_anticodon_orf_classification_Uncharacterized_Alias_TRNN_tN_GTT_5mt,345,128,243,137,38,256,154,90,170
ID_CaalfMt20_Name_CaalfMt20_Gene_tK_UUU_6mt_Note_Mitochondrial_lysine_tRNA_2C_predicted_by_tRNAscan-SE_B_UUU_anticodon_B_one_of_two_lysine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNK1_tK_TTT_6mt,136,62,55,49,16,90,112,19,86
ID_CaalfMt21_Name_CaalfMt21_Gene_tL_UAA_6mt_Note_Mitochondrial_leucine_tRNA_2C_predicted_by_tRNAscan-SE_B_UAA_anticodon_B_one_of_three_leucine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNL1_tL_TAA_6mt,894,414,451,627,158,1563,833,287,852
ID_CaalfMt22_Name_CaalfMt22_Gene_tY_GUA_5mt_Note_Mitochondrial_tyrosine_tRNA_2C_predicted_by_tRNAscan-SE_B_GUA_anticodon_B_one_of_two_tyrosine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNY1_tY_GTA_5mt,1312,564,645,887,187,2019,1107,371,1118
ID_CaalfMt23_Name_CaalfMt23_Gene_tH_GUG_4mt_Note_Mitochondrial_histidine_tRNA_2C_predicted_by_tRNAscan-SE_B_GUG_anticodon_B_one_of_two_histidine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNH1_tH_GTG_4mt,1018,401,489,486,77,1061,671,183,643
ID_CaalfMt24_Name_CaalfMt24_Gene_tT_UGU_3mt_Note_Mitochondrial_threonine_tRNA_2C_predicted_by_tRNAscan-SE_B_UGU_anticodon_B_one_of_two_threonine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNT1_tT_TGT_3mt,924,408,495,692,151,1558,827,315,863
ID_CaalfMt25_Name_CaalfMt25_Gene_tE_UUC_8mt_Note_Mitochondrial_glutamate_tRNA_2C_predicted_by_tRNAscan-SE_B_UUC_anticodon_B_one_of_two_glutamate_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNE1_tE_TTC_8mt,312,187,229,427,116,951,504,234,548
ID_CaalfMt26_Name_CaalfMt26_Gene_tI_GAU_1mt_Note_Mitochondrial_isoleucine_tRNA_2C_predicted_by_tRNAscan-SE_B_GAU_anticodon_orf_classification_Uncharacterized_Alias_tI_GAT_1mt_TRNI,216,92,108,143,43,342,259,67,216
ID_CaalfMt27_Name_CaalfMt27_Gene_tP_UGG_6mt_Note_Mitochondrial_proline_tRNA_2C_predicted_by_tRNAscan-SE_B_UGG_anticodon_orf_classification_Uncharacterized_Alias_TRNP_tP_TGG_6mt,581,283,293,256,66,542,482,169,389
ID_CaalfMt28_Name_CaalfMt28_Gene_tC_GCA_3mt_Note_Mitochondrial_cysteine_tRNA_2C_predicted_by_tRNAscan-SE_B_GCA_anticodon_orf_classification_Uncharacterized_Alias_TRNC,430,286,254,211,71,528,436,152,399
ID_CaalfMt29_Name_CaalfMt29_Gene_tG_UCC_3mt_Note_Mitochondrial_glycine_tRNA_2C_predicted_by_tRNAscan-SE_B_UCC_anticodon_orf_classification_Uncharacterized_Alias_tG_TCC_3mt_TRNG,259,163,111,116,40,312,257,111,239
ID_CaalfMt30_Name_CaalfMt30_Gene_tR_UCU_6mt_Note_Mitochondrial_arginine_tRNA_2C_predicted_by_tRNAscan-SE_B_UCU_anticodon_B_one_of_two_arginine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNR1_tR_TCT_6mt,48,19,25,20,6,38,14,9,60
ID_CaalfMt31_Name_CaalfMt31_Gene_tV_UAC_2mt_Note_Mitochondrial_valine_tRNA_2C_predicted_by_tRNAscan-SE_B_UAC_anticodon_orf_classification_Uncharacterized_Alias_TRNV_tV_TAC_2mt,80,38,43,29,6,60,31,10,64
ID_CaalfMt32_Name_CaalfMt32_Gene_tW_UCA_1mt_Note_Mitochondrial_tryptophan_tRNA_2C_predicted_by_tRNAscan-SE_B_UCA_anticodon_orf_classification_Uncharacterized_Alias_tW_TCA_1mt_TRNW,69,48,33,29,9,78,40,22,64
ID_CaalfMt33_Name_CaalfMt33_Gene_tF_GAA_6mt_Note_Mitochondrial_phenylalanine_tRNA_2C_predicted_by_tRNAscan-SE_B_GAA_anticodon_orf_classification_Uncharacterized_Alias_TRNF,111,56,75,45,16,144,75,27,96
ID_CaalfMt34_Name_CaalfMt34_Gene_tR_ACG_3mt_Note_Mitochondrial_arginine_tRNA_2C_predicted_by_tRNAscan-SE_B_ACG_anticodon_B_one_of_two_arginine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNR2,297,131,197,101,29,275,200,32,197
ID_CaalfMt35_Name_CaalfMt35_Gene_tM_CAU_5mt_Note_Mitochondrial_methionine_tRNA_2C_predicted_by_tRNAscan-SE_B_CAU_anticodon_B_one_of_two_methionine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNM1_tM_CAT_5mt,5888,3528,4853,5974,1975,5021,4612,3093,6598
ID_CaalfMt36_Name_CaalfMt36_Gene_tQ_UUG_6mt_Note_Mitochondrial_glutamine_tRNA_2C_predicted_by_tRNAscan-SE_B_UUG_anticodon_orf_classification_Uncharacterized_Alias_TRNQ_tQ_TTG_6mt,49,28,29,19,3,52,39,12,45
ID_CaalfMt37_Name_CaalfMt37_Gene_tD_GUC_8mt_Note_Mitochondrial_aspartate_tRNA_2C_predicted_by_tRNAscan-SE_B_GUC_anticodon_orf_classification_Uncharacterized_Alias_TRND_tD_GTC_8mt,132,75,84,30,2,84,43,16,50
ID_CaalfMt38_Name_CaalfMt38_Gene_tS_GCU_3mt_Note_Mitochondrial_serine_tRNA_2C_predicted_by_tRNAscan-SE_B_GCU_anticodon_orf_classification_Uncharacterized_Alias_TRNS1_tS_GCT_3mt,148,78,103,32,1,90,53,18,61
ID_CaalfMt39_Name_CaalfMt39_Gene_tS_UGA_4mt_Note_Mitochondrial_serine_tRNA_2C_predicted_by_tRNAscan-SE_B_UGA_anticodon_B_one_of_two_serine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNS2_tS_TGA_4mt,108,50,48,55,17,124,66,39,92
ID_CaalfMt40_Name_CaalfMt40_Gene_tL_UAG_1mt_Note_Mitochondrial_leucine_tRNA_2C_predicted_by_tRNAscan-SE_B_UAG_anticodon_B_one_of_three_leucine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNL2_tL_TAG_1mt,631,276,303,195,71,440,309,153,289
ID_CaalfMt41_Name_CaalfMt41_Gene_tM_CAU_6mt_Note_Mitochondrial_methionine_tRNA_2C_predicted_by_tRNAscan-SE_B_CAU_anticodon_B_one_of_two_methionine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNM2_tM_CAT_6mt,97,71,75,229,49,381,282,85,259
ID_CaalfMt42_Name_CaalfMt42_Gene_tE_UUC_9mt_Note_Mitochondrial_glutamate_tRNA_2C_predicted_by_tRNAscan-SE_B_UUC_anticodon_B_one_of_two_glutamate_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNE2_tE_TTC_9mt,312,187,229,387,110,865,473,223,502
ID_CaalfMt43_Name_CaalfMt43_Gene_tT_UGU_4mt_Note_Mitochondrial_threonine_tRNA_2C_predicted_by_tRNAscan-SE_B_UGU_anticodon_B_one_of_two_threonine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_tT_TGT_4mt_TRNT2,912,408,491,641,145,1465,789,304,808
ID_CaalfMt44_Name_CaalfMt44_Gene_tH_GUG_5mt_Note_Mitochondrial_histidine_tRNA_2C_predicted_by_tRNAscan-SE_B_GUG_anticodon_B_one_of_two_histidine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNH2_tH_GTG_5mt,1006,401,485,471,76,1043,658,181,627
ID_CaalfMt45_Name_CaalfMt45_Gene_tY_GUA_6mt_Note_Mitochondrial_tyrosine_tRNA_2C_predicted_by_tRNAscan-SE_B_GUA_anticodon_B_one_of_two_tyrosine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNY2_tY_GTA_6mt,1304,564,641,848,181,1938,1073,364,1069
ID_CaalfMt46_Name_CaalfMt46_Gene_tL_UAA_7mt_Note_Mitochondrial_leucine_tRNA_2C_predicted_by_tRNAscan-SE_B_UAA_anticodon_B_one_of_three_leucine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNL3_tL_TAA_7mt,892,414,451,599,153,1493,808,280,816
ID_CaalfMt47_Name_CaalfMt47_Gene_tK_UUU_7mt_Note_Mitochondrial_lysine_tRNA_2C_predicted_by_tRNAscan-SE_B_UUU_anticodon_B_one_of_two_lysine_tRNAs_encoded_on_the_mitochondrial_genome_orf_classification_Uncharacterized_Alias_TRNK2_tK_TTT_7mt,136,65,56,49,17,90,112,19,86
ID_CD39_Name_CD39_Note_C_2FD_box_small_nucleolar_RNA__snoRNA__B_encoded_within_the_intron_of_orf19_3559_orf_classification_Uncharacterized,95,36,75,109,25,145,105,26,101
ID_CEN1_Name_CEN1_Note_Centromere_region_of_Chromosome_1_B_each_centromere_mediates_a_single_kinetochore_attachment_although_it_binds_multiple__four__Cse4p-containing_nucleosomes,3,0,9,3,4,0,12,4,16
ID_CEN2_Name_CEN2_Note_Centromere_region_of_Chromosome_2_B_each_centromere_mediates_a_single_kinetochore_attachment_although_it_binds_multiple__four__Cse4p-containing_nucleosomes,10,8,17,9,9,18,8,5,32
ID_CEN3_Name_CEN3_Note_Centromere_region_of_Chromosome_3_B_each_centromere_mediates_a_single_kinetochore_attachment_although_it_binds_multiple__four__Cse4p-containing_nucleosomes,14,1,13,16,5,13,9,5,35
ID_CEN4_Name_CEN4_Note_Centromere_region_of_Chromosome_4_B_each_centromere_mediates_a_single_kinetochore_attachment_although_it_binds_multiple__four__Cse4p-containing_nucleosomes,124,60,194,66,18,57,36,44,60
ID_CEN5_Name_CEN5_Note_Centromere_region_of_Chromosome_5_B_each_centromere_mediates_a_single_kinetochore_attachment_although_it_binds_multiple__four__Cse4p-containing_nucleosomes,4,2,1,8,1,0,7,8,24
ID_CEN6_Name_CEN6_Note_Centromere_region_of_Chromosome_6_B_each_centromere_mediates_a_single_kinetochore_attachment_although_it_binds_multiple__four__Cse4p-containing_nucleosomes,4,0,2,7,4,5,11,6,24
ID_CEN7_Name_CEN7_Note_Centromere_region_of_Chromosome_7_B_each_centromere_mediates_a_single_kinetochore_attachment_although_it_binds_multiple__four__Cse4p-containing_nucleosomes,8,5,22,6,2,5,1,0,26
ID_CENR_Name_CENR_Note_Centromere_region_of_Chromosome_R_B_each_centromere_mediates_a_single_kinetochore_attachment_although_it_binds_multiple__four__Cse4p-containing_nucleosomes,5,0,7,7,3,3,11,2,16
ID_chi-1a_Name_chi-1a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca10_B_about_192_bp_long_2C_11_copies_per_genome_Alias_chi,0,0,11,2,2,7,7,1,2
ID_chi-1b_Name_chi-1b_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca10_B_about_192_bp_long_2C_11_copies_per_genome_Alias_chi,1,0,3,0,0,0,0,1,0
ID_chi-4a_Name_chi-4a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca10_B_about_192_bp_long_2C_11_copies_per_genome_Alias_chi,4,0,0,6,0,4,4,0,1
ID_chi-5a_Name_chi-5a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca10_B_about_192_bp_long_2C_11_copies_per_genome_Alias_chi,0,0,1,1,0,0,0,0,0
ID_chi-5b_Name_chi-5b_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca10_B_about_192_bp_long_2C_11_copies_per_genome_Alias_chi,0,2,0,0,0,0,0,1,1
ID_chi-6a_Name_chi-6a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca10_B_about_192_bp_long_2C_11_copies_per_genome_Alias_chi,1,0,2,2,0,3,3,3,1
ID_episemon-6a_Name_episemon-6a_Note_Long_terminal_repeat__LTR__B_about_518_bp_long_2C_4_copies_per_genome_Alias_episemon,72,21,46,21,9,44,34,15,40
ID_epsilon-2a_Name_epsilon-2a_Note_Long_terminal_repeat__LTR__B_about_480_bp_long_2C_9_copies_per_genome_Alias_epsilon,0,0,4,1,3,0,0,0,2
ID_epsilon-4a_Name_epsilon-4a_Note_Long_terminal_repeat__LTR__B_about_480_bp_long_2C_9_copies_per_genome_Alias_epsilon,14,3,8,17,3,27,11,4,13
ID_eta-1a_Name_eta-1a_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca11_B_about_470_bp_long_2C_13_copies_per_genome_Alias_eta,31,12,25,60,18,72,56,37,60
ID_eta-5a_Name_eta-5a_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca11_B_about_470_bp_long_2C_13_copies_per_genome_Alias_eta,7,2,10,12,2,8,7,8,21
ID_eta-7a_Name_eta-7a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca11_B_about_470_bp_long_2C_13_copies_per_genome_Alias_eta,126,57,113,109,31,97,93,72,108
ID_eta-7b_Name_eta-7b_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca11_B_about_470_bp_long_2C_13_copies_per_genome_Alias_eta,158,85,201,148,61,186,163,136,179
ID_eta-Ra_Name_eta-Ra_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca11_B_about_470_bp_long_2C_13_copies_per_genome_Alias_eta,115,50,108,110,33,90,87,64,106
ID_eta-Rb_Name_eta-Rb_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca11_B_about_470_bp_long_2C_13_copies_per_genome_Alias_eta,38,12,28,16,8,18,17,28,17
ID_gamma-1a_Name_gamma-1a_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca2_B_about_280_bp_long_2C_5-10_copies_per_genome_Alias_gamma,46,21,32,19,12,29,24,17,18
ID_gamma-1b_Name_gamma-1b_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca2_B_about_280_bp_long_2C_5-10_copies_per_genome_Alias_gamma,34,22,26,13,7,14,12,8,23
ID_gamma-1c_Name_gamma-1c_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca2_B_about_280_bp_long_2C_5-10_copies_per_genome_Alias_gamma,7,10,14,10,6,7,18,23,15
ID_gamma-2a_Name_gamma-2a_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca2_B_about_280_bp_long_2C_5-10_copies_per_genome_Alias_gamma,84,32,70,69,25,84,75,26,42
